timestamp,price,price_open,price_high,price_low,price_close,amount,weighted_volume,cbse_vwap,ecart_type,vwmp_upper
2021-02-24 00:00:00,156912889.55,48899.99,49114.02,48552.62,48624.42,274.47185524,13412933.807009896,48868.15733905226,143.96838992613124,48828.35
2021-02-24 00:05:00,108903702.6,48593.69,48735.98,48507.63,48633.92,129.09121215,6276538.8190618185,48620.9612143751,54.578599440905585,48661.84
2021-02-24 00:10:00,120825145.0,48632.41,48638.57,48137.34,48142.8,165.13495876,7997949.79082629,48432.80823686862,119.63014488435194,48427.83
2021-02-24 00:15:00,166665755.54,48142.8,48142.8,47583.0,47800.99,283.31330299,13546329.81938525,47813.956056498304,145.7321258639182,47618.08
2021-02-24 00:20:00,167588559.74,47800.37,47806.83,47002.0,47104.64,292.30171421,13844766.145520233,47364.64232835,226.20472976027705,47365.74
2021-02-24 00:25:00,121028955.78,47122.79,47378.95,47013.4,47257.14,188.86276578,8919318.438176425,47226.45250555233,67.55278965198237,47127.85
2021-02-24 00:30:00,136279172.03,47257.14,47736.0,47224.82,47650.01,179.99024634,8556755.672564384,47540.107570055465,98.7455432043528,47426.26
2021-02-24 00:35:00,96106571.16,47664.14,47802.94,47563.33,47728.49,84.39077226,4024511.106557554,47688.99488392421,51.464223049868934,47704.95
2021-02-24 00:40:00,99092149.63,47728.49,47855.0,47571.99,47734.83,110.6208604,5279466.993996261,47725.78133008502,58.98169833136352,47716.5
2021-02-24 00:45:00,81239376.64,47749.12,47951.3,47714.43,47767.19,75.16094086,3593744.4889141857,47813.99018950739,45.04460259329595,47892.16
2021-02-24 00:50:00,94119495.14,47773.75,48250.0,47722.25,48200.0,66.57445901,3191631.34752446,47940.777814582805,158.08156641492508,47797.07
2021-02-24 00:55:00,102814709.66,48200.0,48525.23,48161.73,48487.22,119.05375683,5758841.591344328,48371.775445671396,88.07582148957157,48417.23
2021-02-24 01:00:00,104836457.23,48498.8,48729.76,48437.32,48545.76,119.58073307000001,5807380.2062242245,48564.51417491068,67.61123390501047,48670.86
2021-02-24 01:05:00,101687211.2,48545.77,48899.41,48545.76,48827.77,117.27007085,5718005.220190701,48759.28852728839,75.36697224955134,48709.93
2021-02-24 01:10:00,109799244.32,48840.57,48975.0,48662.35,48758.8,149.98823955,7327748.471681199,48855.48689461366,77.13104941494828,48705.59
2021-02-24 01:15:00,102592786.77,48758.8,49078.37,48741.62,49033.55,127.30641769,6233173.079374417,48961.970594071914,72.44948702782125,48905.17
2021-02-24 01:20:00,118023733.49,49026.78,49219.95,48885.08,49219.59,154.14606731,7560472.901234307,49047.45890162474,74.12975436039541,49163.17
2021-02-24 01:25:00,149325676.11,49220.0,49375.0,49129.23,49200.0,186.04080658,9167623.531258795,49277.487556562475,61.49423824140561,49232.89
2021-02-24 01:30:00,128363714.18,49214.39,49237.6,48759.13,49031.44,126.16650193,6184391.99961979,49017.70204464438,112.57878695043469,48845.25
2021-02-24 01:35:00,116835320.38,49029.72,49336.48,48928.62,49317.9,107.54991042,5289092.232940025,49178.0254607861,107.01403008863723,49311.0
2021-02-24 01:40:00,171305493.75,49306.75,49897.0,49293.66,49764.72,291.16766125,14448499.102003815,49622.60932404222,153.2926386445026,49566.37
2021-02-24 01:45:00,136607874.75,49751.48,49954.11,49650.02,49828.75,183.67388332,9148070.21218462,49806.04779965742,68.65043253374687,49850.0
2021-02-24 01:50:00,133103001.47,49828.75,49837.61,49537.51,49813.98,146.67262759,7293481.978467525,49726.265209179284,74.6052052568121,49605.0
2021-02-24 01:55:00,143981182.56,49813.98,50353.43,49655.36,50236.98,190.69057317,9537245.22074491,50014.24591787496,160.43616128140164,49925.0
2021-02-24 02:00:00,233069984.07,50236.98,50597.47,49900.0,50588.9,388.30088646,19517413.33524907,50263.63321799836,211.7252184279972,49976.18
2021-02-24 02:05:00,179539381.24,50588.91,50600.0,50250.0,50362.68,209.78949757,10587374.971881228,50466.658696051076,74.6860619606479,50490.0
2021-02-24 02:10:00,149552543.82,50359.91,50381.47,50000.0,50343.82,145.46289762,7300823.420558628,50190.279033427025,97.59585906493203,50110.0
2021-02-24 02:15:00,147628886.55,50343.82,50359.37,49906.1,50100.0,155.03357073,7766047.282565542,50092.68151406101,117.78633501624523,50239.19
2021-02-24 02:20:00,123372875.45,50100.0,50169.57,49832.71,49857.97,140.931388,7044019.78081641,49981.908791080736,87.93212452439656,50014.58
2021-02-24 02:25:00,138825655.98,49857.98,50184.28,49840.44,50042.36,101.4642403,5074866.040527421,50016.30156124492,76.81187173467684,50004.91
2021-02-24 02:30:00,139199422.55,50048.58,50375.17,50048.57,50230.81,146.03214219,7338872.789005758,50255.188199987315,82.05783646249388,50248.6
2021-02-24 02:35:00,128705035.52,50228.51,50489.0,50224.39,50356.93,150.97322959,7607523.5720063755,50389.88430376847,57.54507591529344,50344.77
2021-02-24 02:40:00,137206032.01,50357.69,50399.99,50039.71,50095.2,149.92520968,7528617.319727974,50215.819846422324,97.99080556670354,50110.97
2021-02-24 02:45:00,118526970.9,50097.12,50450.0,50097.12,50337.77,116.9498724,5886946.808627438,50337.351275531946,78.45089635705,50380.0
2021-02-24 02:50:00,121819709.15,50354.92,50434.32,50255.01,50374.23,107.64513368,5417768.092635031,50329.89330238184,36.91593459879747,50350.71
