timestamp,price,price_open,price_high,price_low,price_close,amount,weighted_volume,itbi_vwap,ecart_type,vwmp_lower
2021-02-24 00:00:00,80099732.0,48919.5,49100.0,47022.0,48485.25,27.30053044,1304207.917144285,47772.25556150349,517.5737945502718,47233.5
2021-02-24 01:00:00,79383501.0,48485.25,50208.25,48447.75,50193.25,60.35814777,2988313.7536263424,49509.69941976307,438.5825928586641,49700.0
2021-02-24 02:00:00,79876293.75,50193.25,50560.25,49821.5,50215.5,39.22277115,1971348.044681185,50260.29489711833,169.18503093774646,50325.0
2021-02-24 03:00:00,64490506.25,50166.25,50991.25,50073.0,50913.25,19.7137918,996212.8692960475,50533.802903206444,207.16250165958272,50937.25
2021-02-24 04:00:00,66697246.0,50913.25,51391.5,50353.5,50650.5,37.39377782,1907821.33206298,51019.75364047291,228.21496997977943,50754.5
2021-02-24 05:00:00,52968780.5,50656.5,51046.5,50016.0,50234.5,23.05627901,1162411.8550024075,50416.28159072176,256.4601599161017,50498.75
2021-02-24 06:00:00,46318444.75,50248.25,50687.75,49500.0,50104.75,56.6184183,2825697.71683072,49907.74736691506,311.5136372031285,50047.0
2021-02-24 07:00:00,33130450.5,50104.75,50327.75,49555.25,50085.5,9.55538819,477243.5136303825,49944.96342177203,187.59650408560483,49870.5
2021-02-24 08:00:00,40332965.0,50109.5,50910.0,49842.0,50680.25,7.36871327,372858.846134965,50600.26526652529,216.7450569549784,50461.75
2021-02-24 09:00:00,33063082.75,50680.25,51397.0,50420.0,50929.5,8.51309695,434290.767704585,51014.42756441121,250.04148057913733,50919.75
2021-02-24 10:00:00,38126532.25,50940.0,51041.75,50127.25,50140.25,9.20983406,465907.58634822,50588.054389789955,206.41202166507142,50600.0
2021-02-24 11:00:00,43109062.25,50180.0,50928.0,50160.0,50400.25,11.47876149,579686.585337775,50500.79539005867,173.52150370267424,50581.25
2021-02-24 12:00:00,59382856.5,50402.25,51345.25,50400.25,50734.0,17.934445,913868.78759631,50956.06736625025,230.6997352175778,51082.25
2021-02-24 13:00:00,87640606.25,50762.75,51095.25,49082.0,49506.75,83.83100376,4173948.0606894423,49790.02843195161,479.2464553931271,49901.5
2021-02-24 14:00:00,83072162.75,49540.25,49811.25,48777.0,49427.25,20.60005474,1014760.06690893,49260.066524897506,221.1016805520339,49561.5
2021-02-24 15:00:00,80169119.25,49433.25,49879.5,48495.75,49862.5,23.16531459,1136559.3460994726,49062.9791226795,347.9623639759551,48610.0
2021-02-24 16:00:00,80594291.5,49879.5,50169.75,49380.0,49385.75,29.23474052,1454406.78304599,49749.26259567806,157.07184455307092,49761.25
2021-02-24 17:00:00,63271933.75,49425.75,50105.5,49391.5,50096.0,16.93250575,843507.5382838375,49815.87195290559,130.12698670763527,49734.25
2021-02-24 18:00:00,57169111.75,50095.75,50095.75,49510.0,49612.5,14.02558798,698358.8865424725,49791.77254731195,135.74317814270282,49788.25
2021-02-24 19:00:00,71565537.0,49624.25,49742.25,48893.0,48990.5,26.22197747,1295662.725600635,49411.32784828966,241.33910725993098,49333.0
2021-02-24 20:00:00,64847779.75,48973.0,49260.75,48642.0,49167.0,14.08049291,688259.3779135025,48880.346896428535,161.41651145833166,48940.25
2021-02-24 21:00:00,73660223.0,49131.5,49192.75,48150.25,48798.5,24.63917053,1195651.053561415,48526.432823930576,245.31588152140506,48577.0
2021-02-24 22:00:00,61427600.75,48765.0,48975.0,48100.25,48833.25,11.66071896,565512.935011365,48497.261356804454,227.27505094069042,48759.5
2021-02-24 23:00:00,59301983.0,48775.0,49772.5,48775.0,49753.5,9.36242704,463375.51705161,49493.09779097728,205.17690574474847,49733.0
