timestamp,price,price_open,price_high,price_low,price_close,amount,weighted_volume,gmni_vwap,ecart_type,vwmp_lower
2021-02-24 00:00:00,17210569.38,48923.48,49130.5,48577.87,48629.94,41.4639429148,2028787.7768277852,48928.96416041603,139.475211116283,49108.12
2021-02-24 00:05:00,6953802.2,48648.33,48747.55,48523.9,48613.89,10.2051300768,496686.8416537355,48670.3097281324,56.00475587588919,48619.33
2021-02-24 00:10:00,8808134.49,48630.73,48630.73,48151.91,48157.78,11.3502358851,549640.9152585673,48425.50593861291,139.87493264992594,48512.83
2021-02-24 00:15:00,14888316.21,48144.63,48151.91,47610.95,47807.48,14.0305667573,672182.6487975257,47908.44592559271,147.5731620022987,48085.15
2021-02-24 00:20:00,22489313.03,47793.06,47830.93,47000.01,47114.02,30.7768756502,1455182.8789862643,47281.69602156507,198.79923649893902,47324.23
2021-02-24 00:25:00,16662674.95,47136.56,47352.0,47000.12,47260.0,19.807835128,935218.2357475496,47214.56078890428,73.66064789806104,47263.25
2021-02-24 00:30:00,10926919.93,47247.96,47708.5,47243.76,47693.11,12.8450929745,610329.3836822537,47514.59447540597,116.21300765119402,47549.65
2021-02-24 00:35:00,9305317.540000001,47667.88,47845.65,47597.78,47725.29,12.3957169007,591688.0580198263,47733.26647903785,54.51354573567807,47760.98
2021-02-24 00:40:00,10455537.6,47802.79,47899.99,47610.95,47679.67,20.0517607257,957285.2804155828,47740.70933275433,55.6515804750424,47795.43
2021-02-24 00:45:00,6263924.73,47738.92,47948.71,47729.43,47791.65,3.3853194057,161991.8053483251,47851.26185599295,46.89565506967014,47815.03
2021-02-24 00:50:00,6421970.3,47782.61,48249.04,47753.1,48207.99,4.95552764,237720.33397295204,47970.74120909394,143.55550883604334,47774.14
2021-02-24 00:55:00,5072797.82,48187.02,48526.33,48182.13,48500.0,2.4118397003,116559.11411273209,48327.88601092922,70.26860077731632,48526.33
