timestamp,stmp_vwap,lmax_vwap,gmni_vwap,itbi_vwap,okcn_vwap,bfnx_vwap,btrx_vwap,bfly_vwap,bnus_vwap,cbse_vwap,krkn_vwap,all_vwap
2021-02-24 00:00:00,48919.06186924589,48861.759607922846,48928.96416041603,48906.98485385185,48902.42007662444,48917.5599472669,48878.03334113194,48929.54,48910.34651908862,48868.15733905226,48899.872330411454,48882.581773330465
2021-02-24 00:05:00,48597.626023715166,48597.62822141396,48670.3097281324,48637.90343677541,48612.88397168501,48575.09775944772,48586.44490708906,48683.05,48604.2534549104,48620.9612143751,,48612.31609627571
2021-02-24 00:10:00,48529.17673972265,48433.86824520857,48425.50593861291,48382.36186634695,48366.82589019463,48278.1443158473,48365.36041689819,48264.27595519255,48423.14704138955,48432.80823686862,48478.95803883051,48434.1692797775
2021-02-24 00:15:00,47885.41170855156,47782.85506384262,47908.44592559271,47900.369623766106,47744.51713308943,47709.41345673412,47887.559232495216,47740.291561205624,47841.25933016615,47813.956056498304,47847.131627069844,47802.737975097814
2021-02-24 00:20:00,47234.226053760576,47247.83189893528,47281.69602156507,47332.240574423246,47273.18161302674,47281.376426627474,47324.80835907796,47312.57641429224,47300.63507002308,47364.64232835,47329.01252332163,47309.60362622357
2021-02-24 00:25:00,47220.67789109391,47236.41161456063,47214.56078890428,47190.279685607326,47246.172803319634,47182.556322834855,47217.20893022206,47255.81971830986,47209.22039936619,47226.45250555233,47171.49078400852,47212.421978371734
2021-02-24 00:30:00,47508.5064491534,47509.109684449766,47514.59447540597,47500.8154643856,47545.69346604546,47476.71827388811,47488.90721892357,47548.66278812644,47499.37538965585,47540.107570055465,47486.650965511995,47514.69922309171
2021-02-24 00:35:00,47715.73225219196,47698.73315224607,47733.26647903785,47690.98440193859,47686.21618604987,47702.93675032475,47695.58383076543,47741.14,47689.7658726327,47688.99488392421,47680.14435468385,47695.810028640044
2021-02-24 00:40:00,47749.63210141339,47740.82683240647,47740.70933275433,47737.5211853955,47776.87439569424,47738.751387062475,47722.168079585535,,47736.38401558553,47725.78133008502,47703.053335110155,47732.63495824964
2021-02-24 00:45:00,47793.826283232396,47805.591954797776,47851.26185599295,47807.740376879534,47926.106212748346,47792.15485944737,47812.53956198085,,47805.02462260229,47813.99018950739,47893.1361810699,47820.746341207196
2021-02-24 00:50:00,47964.31723095078,47902.74811715482,47970.74120909394,47963.031005376935,48019.76792371306,48014.256729841894,48011.86022285051,48129.14740764163,47991.82656709562,47940.777814582805,47976.882223519715,47960.78158642893
2021-02-24 00:55:00,48304.48091362933,48302.67259199134,48327.88601092922,48305.52226107819,48384.42912440545,48318.32579263723,48295.43959583451,,48334.65799481967,48371.775445671396,48335.88138648563,48347.803008734496
2021-02-24 01:00:00,48570.96489115054,48562.38587582784,48568.585861976724,48567.59972139522,48558.14861183233,48539.74473820542,48514.985783621305,,48607.25036714629,48564.51417491068,48614.50490636118,48578.077679610644
2021-02-24 01:05:00,48720.81847343839,48725.344272300455,48729.7613879773,48730.62279117072,48826.02360368804,48736.89506510474,48711.54768554347,,48702.652790533684,48759.28852728839,48743.397674432796,48745.621306006804
2021-02-24 01:10:00,48842.65701332022,48800.13279108175,48845.65578291127,48863.4445971812,48847.967015846065,48818.750842831745,48798.90194146622,48876.09428571428,48855.269649724076,48855.48689461366,48798.80475963778,48833.3104415565
2021-02-24 01:15:00,48991.6899649201,48871.71509761636,48923.99267114646,48944.218815313434,49012.47594965901,48940.74466694489,48886.03298436356,,48956.118714685654,48961.970594071914,48969.14079532269,48968.34528341257
2021-02-24 01:20:00,48995.90090098216,49156.051591904434,49077.30018638978,49035.647168188814,49085.636802880595,49027.326372511605,49007.433976247456,,49047.45382043309,49047.45890162474,49019.64573308537,49042.323589690546
2021-02-24 01:25:00,49256.273188576815,49218.76014654225,49262.19272783781,49295.35985662457,49262.41771705378,49244.24943279291,49238.102334867,,49233.67134568293,49277.487556562475,49259.368107361086,49262.05019584612
2021-02-24 01:30:00,49017.72343516431,48960.88511656185,48962.94937514396,49022.464283996596,49019.847909942735,48990.96107387899,48960.63711905031,,48957.43525951379,49017.70204464438,48945.24196416149,48995.68488777856
2021-02-24 01:35:00,49131.8162847996,49049.018113387974,49210.11182147064,49146.63189891219,49208.831325312276,49144.599663806,49167.00989616726,49140.16,49175.56568011749,49178.0254607861,49144.03379748036,49161.14682396792
2021-02-24 01:40:00,49559.93475092553,49730.271337054386,49657.65391316135,49692.98642153914,49685.81723770749,49674.85449122392,49580.11761352124,49810.68614466039,49593.327764149864,49622.60932404222,49573.33262356887,49637.33560093574
2021-02-24 01:45:00,49805.871340166144,49795.27124131843,49873.899981487986,49726.870249810694,49851.03122364021,49863.165662202504,49829.505676078195,,49811.276561440456,49806.04779965742,49803.87730780723,49817.45788211423
2021-02-24 01:50:00,49739.18612631097,49688.49283030064,49704.16585939761,49705.107776828976,49733.92757084939,49659.51088073059,49674.559680985934,,49689.710764411706,49726.265209179284,49681.28004251151,49701.97719646959
2021-02-24 01:55:00,49968.83064516481,49967.170421037634,50105.423034475,50024.5517666853,49959.25411482006,49953.10224173604,50011.11758302417,50161.64,49950.032649918525,50014.24591787496,49989.993005504846,49994.27492891333
2021-02-24 02:00:00,50219.499893547814,50224.30113476033,50146.37290212123,50390.21562645758,50159.24209029128,50270.70316167888,50213.19452713233,50196.82016879555,50227.76214870654,50263.63321799836,50243.84977481927,50254.302167069596
