timestamp,stmp_vwmp (lower),lmax_vwmp (lower),gmni_vwmp (lower),itbi_vwmp (lower),okcn_vwmp (lower),bfnx_vwmp (lower),btrx_vwmp (lower),bfly_vwmp (lower),bnus_vwmp (lower),cbse_vwmp (lower),krkn_vwmp (lower),all_vwmp (lower)
2021-02-24 03:05:00,50500.0,50368.0,50569.2,50522.25,50527.1,50397.0,50503.23,,50500.0,50470.01,50520.4,50550.0
2021-02-24 03:10:00,50369.31,50410.5,50504.82,50300.0,50438.82,50388.0,50488.86,,50425.27,50446.35,50426.9,50379.35
2021-02-24 03:15:00,50408.6,50368.5,50250.0,50277.5,50478.2,50363.0,50481.94,,50336.72,50373.37,50299.9,50429.24
2021-02-24 03:20:00,50351.42,50408.0,50324.42,50428.0,50384.55,50274.0,50363.83,,50323.2,50300.0,50359.3,50280.0
2021-02-24 03:25:00,50260.93,50270.5,50243.12,50285.25,50271.33,50235.0,50264.94,,50220.4,50250.0,50337.2,50246.5
2021-02-24 03:30:00,50242.62,50282.5,50279.97,50268.0,50299.72,50231.0,50255.94,,50271.18,50317.16,50277.3,50318.55
2021-02-24 03:35:00,50386.74,50384.5,50482.98,50354.0,50403.19,50337.0,50454.89,,50321.62,50434.25,50387.0,50356.61
2021-02-24 03:40:00,50418.25,50428.5,50503.54,50524.5,50447.97,50388.0,50476.31,,50497.44,50528.97,50416.1,50529.0
2021-02-24 03:45:00,50420.47,50388.5,50656.81,50418.25,50326.32,50580.0,50735.96,,50356.94,50400.0,50679.8,50373.0
2021-02-24 03:50:00,50851.35,50819.0,50802.77,50852.0,50853.22,50764.0,50894.05,,50875.0,50878.55,50855.4,50781.35
2021-02-24 03:55:00,50904.3,50947.0,50955.58,50934.75,50950.0,50978.0,50961.52,50948.0,50850.0,50881.64,50990.0,50872.0
2021-02-24 04:00:00,51102.54,51047.5,51075.84,50961.5,51059.04,50968.0,51000.0,51025.46,51024.07,51089.17,51014.8,50918.0
2021-02-24 04:05:00,51044.95,51233.5,51125.53,51229.25,51220.29,51114.0,51243.45,,51152.97,51250.01,51162.4,51177.0
2021-02-24 04:10:00,51393.19,51266.5,51297.64,51269.5,51214.51,51250.0,51285.68,,51284.35,51226.75,51280.0,51278.0
2021-02-24 04:15:00,51000.0,51322.5,51023.67,51083.75,51254.0,51219.0,51022.8,,50963.33,51342.05,51291.0,51016.0
2021-02-24 04:20:00,51037.7,50983.5,51104.29,50987.0,51026.62,50920.0,51058.7,,50956.34,50972.87,51000.0,50926.0
