timestamp,Price [Md€],price_open,price_high,price_low,price_close,Amount [BTC],weighted_volume,btrx_vwap,sigma,btrx_vwmp (lower)
2021-02-24 00:00:00,0.01,48906.607,49070.307,48570.97,48638.639,4.99,243766.58564409683,48878.03,119.16,48759.98
2021-02-24 00:05:00,0.01,48686.849,48731.3,48497.155,48583.404,2.97,144319.4151792539,48586.44,52.16,48598.32
2021-02-24 00:10:00,0.01,48588.44,48620.091,48141.165,48204.151,2.56,123842.80579966266,48365.36,120.62,48361.24
2021-02-24 00:15:00,0.01,48154.657,48154.657,47607.712,47791.94,6.84,327436.4481371945,47887.56,136.87,47762.05
2021-02-24 00:20:00,0.01,47770.978,47770.978,46958.22,47133.122,12.69,600436.9134420034,47324.81,230.46,47619.92
2021-02-24 00:25:00,0.01,47099.54,47350.65,47019.269,47250.924,2.75,130004.75428743749,47217.21,65.06,47199.22
2021-02-24 00:30:00,0.01,47289.12,47704.91,47289.12,47633.65,2.42,115046.63897568012,47488.91,97.43,47638.41
2021-02-24 00:35:00,0.0,47646.609,47772.159,47600.0,47701.091,1.43,68423.06817072463,47695.58,50.14,47770.29
2021-02-24 00:40:00,0.0,47754.24,47863.654,47660.728,47733.881,1.14,54425.85564954949,47722.17,49.27,47789.52
2021-02-24 00:45:00,0.0,47775.49,47958.21,47757.843,47758.749,0.9,42855.53579473544,47812.54,41.23,47766.72
2021-02-24 00:50:00,0.0,47779.108,48200.0,47726.937,48194.35,1.46,70090.81271889457,48011.86,146.47,48141.83
2021-02-24 00:55:00,0.0,48200.0,48488.0,48194.35,48488.0,2.32,111886.3448263497,48295.44,79.64,48200.0
2021-02-24 01:00:00,0.0,48488.0,48698.016,48453.81,48520.558,1.79,86748.49433393076,48514.99,59.83,48488.0
2021-02-24 01:05:00,0.0,48520.558,48910.307,48520.558,48842.895,1.59,77570.84099129269,48711.55,85.26,48520.56
2021-02-24 01:10:00,0.01,48795.565,48972.71,48676.291,48711.967,4.48,218719.06671991266,48798.9,71.74,48924.87
2021-02-24 01:15:00,0.01,48719.83,49000.0,48705.499,49000.0,5.85,285837.8374559852,48886.03,93.12,48822.69
2021-02-24 01:20:00,0.01,48999.999,49180.96,48855.35,49142.903,6.43,314884.42951704795,49007.43,63.23,49000.0
2021-02-24 01:25:00,0.01,49142.903,49350.321,49114.021,49136.048,3.29,162160.7352096465,49238.1,61.49,49143.28
2021-02-24 01:30:00,0.01,49157.913,49188.275,48761.936,48957.366,3.33,163088.36597465133,48960.64,86.18,48867.45
2021-02-24 01:35:00,0.0,48992.959,49282.62,48921.16,49282.62,1.94,95342.78298583864,49167.01,102.24,49222.76
2021-02-24 01:40:00,0.01,49287.02,49859.824,49282.62,49738.679,6.12,303481.64166189526,49580.12,135.22,49460.04
2021-02-24 01:45:00,0.01,49664.86,49909.571,49664.86,49792.141,11.66,581247.3998735921,49829.51,41.33,49834.8
2021-02-24 01:50:00,0.01,49767.377,49801.034,49546.79,49783.39,3.32,164790.26357652267,49674.56,59.75,49690.97
2021-02-24 01:55:00,0.01,49795.26,50229.466,49634.0,50199.989,5.24,262102.50697210646,50011.12,141.92,50079.53
2021-02-24 02:00:00,0.01,50188.392,50526.54,49861.58,50525.225,4.61,231606.04342173433,50213.19,196.36,50000.0
2021-02-24 02:05:00,0.01,50530.0,50600.0,50275.378,50299.829,7.14,360573.95689515653,50484.45,72.14,50369.33
2021-02-24 02:10:00,0.01,50370.66,50370.66,50036.329,50337.63,3.05,153476.04209449198,50253.75,78.64,50187.02
2021-02-24 02:15:00,0.01,50335.15,50375.67,49949.925,50077.394,4.78,239867.00710819705,50181.69,122.93,50334.59
2021-02-24 02:20:00,0.01,50116.746,50171.748,49838.017,49901.273,2.99,149480.53680221754,50018.2,97.04,50065.23
2021-02-24 02:25:00,0.0,49888.672,50165.008,49888.672,50056.012,2.04,101981.24810863636,50043.93,54.96,50000.0
2021-02-24 02:30:00,0.0,50088.586,50370.53,50063.582,50268.661,1.63,82005.68916828699,50278.16,90.48,50332.87
2021-02-24 02:35:00,0.01,50237.735,50490.058,50237.735,50387.521,3.21,161436.41944841115,50354.54,60.8,50300.0
2021-02-24 02:40:00,0.0,50335.46,50335.46,50051.444,50124.027,1.3,65057.27038167623,50123.5,64.56,50136.77
2021-02-24 02:45:00,0.0,50198.099,50436.22,50168.33,50336.98,0.88,44314.87704302551,50358.41,44.26,50372.4
2021-02-24 02:50:00,0.0,50319.73,50444.05,50266.86,50365.274,0.42,20967.67604345145,50350.95,42.85,50317.7
2021-02-24 02:55:00,0.0,50359.022,50412.789,50206.614,50230.77,0.49,24441.53137653694,50308.21,56.93,50308.15
2021-02-24 03:00:00,0.0,50213.589,50475.8,50105.146,50450.681,1.5,75477.330511084,50332.74,101.14,50475.8
2021-02-24 03:05:00,0.0,50459.44,50554.23,50309.7,50338.1,1.37,69089.47825914618,50479.98,79.64,50503.23
2021-02-24 03:10:00,0.01,50339.65,50514.241,50285.609,50452.5,20.79,1049550.771274875,50478.55,48.22,50488.86
2021-02-24 03:15:00,0.0,50439.144,50523.362,50310.16,50523.362,1.07,53899.91901810666,50385.37,42.17,50481.94
2021-02-24 03:20:00,0.0,50407.57,50437.134,50278.829,50317.587,1.66,83415.11532430223,50382.82,34.32,50363.83
2021-02-24 03:25:00,0.0,50308.511,50350.07,50252.061,50317.911,0.8,40034.28635101379,50312.09,23.93,50264.94
2021-02-24 03:30:00,0.0,50319.11,50385.932,50255.942,50385.932,1.1,55569.53924613686,50297.4,24.01,50255.94
2021-02-24 03:35:00,0.0,50406.929,50534.135,50358.82,50534.135,0.66,33200.14206731907,50429.23,54.53,50454.89
2021-02-24 03:40:00,0.01,50576.389,50576.389,50404.024,50494.276,1.6,80668.36046886572,50521.44,44.24,50476.31
2021-02-24 03:45:00,0.0,50443.469,50777.0,50365.034,50767.71,1.54,77794.280435788,50673.81,138.79,50735.96
2021-02-24 03:50:00,0.01,50763.43,50933.06,50751.231,50835.268,4.63,235401.92336837816,50859.38,46.02,50894.05
2021-02-24 03:55:00,0.0,50849.43,50999.99,50849.421,50949.591,1.4,71447.96199129216,50920.07,44.93,50961.52
2021-02-24 04:00:00,0.0,50999.999,51155.6,50949.57,51060.71,2.54,129596.1695953084,51037.39,53.73,51000.0
2021-02-24 04:05:00,0.01,51064.63,51270.253,51064.63,51207.825,3.12,159781.44495358723,51204.85,42.75,51243.45
2021-02-24 04:10:00,0.0,51236.908,51334.771,51193.554,51332.54,0.99,50912.72563767448,51255.35,42.87,51285.68
2021-02-24 04:15:00,0.01,51334.771,51386.269,50976.791,51026.35,2.89,147761.17981225564,51138.39,132.91,51022.8
2021-02-24 04:20:00,0.0,51039.411,51150.859,50887.211,51016.36,1.21,61501.23120448051,50991.84,69.46,51058.7
2021-02-24 04:25:00,0.0,51121.722,51121.722,50721.701,50721.701,0.81,41211.67330854851,50853.47,115.02,50861.6
2021-02-24 04:30:00,0.0,50744.63,50857.63,50678.96,50831.92,1.49,75835.10749645175,50733.79,54.78,50710.29
2021-02-24 04:35:00,0.0,50765.369,50856.234,50642.071,50642.486,1.92,97339.77849507061,50702.47,50.94,50711.43
2021-02-24 04:40:00,0.0,50650.826,50650.826,50400.0,50400.003,1.85,93518.60437461121,50515.32,72.96,50400.0
2021-02-24 04:45:00,0.0,50400.002,50714.674,50400.002,50714.674,1.43,72327.74327723176,50635.44,86.32,50687.85
2021-02-24 04:50:00,0.01,50718.956,51002.277,50708.431,50919.55,6.29,320383.3085483095,50908.38,73.28,50709.36
