timestamp,Price [Md€],price_open,price_high,price_low,price_close,Amount [BTC],weighted_volume,bfnx_vwap,sigma,bfnx_vwmp (lower)
2021-02-24 00:00:00,0.12,48882.0,49087.0,48539.0,48609.0,76.66,3750235.579469839,48917.56,139.43,48888.0
2021-02-24 00:05:00,0.03,48600.0,48711.0,48465.0,48568.31076519,20.83,1011696.5632878107,48575.1,68.56,48549.0
2021-02-24 00:10:00,0.09,48576.0,48579.0,48075.0,48079.0,35.13,1695873.6388295805,48278.14,119.27,48410.0
2021-02-24 00:15:00,0.14,48075.0,48097.0,47518.0,47752.0,105.29,5023495.7827224815,47709.41,152.47,47759.0
2021-02-24 00:20:00,0.19,47752.0,47752.608591,46902.0,47032.0,164.73,7788857.682712014,47281.38,205.03,47430.0
2021-02-24 00:25:00,0.04,47025.0,47313.0,46980.0,47193.0,43.05,2031304.900117559,47182.56,85.32,47256.0
2021-02-24 00:30:00,0.06,47166.0,47694.0,47166.0,47615.0,61.88,2937632.310213029,47476.72,112.28,47327.0
2021-02-24 00:35:00,0.03,47638.0,47783.0,47528.0,47691.0,41.11,1960832.1641176485,47702.94,77.11,47700.0
2021-02-24 00:40:00,0.04,47683.0,47800.0,47575.0,47702.0,27.68,1321420.293810041,47738.75,52.17,47710.0
2021-02-24 00:45:00,0.03,47707.0,47908.0,47707.0,47730.0,7.99,382034.2217982021,47792.15,52.72,47776.8
2021-02-24 00:50:00,0.1,47743.0,48234.0,47704.0,48167.0,21.2,1017900.631794335,48014.26,136.57,48089.0
2021-02-24 00:55:00,0.06,48179.0,48497.0,48133.0,48485.0,21.16,1022477.3709402911,48318.33,84.98,48411.0
2021-02-24 01:00:00,0.05,48454.0,48704.0,48412.0,48489.25847365,27.41,1330234.3320069022,48539.74,63.98,48471.0
2021-02-24 01:05:00,0.09,48509.0,48870.06502176,48508.0,48824.0,25.8,1257615.8619466077,48736.9,83.92,48676.0
2021-02-24 01:10:00,0.04,48796.0,48939.0,48658.0,48718.0,37.12,1812373.816823743,48818.75,70.12,48725.0
2021-02-24 01:15:00,0.07,48707.0,49069.0,48707.0,49014.0,47.03,2301551.6097464524,48940.74,74.0,48869.0
2021-02-24 01:20:00,0.1,49016.0,49163.64975886,48860.0,49162.0,89.85,4405165.511504442,49027.33,62.92,49076.0
2021-02-24 01:25:00,0.08,49167.366966,49359.0,49110.0,49155.0,83.6,4116984.1991496165,49244.25,60.5,49291.0
2021-02-24 01:30:00,0.07,49187.0,49211.0,48761.0,49012.0,52.67,2580299.160114466,48990.96,100.85,48993.0
2021-02-24 01:35:00,0.08,49006.0,49318.0,48896.0,49300.0,24.56,1207060.5387671022,49144.6,96.1,49210.0
2021-02-24 01:40:00,0.18,49307.0,49900.0,49290.0,49741.0,198.44,9857437.636754828,49674.85,162.49,49400.0
2021-02-24 01:45:00,0.07,49741.0,49964.0,49656.0,49821.0,52.87,2636110.264246243,49863.17,67.68,49848.0
