timestamp,price,price_open,price_high,price_low,price_close,amount,weighted_volume,krkn_vwap,ecart_type,vwmp_lower
2021-02-24 00:00:00,129553379.1,48899.6,48899.9,47015.7,47245.8,307.02383993,14622913.980716303,47627.943107122424,480.47029527049165,47605.1
2021-02-24 00:30:00,88034167.9,47225.0,48499.0,47225.0,48498.9,177.17735512,8472663.31896018,47820.23816317697,310.880415732346,47598.7
2021-02-24 01:00:00,110054136.2,48499.0,49333.0,48462.8,49165.2,315.03750149,15393344.451371728,48861.943033979864,222.14910435413412,48748.8
2021-02-24 01:30:00,131861305.1,49191.2,50200.0,48732.8,50180.4,260.48742551,12910411.401817245,49562.5129563946,363.03377472287724,49521.6
2021-02-24 02:00:00,152678676.5,50200.0,50564.5,49836.7,50035.1,352.7643554,17705004.998398934,50189.325331135566,216.10536123081565,50455.9
2021-02-24 02:30:00,71593113.1,50037.3,50475.0,50037.3,50202.2,131.70478107,6622371.593191251,50281.93767446844,102.59210350480203,50200.0
2021-02-24 03:00:00,54751727.1,50202.2,50539.9,50074.9,50268.2,132.05539318,6652924.0988620985,50379.798497087766,96.9716286602955,50500.0
2021-02-24 03:30:00,76828473.1,50268.2,51000.0,50259.4,50928.4,165.76930212,8398255.882177532,50662.310661705356,237.16873803494374,50823.8
2021-02-24 04:00:00,105486839.6,50922.2,51392.0,50715.7,50722.0,222.71080919,11379352.023962436,51094.74508825674,148.2086123118599,51068.5
2021-02-24 04:30:00,69687186.4,50714.9,50940.9,50342.2,50635.3,172.98104778,8768114.328397712,50688.29470584047,144.9750842680686,50753.0
2021-02-24 05:00:00,72457872.5,50647.5,51058.4,50022.5,50406.6,128.50055787,6482488.123018549,50447.15937791244,313.9570835036158,50116.9
2021-02-24 05:30:00,41710442.0,50400.3,50540.1,50202.5,50204.8,75.81388527,3819269.219806036,50376.909272018835,79.0297509961264,50290.8
2021-02-24 06:00:00,108718862.5,50235.4,50704.3,49410.6,49633.0,287.7293959,14361908.917307688,49914.63896966285,349.93293773073873,49729.9
2021-02-24 06:30:00,67848148.2,49647.4,50386.2,49583.7,50110.2,170.76891504,8524542.313820066,49918.58331958906,191.5126686784079,49858.0
2021-02-24 07:00:00,62740005.3,50110.2,50176.1,49548.5,49700.0,109.30151326000001,5445952.017142727,49825.037684411705,149.53097005607464,49617.8
2021-02-24 07:30:00,52687060.1,49700.0,50374.4,49700.0,50140.7,128.52085542,6443804.0850104615,50138.19791311237,111.96433372772763,50059.3
2021-02-24 08:00:00,93065913.8,50140.7,50893.0,49812.8,50684.4,206.58530053,10429791.642002836,50486.6106893614,262.0587078326275,50880.5
2021-02-24 08:30:00,71379631.4,50671.1,50912.5,50350.1,50682.8,108.1448199,5478310.518513469,50657.169928057454,125.98384163700693,50658.4
