timestamp,price,price_open,price_high,price_low,price_close,amount,weighted_volume,lmax_vwap,ecart_type,vwmp_lower
2021-02-24 00:00:00,54252349.279,48892.5,49080.5,46918.718,47265.5,513.5,24608830.45391,47923.72045552094,696.2204052731072,48922.5
2021-02-24 00:30:00,28286250.428,47248.5,48504.0,47248.5,48504.0,181.54,8670351.2295,47760.00456924093,232.67317242998382,47615.5
2021-02-24 01:00:00,19431458.759,48495.0,49378.5,48438.0,49192.0,178.72,8727366.59973,48832.624215141004,224.06452457990682,48514.0
2021-02-24 01:30:00,23979044.55,49209.5,50240.88,48753.5,50160.5,189.34,9399895.38694,49645.5867061371,341.1008782926749,50020.0
2021-02-24 02:00:00,35141874.638,50181.0,50569.5,49799.5,50018.0,224.74,11277167.55133,50178.72898162321,206.7450114840637,50210.0
2021-02-24 02:30:00,31279172.2,50120.0,50485.0,50033.0,50191.5,193.44,9727115.9795,50284.92545233664,96.75307919178638,50377.5
2021-02-24 03:00:00,23470157.96,50171.0,50541.5,50073.75,50276.5,139.68,7035704.4967,50370.163922537235,88.36401242650054,50381.75
2021-02-24 03:30:00,25335229.31,50254.0,50999.5,50238.5,50929.0,172.01,8691693.7716,50530.16552293471,250.21192885854458,50462.5
2021-02-24 04:00:00,29032636.43,50937.25,51409.0,50705.0,50766.4,171.5,8763504.0884,51099.14920349855,150.5636551339725,51189.5
2021-02-24 04:30:00,28364143.662,50819.0,50968.0,50353.25,50623.0,211.63,10719283.98005,50651.06071941596,161.1416662113935,50648.5
2021-02-24 05:00:00,28303374.057,50761.6,51032.5,50028.5,50377.5,191.34,9664614.00857,50510.15996953068,323.7162983667701,50251.0
2021-02-24 05:30:00,9570109.53,50379.0,50543.5,50236.5,50236.5,58.95,2968513.3304,50356.46022731128,75.0809728415147,50266.5
2021-02-24 06:00:00,40010710.396,50225.5,50691.0,49475.0,49677.5,327.49,16414067.62123,50120.820853247424,384.5132329225841,50499.0
2021-02-24 06:30:00,22674402.872,49644.5,50389.5,49589.5,50096.0,163.3,8155767.28815,49943.46165431721,182.38055762919484,50006.5
2021-02-24 07:00:00,17396143.019,50099.75,50182.5,49566.0,49678.5,94.66,4716674.10706,49827.531238749216,147.49497126169103,49823.0
2021-02-24 07:30:00,21842427.439,49720.0,50358.5,49720.0,50078.0,116.08,5819541.98138,50133.890259993124,113.62449309589569,50076.5
2021-02-24 08:00:00,34210249.358,50037.5,50901.5,49770.5,50673.0,177.66,8968613.09077,50481.89288962062,249.93638528846097,50386.5
2021-02-24 08:30:00,32008199.56,50665.0,50888.0,50340.0,50674.5,158.44,8022203.2891,50632.436815829344,114.06391163793626,50732.5
2021-02-24 09:00:00,27179954.759,50679.5,50986.25,50389.0,50776.0,161.54,8195525.68965,50733.72347189549,170.8883660260768,50542.9
2021-02-24 09:30:00,25801195.432,50834.0,51449.5,50800.0,50896.5,140.61,7194228.38709,51164.414956902074,170.3788711950176,51134.0
2021-02-24 10:00:00,11659786.878,50994.0,51068.9,50198.5,50568.5,92.78,4699874.81429,50656.12000743695,228.2622099499186,50578.0
2021-02-24 10:30:00,21638678.68,50473.0,50671.5,50127.5,50136.5,192.58,9715019.8649,50446.67081161076,132.9797413038533,50581.0
2021-02-24 11:00:00,23155111.65,50160.5,50910.5,50152.63,50769.0,184.78,9341496.2506,50554.69342244831,177.9936920463684,50319.0
2021-02-24 11:30:00,27164799.89,50767.5,50885.5,50220.0,50388.5,241.35,12180492.6096,50468.16908887508,174.0683000875898,50727.5
2021-02-24 12:00:00,34793283.98,50397.1,51201.0,50374.0,51171.5,285.24,14503343.5454,50846.10694643108,217.96242384220858,50585.0
2021-02-24 12:30:00,51963152.722,51140.0,51297.5,50643.0,50714.5,472.85,24097569.38792,50962.39692908957,162.3873253562175,50841.0
2021-02-24 13:00:00,88971926.133,50788.0,51089.5,49475.5,49595.0,801.29,40200883.526539996,50170.204952688786,419.9161882440145,49535.5
2021-02-24 13:30:00,73472654.662,49723.0,49853.75,49045.0,49468.0,628.48,31040317.02035,49389.50646058745,175.6435656221481,49306.0
