timestamp,price,price_open,price_high,price_low,price_close,amount,weighted_volume,okcn_vwap,ecart_type,vwmp_upper
2021-02-24 00:00:00,21080818.08,48906.05,49078.28,47012.76,47225.92,33.1859,1591053.288304,47943.653428233076,617.5149105627276,48292.33
2021-02-24 00:30:00,10298365.37,47372.7,48454.85,47372.7,48446.34,18.1364,870093.951356,47975.00889680421,266.0563662859201,47862.72
2021-02-24 01:00:00,12286124.06,48516.41,49365.8,48476.68,49191.15,14.578,712667.37186,48886.49827548361,211.71124725220042,49060.19
2021-02-24 01:30:00,13541386.43,49218.55,50201.53,48787.54,50201.53,21.8078,1085621.3336729999,49781.332077192565,326.8584582053847,49906.88
2021-02-24 02:00:00,18726901.03,50240.11,50573.85,49853.89,50029.73,17.0002,852558.617151,50149.916892213034,194.16267194402215,50240.11
2021-02-24 02:30:00,14729987.75,50118.78,50463.98,50035.8,50189.77,18.8431,947448.423818,50280.92107020607,100.81204405481193,50316.83
2021-02-24 03:00:00,11532364.63,50186.42,50535.14,50131.61,50283.96,12.3709,622852.777199,50348.21857738725,86.73177718135584,50374.24
2021-02-24 03:30:00,6165744.44,50299.72,50977.14,50250.74,50968.49,4.9865,252571.923066,50651.14269848591,232.57725775868963,50399.3
2021-02-24 04:00:00,11295647.41,50962.95,51383.99,50676.36,50676.36,17.2978,884763.739772,51148.91719016292,124.69158727395063,50676.36
2021-02-24 04:30:00,6391376.47,50801.68,50958.05,50365.76,50666.0,6.4766,328282.328521,50687.448432974095,145.9341529730517,50365.76
2021-02-24 05:00:00,10088176.9,50721.28,51044.41,50019.98,50432.42,11.5927,584358.013992,50407.41276769001,322.7237410119531,50925.48
2021-02-24 05:30:00,6954964.93,50400.81,50539.71,50226.92,50250.84,10.0356,505696.57506,50390.268151381075,76.71228373658109,50348.46
2021-02-24 06:00:00,19164459.81,50498.53,50660.34,49496.23,49732.53,19.0842,953306.006851,49952.63133120592,309.66490088223634,50520.56
2021-02-24 06:30:00,10351870.19,49689.23,50423.11,49608.92,50104.04,17.697,883554.761892,49926.81030072894,215.47152942793056,49632.83
2021-02-24 07:00:00,6631131.85,50206.4,50206.4,49561.04,49739.65,8.2356,410541.434521,49849.608349239876,126.12147548797525,49912.9
2021-02-24 07:30:00,9722278.12,49801.05,50345.18,49801.05,50078.48,15.7384,788887.387535,50125.00556187413,123.27693221484496,50182.87
2021-02-24 08:00:00,16193507.1,50119.82,50881.7,49814.39,50637.39,14.7037,740252.551223,50344.64462842686,272.6775261785831,50677.62
2021-02-24 08:30:00,13623404.15,50648.67,50874.98,50335.45,50676.57,8.9446,453576.523771,50709.536901706066,133.55911901135025,50707.26
2021-02-24 09:00:00,12726637.96,50665.65,50978.83,50371.57,50777.48,12.6925,644444.487836,50773.64489548947,163.64327574428205,50794.31
2021-02-24 09:30:00,15215514.74,50788.02,51432.06,50788.02,50899.67,28.3618,1449553.508657,51109.36219340803,163.19740997687782,51172.83
2021-02-24 10:00:00,14081281.85,50905.82,51041.91,50255.76,50472.94,10.2128,517361.317777,50658.12683857512,195.93468583073698,50617.67
2021-02-24 10:30:00,12966168.92,50470.28,50646.41,50124.23,50144.41,6.1277,308888.539317,50408.56101261486,131.2514314172329,50423.94
2021-02-24 11:00:00,20509151.89,50140.45,50924.23,50140.45,50767.93,6.9217,350486.224259,50635.858858228465,175.88119181342066,50606.27
2021-02-24 11:30:00,14264872.37,50766.28,50903.97,50277.0,50377.79,3.6052,181719.72526500002,50404.89439282149,165.91846247116274,50400.28
2021-02-24 12:00:00,17286645.04,50406.27,51204.51,50378.29,51141.31,19.2914,981871.404218,50896.84544501695,210.70031116896558,50606.12
2021-02-24 12:30:00,10310708.34,51131.69,51338.97,50700.4,50735.42,9.107,464230.066585,50975.08143021851,160.36227646029573,50942.47
2021-02-24 13:00:00,31303518.61,50779.47,51105.22,49518.2,49621.93,41.8925,2108686.570152,50335.658415038495,439.3896818103115,50622.95
2021-02-24 13:30:00,28927083.64,49628.68,49884.03,49108.0,49502.71,32.8648,1625677.589041,49465.61637499695,168.26357045970477,49203.79
2021-02-24 14:00:00,14105868.49,49532.6,49797.52,49174.28,49504.47,15.199399999999999,752026.071679,49477.35250595419,147.05435438924337,49504.47
2021-02-24 14:30:00,15351275.58,49486.32,49668.45,48797.43,49416.13,7.8429,385016.310565,49091.0646017417,198.6976266975506,49427.19
2021-02-24 15:00:00,15492851.78,49385.65,49623.65,48509.32,49177.27,23.112099999999998,1130592.954168,48917.79432280062,306.89321457446175,49385.65
2021-02-24 15:30:00,13316531.98,49183.8,49881.16,49106.18,49832.52,28.0753,1392337.063054,49592.9540576236,195.66859263839945,49439.09
2021-02-24 16:00:00,23680803.91,49887.05,50164.28,49471.26,49521.11,26.6006,1326335.195211,49861.100697390284,166.1870331164308,50074.31
2021-02-24 16:30:00,8884353.13,49539.69,49887.59,49355.08,49400.36,5.2842,262314.751767,49641.33677131827,112.49523587580735,49786.04
