timestamp,price,price_open,price_high,price_low,price_close,amount,weighted_volume,bfnx_vwap,ecart_type,vwmp_upper
2021-02-24 00:00:00,616558071.5135475,48882.0,49087.0,46902.0,47193.0,445.698814,21301464.147139285,47793.40549723628,654.0754251326571,47303.0
2021-02-24 00:30:00,324278491.3826273,47166.0,48497.0,47166.0,48485.0,181.01542529,8642296.992673546,47743.428378150384,307.21907294121905,48410.0
2021-02-24 01:00:00,426603850.95241743,48454.0,49359.0,48412.0,49155.0,310.81567127,15223925.331177764,48980.55902063257,226.45032473567036,49152.0
2021-02-24 01:30:00,625107325.0629708,49187.0,50229.0,48761.0,50196.0,588.87372675,29258151.65596318,49684.93299478517,353.9648312969147,49675.0
2021-02-24 02:00:00,496481608.7585912,50184.0,50580.34566075,49827.0,50065.0,444.53756276,22318461.59751712,50206.01961946366,194.97364115211545,50233.85928992
2021-02-24 02:30:00,322697804.2866948,50031.0,50481.817475,50031.0,50173.0,312.2768827,15701629.510351915,50281.11390953089,100.37393444344318,50334.0
2021-02-24 03:00:00,218761654.4987153,50161.0,50539.0,50042.0,50242.0,177.39516575,8930510.377907583,50342.46756472044,115.5264838919792,50226.93450081
2021-02-24 03:30:00,344240405.4098258,50230.0,51001.0,50207.0,50902.0,325.94711339,16542858.829077646,50753.19936729704,213.91088326863104,50363.14903984
2021-02-24 04:00:00,377135441.29470956,50901.0,51354.46137096,50647.0,50691.0,316.78461843,16170863.078050576,51046.86950456799,168.5600343822704,51217.0
2021-02-24 04:30:00,333546502.676006,50661.0,50966.0,50328.0,50607.0,248.89732229,12616545.67441999,50689.76057412124,157.86509147181118,50803.0
2021-02-24 05:00:00,371109224.6041456,50611.0,51064.836108,49941.0,50381.0,280.62988812,14140591.494597478,50388.75790931729,335.03382705918807,50173.0
2021-02-24 05:30:00,257588532.41200498,50342.0,50501.0,50124.0,50166.0,222.23456459,11175693.085569939,50287.82586627758,92.43977074711107,50346.0
2021-02-24 06:00:00,519224379.5897345,50167.0,50639.0,49210.0,49598.0,702.67658602,34899623.29856107,49666.69445503302,373.4939145443443,50010.619344
2021-02-24 06:30:00,281662006.52781,49596.0,50346.0,49527.57954753,50035.0,197.18301673,9835559.84573784,49880.359925751305,220.36159889136502,49893.0
2021-02-24 07:00:00,264875778.35710967,50035.0,50116.14390518,49472.0,49626.0,135.01968716,6717206.956211948,49749.83350577591,149.44845733499693,49893.0
2021-02-24 07:30:00,265598217.80065197,49659.0,50320.62769032,49659.0,50050.0,132.19205805,6616428.989817166,50051.637650686884,120.19413031361486,50107.0
2021-02-24 08:00:00,446705448.88674307,50051.0,50944.0,49792.0,50662.0,541.26915204,27421352.66111435,50661.21458754018,292.72412234978634,50694.23754304
2021-02-24 08:30:00,260279146.27223867,50641.0,50864.0,50287.0,50600.1668049,198.30989678,10023326.413299628,50543.75286382835,162.41992761708707,50450.0
2021-02-24 09:00:00,240381226.0194954,50628.0,50900.0,50293.0,50702.0,206.862703,10476596.023662375,50645.16643999559,164.53041624722962,50728.0
2021-02-24 09:30:00,404859544.2544868,50702.0,51339.0,50695.0,50809.0,529.96244105,27018548.874578558,50982.00699100005,168.12357626817416,50724.0
2021-02-24 10:00:00,428516027.0749823,50809.0,50955.0,50052.0,50379.0,387.74527496,19600697.83401224,50550.44922477587,229.1727817232109,50447.0
2021-02-24 10:30:00,272849363.16791505,50353.0,50500.0,50050.0,50057.0,236.59941014,11916461.776612936,50365.55995453141,122.36027089150782,50489.0
2021-02-24 11:00:00,264077206.3660404,50057.0,50833.0,50057.0,50685.0,151.614659,7653245.410355059,50478.26813603202,167.22258983538245,50421.0
2021-02-24 11:30:00,155254879.23307815,50685.0,50799.284361,50200.0,50324.0,67.52406314,3411956.6504678,50529.49262537224,178.8142927428998,50287.0215171
2021-02-24 12:00:00,406887359.3023089,50339.0,51125.0,50326.0,51088.0,305.11435932,15536797.273730466,50921.226088332594,221.24014807416023,50474.0
2021-02-24 12:30:00,234530496.43365243,51107.0,51200.0,50603.0,50711.0,234.3829505,11965094.00664712,51049.336059309986,173.32552407974222,51083.0
2021-02-24 13:00:00,626377503.2936713,50715.0,51062.0,49329.0,49575.0,550.89192605,27496798.86492627,49913.236271374604,451.48320836398744,50513.0
2021-02-24 13:30:00,436291337.59484756,49576.0,49839.0,49055.0,49489.74968895,366.89665095,18118446.53161798,49382.97061230774,181.1573020452346,49089.0
2021-02-24 14:00:00,269203385.22964317,49498.2387048,49752.0,49120.0,49466.0,143.10063174,7077571.738269881,49458.703656383186,164.81910173148643,49616.0
2021-02-24 14:30:00,439761251.7984701,49487.0,49679.0,48750.0,49408.0,281.97868366,13850438.3595637,49118.742522623,221.6948293944536,49052.89058408
2021-02-24 15:00:00,495691160.7748758,49410.0,49660.0,48350.0,49163.0,383.66993823,18730590.946501285,48819.54273746824,349.961690809617,48890.0
2021-02-24 15:30:00,343292613.3867336,49137.0,49840.0,48883.1808809,49830.0,230.25844768,11358733.958383916,49330.36799661584,205.2913394612209,49788.0
2021-02-24 16:00:00,333625726.89523214,49833.03734606,50100.0,49365.177883,49488.0,192.24154002,9576652.478164604,49815.72909355746,206.27205780565683,49830.0
2021-02-24 16:30:00,200408068.93526438,49478.0,49834.76740336,49298.688164,49330.0,94.75990509,4697273.963616462,49570.268766680776,145.11265715595843,49500.0
2021-02-24 17:00:00,171165198.875871,49313.4061464,49930.0,49313.0,49701.0,85.55636726,4249289.569565481,49666.54973384012,150.45534001948073,49824.0
