timestamp,price,price_open,price_high,price_low,price_close,amount,weighted_volume,all_vwap,ecart_type,vwmp_upper
2021-02-24 00:00:00,1998020641.3685474,48899.99,49130.5,46902.0,47260.0,3107.0787725722,148892872.5048813,47920.53353112129,645.1316067756281,47675.7
2021-02-24 00:30:00,1260410649.3836272,47257.14,48526.33,47166.0,48498.9,1416.7792455269,67722459.36190072,47800.29039507475,288.7143469330756,48472.1
2021-02-24 01:00:00,1520593139.3324175,48499.0,49380.0,48412.0,49200.0,2210.7215254985,108167272.84768607,48928.49307345267,233.0265680808028,49103.8
2021-02-24 01:30:00,1954607537.397971,49214.39,50353.43,48732.8,50236.98,2628.3433237621,130463310.49857698,49637.08862502685,356.482741050169,49500.0
2021-02-24 02:00:00,2008288976.5835912,50224.22,50820.16,49781.14,50042.36,2669.2034514746,134021247.34105976,50210.20307276306,204.74915038364887,50159.4
2021-02-24 02:30:00,1421344458.8036947,50054.3,50490.058,50027.0,50220.01,1737.9584435439,87412958.94335984,50296.34584651784,99.5692907999377,50165.3
2021-02-24 03:00:00,1175254297.6777153,50190.12,50573.45,50042.0,50284.21,1513.758027422,76256590.06438957,50375.68005122857,102.27043455629098,50506.06
2021-02-24 03:30:00,1272546853.891826,50286.6,51001.0,50207.0,50932.71,1561.6529125504,79094303.36477986,50647.812154115396,235.34643218602935,50941.6
2021-02-24 04:00:00,1598345068.9797096,50929.46,51459.51,50647.0,50701.0,2364.3451979214,120802684.21594639,51093.50543319536,161.3367827239243,51294.82
2021-02-24 04:30:00,1207009736.346006,50721.08,51002.277,50328.0,50650.86,1638.1916297126,83037926.82699712,50688.77493994098,150.65696331350395,50678.825
2021-02-24 05:00:00,1268482783.2181456,50611.0,51064.836108,49941.0,50394.38,1726.0614682825,87180512.81527881,50508.347713727075,323.6787814079641,50860.9
2021-02-24 05:30:00,859640597.934005,50394.38,50554.59,50124.0,50166.0,893.6959592647,45000937.805007316,50353.74428908956,91.50905267029758,50310.7
2021-02-24 06:00:00,1549868870.6877344,50264.18,50710.31,49210.0,49665.03,2465.5859955223,123062393.93538117,49912.02665770825,369.7426559207462,49884.1
2021-02-24 06:30:00,945787442.7918099,49658.53,50551.92,49524.08,50099.64,1176.4912601965,58726102.99021525,49916.310453854705,207.41738955187733,50063.9
2021-02-24 07:00:00,819044780.1101097,50098.05,50206.4,49472.0,49696.16,762.8289098497,37994426.130892105,49807.27085760048,156.85248053828744,50139.61
2021-02-24 07:30:00,717811628.903652,49712.25,50374.4,49659.0,50082.62,800.7762674304,40127259.600461535,50110.45061216081,119.08253971927577,49960.0
2021-02-24 08:00:00,1106348251.137743,50090.93,50944.0,49770.5,50643.76,1513.7066229817,76500905.43076779,50538.79283429193,276.8953699727589,50391.7
2021-02-24 08:30:00,842804684.0642387,50643.59,51089.72,50287.0,50666.7,1111.0781971029,56257219.87708688,50632.99777079214,143.41381900455022,50713.9
2021-02-24 09:00:00,886041649.0334954,50659.75,51058.84,50293.0,50787.29,1105.4933777035,56063774.25482082,50713.80379617025,172.31895248465656,50801.0
2021-02-24 09:30:00,1113981629.7174869,50797.05,51449.5,50695.0,50900.68,1465.82080328,74846407.77918138,51061.089876539474,165.99813437481862,51003.9
2021-02-24 10:00:00,1056380952.3699822,50900.0,51088.359,50052.0,50474.9,1418.8200678543,71812341.47969852,50614.12867404763,239.17683106504649,50667.5
2021-02-24 10:30:00,824543340.3389151,50442.21,50671.5,50050.0,50150.1,1062.5722980656,53584775.43847464,50429.29835082758,143.8817430002644,50650.6
2021-02-24 11:00:00,794075840.5300404,50127.96,50957.67,50057.0,50777.86,877.2937270372,44314860.7369747,50513.13986552147,176.1505393509272,50599.6
2021-02-24 11:30:00,678255384.6220782,50777.86,50903.97,50200.0,50380.0,851.1046367238,42968091.037890755,50485.08630300735,172.40778935911018,50366.0
2021-02-24 12:00:00,1125259759.619309,50379.99,51227.0,50324.99,51132.5,1482.1519206505,75381417.92039596,50859.44083742233,226.46220871752516,50758.39
2021-02-24 12:30:00,1002878346.5516524,51162.91,51364.74,50603.0,50746.3,1771.0244235872,90316404.43358858,50996.70181321,170.9115802827976,51000.0
2021-02-24 13:00:00,1927007330.4626713,50738.3,51123.31,49329.0,49621.93,3644.6599368552,182640189.00869566,50111.72295165814,449.1095619748396,50600.0
2021-02-24 13:30:00,1627499410.4218476,49620.0,49898.5,48940.12,49479.41,2873.4919609063,141962080.842357,49404.029234723224,183.47480646659326,49451.218
2021-02-24 14:00:00,1132414047.0796432,49480.2,49811.25,49100.7,49492.97,1263.5989503691,62520781.66427427,49478.34251208568,152.66806878081405,49400.0
2021-02-24 14:30:00,1613591062.75247,49483.59,49713.864,48691.6,49427.61,2552.4949261309,125474682.16564494,49157.661737585055,209.5486847092402,49069.9
2021-02-24 15:00:00,1686696535.5138757,49430.41,49670.727,48350.0,49178.48,2077.1646576613,101701862.79462492,48961.86848717715,334.1860961988649,48773.04
2021-02-24 15:30:00,1356163444.0377336,49171.11,49916.8,48883.1808809,49850.22,1892.0994585825,93600141.85540457,49468.93326925149,201.4978385315072,49507.4
2021-02-24 16:00:00,1230033126.486232,49847.54,50314.08,49365.0,49510.21,1681.4664327265,83743156.97582251,49803.64481022251,184.8856107505583,49942.0
2021-02-24 16:30:00,888305037.9422644,49536.01,49907.16,49298.688164,49330.0,840.126225898,41706751.85706612,49643.4352022356,129.251817256322,49660.0
2021-02-24 17:00:00,894173145.658871,49371.49,50016.49,49313.0,49738.96,938.5340858771,46734263.814715214,49794.956323871884,156.52924814092677,49901.9
