timestamp,Price [Md€],price_open,price_high,price_low,price_close,Amount [BTC],weighted_volume,itbi_vwap,sigma,itbi_vwmp (lower)
2021-02-24 00:00:00,0.04,48919.5,49100.0,47022.0,47225.25,18.21,870359.9834008325,47792.65,652.21,48200.0
2021-02-24 00:30:00,0.04,47270.25,48485.25,47270.25,48485.25,9.09,433847.9337434525,47731.4,262.89,47806.75
2021-02-24 01:00:00,0.04,48485.25,49333.0,48447.75,49170.5,17.75,870701.3195949775,49053.23,244.52,49016.25
2021-02-24 01:30:00,0.04,49205.5,50208.25,48791.25,50193.25,42.61,2117612.434031365,49699.86,340.01,49700.0
2021-02-24 02:00:00,0.04,50193.25,50560.25,49821.5,50017.0,27.77,1395708.85565703,50259.69,194.26,50467.0
2021-02-24 02:30:00,0.04,50044.0,50466.25,50027.0,50215.5,11.45,575639.189024155,50261.77,96.35,50333.25
2021-02-24 03:00:00,0.03,50166.25,50529.0,50073.0,50262.75,8.18,411970.61388688,50335.97,95.16,50326.75
2021-02-24 03:30:00,0.03,50282.25,50991.25,50244.0,50913.25,11.53,584242.2554091675,50674.24,237.39,50940.0
2021-02-24 04:00:00,0.04,50913.25,51391.5,50696.5,50701.0,28.89,1476171.1852280675,51100.2,148.22,51012.0
2021-02-24 04:30:00,0.03,50703.5,50965.25,50353.5,50650.5,8.51,431650.1468349125,50746.55,131.39,50732.5
2021-02-24 05:00:00,0.03,50656.5,51046.5,50016.0,50414.0,12.87,649314.352752705,50438.81,308.19,50994.5
2021-02-24 05:30:00,0.02,50401.75,50552.25,50209.0,50234.5,10.18,513097.5022497025,50387.8,78.39,50455.75
2021-02-24 06:00:00,0.03,50248.25,50687.75,49500.0,49668.5,44.97,2245435.82836086,49935.24,358.85,50530.0
2021-02-24 06:30:00,0.02,49687.25,50419.75,49601.75,50104.75,11.65,580261.88846986,49801.65,189.48,49735.75
2021-02-24 07:00:00,0.02,50104.75,50199.25,49555.25,49698.75,6.5,324407.1247576825,49872.43,150.96,50130.75
2021-02-24 07:30:00,0.02,49713.25,50327.75,49713.25,50085.5,3.05,152836.3888727,50099.62,119.41,49996.5
2021-02-24 08:00:00,0.02,50109.5,50910.0,49842.0,50670.75,4.42,223417.236814845,50555.91,267.82,50600.0
2021-02-24 08:30:00,0.02,50660.0,50868.75,50398.75,50680.25,2.95,149441.60932012,50666.72,113.73,50661.5
2021-02-24 09:00:00,0.02,50680.25,51000.0,50420.0,50800.75,1.92,97180.398723565,50646.13,167.57,50440.5
2021-02-24 09:30:00,0.02,50810.0,51397.0,50796.0,50929.5,6.59,337110.36898102,51121.6,155.44,50908.5
2021-02-24 10:00:00,0.02,50940.0,51041.75,50198.25,50440.75,5.23,264760.08324179,50659.21,223.13,50499.0
2021-02-24 10:30:00,0.02,50495.75,50647.75,50127.25,50140.25,3.98,201147.50310643,50494.69,114.83,50300.0
2021-02-24 11:00:00,0.02,50180.0,50928.0,50160.0,50800.25,3.61,182550.2229442575,50501.42,172.81,50409.75
2021-02-24 11:30:00,0.02,50800.25,50851.0,50227.75,50400.25,7.86,397136.3623935175,50500.51,173.8,50360.25
2021-02-24 12:00:00,0.03,50402.25,51227.0,50400.25,51130.5,8.56,434709.14005717,50810.78,233.99,50520.25
2021-02-24 12:30:00,0.03,51167.5,51345.25,50680.25,50734.0,9.38,479159.64753914,51088.6,151.65,50840.25
2021-02-24 13:00:00,0.05,50762.75,51095.25,49523.75,49624.0,50.91,2545305.475809055,49993.53,443.36,50066.0
2021-02-24 13:30:00,0.04,49658.25,49898.5,49082.0,49506.75,32.92,1628642.5848803874,49475.29,171.56,49351.25
2021-02-24 14:00:00,0.04,49540.25,49811.25,49200.25,49502.75,7.35,363653.759018035,49499.48,133.92,49528.25
2021-02-24 14:30:00,0.04,49520.5,49710.75,48777.0,49427.25,13.25,651106.307890895,49127.36,196.83,49520.5
2021-02-24 15:00:00,0.04,49433.25,49640.0,48495.75,49149.25,16.93,828103.7932202675,48918.11,324.98,48952.75
2021-02-24 15:30:00,0.04,49149.0,49879.5,49060.25,49862.5,6.24,308455.55287920503,49456.17,189.49,49469.0
2021-02-24 16:00:00,0.04,49879.5,50169.75,49460.0,49511.5,16.47,820332.026097175,49812.78,168.94,49985.75
2021-02-24 16:30:00,0.04,49526.0,49860.0,49380.0,49385.75,12.77,634074.756948815,49667.33,110.25,49761.25
2021-02-24 17:00:00,0.03,49425.75,50000.0,49391.5,49760.25,10.17,506669.309301705,49795.69,153.01,49897.75
2021-02-24 17:30:00,0.03,49763.0,50105.5,49651.5,50096.0,6.76,336838.2289821325,49846.26,98.04,49999.0
2021-02-24 18:00:00,0.03,50095.75,50095.75,49510.0,49720.25,8.5,423060.24881254,49771.32,150.51,50020.25
2021-02-24 18:30:00,0.03,49681.0,50015.5,49600.25,49612.5,5.53,275298.6377299325,49823.24,112.09,49612.75
2021-02-24 19:00:00,0.04,49624.25,49742.25,49400.0,49460.0,18.35,908782.2896624675,49536.19,82.12,49520.0
2021-02-24 19:30:00,0.03,49460.0,49460.0,48893.0,48990.5,7.88,386880.4359381675,49120.48,110.58,48945.5
2021-02-24 20:00:00,0.03,48973.0,49260.75,48800.25,48920.25,5.21,255536.6048067225,49002.34,126.59,49162.0
2021-02-24 20:30:00,0.03,48920.25,49228.75,48642.0,49167.0,8.87,432722.77310678,48808.59,132.4,49010.5
2021-02-24 21:00:00,0.04,49131.5,49192.75,48184.75,48200.5,12.32,598496.2230513275,48587.41,277.05,48538.25
2021-02-24 21:30:00,0.04,48221.5,48927.75,48150.25,48798.5,12.32,597154.8305100875,48465.48,184.15,48420.25
2021-02-24 22:00:00,0.03,48765.0,48765.25,48100.25,48699.0,7.36,356082.1458273275,48352.76,155.77,48150.0
2021-02-24 22:30:00,0.03,48720.0,48975.0,48523.5,48833.25,4.3,209430.7891840375,48744.94,95.49,48795.5
2021-02-24 23:00:00,0.03,48775.0,49533.25,48775.0,49355.25,3.14,154907.232404685,49258.18,158.65,48893.5
2021-02-24 23:30:00,0.03,49360.0,49772.5,49360.0,49753.5,6.22,308468.284646925,49611.91,94.3,49676.25
