timestamp,Price [Md€],price_open,price_high,price_low,price_close,Amount [BTC],weighted_volume,krkn_vwap,sigma,krkn_vwmp (lower)
2021-02-24 00:00:00,0.13,48899.6,48899.9,47015.7,47245.8,307.02,14622913.980716303,47627.94,480.47,47605.1
2021-02-24 00:30:00,0.09,47225.0,48499.0,47225.0,48498.9,177.18,8472663.31896018,47820.24,310.88,47598.7
2021-02-24 01:00:00,0.11,48499.0,49333.0,48462.8,49165.2,315.04,15393344.451371728,48861.94,222.15,48748.8
2021-02-24 01:30:00,0.13,49191.2,50200.0,48732.8,50180.4,260.49,12910411.401817245,49562.51,363.03,49521.6
2021-02-24 02:00:00,0.15,50200.0,50564.5,49836.7,50035.1,352.76,17705004.998398934,50189.33,216.11,50455.9
2021-02-24 02:30:00,0.07,50037.3,50475.0,50037.3,50202.2,131.7,6622371.593191251,50281.94,102.59,50200.0
2021-02-24 03:00:00,0.05,50202.2,50539.9,50074.9,50268.2,132.06,6652924.0988620985,50379.8,96.97,50500.0
2021-02-24 03:30:00,0.08,50268.2,51000.0,50259.4,50928.4,165.77,8398255.882177532,50662.31,237.17,50823.8
2021-02-24 04:00:00,0.11,50922.2,51392.0,50715.7,50722.0,222.71,11379352.023962436,51094.75,148.21,51068.5
2021-02-24 04:30:00,0.07,50714.9,50940.9,50342.2,50635.3,172.98,8768114.328397712,50688.29,144.98,50753.0
2021-02-24 05:00:00,0.07,50647.5,51058.4,50022.5,50406.6,128.5,6482488.123018549,50447.16,313.96,50116.9
2021-02-24 05:30:00,0.04,50400.3,50540.1,50202.5,50204.8,75.81,3819269.219806036,50376.91,79.03,50290.8
2021-02-24 06:00:00,0.11,50235.4,50704.3,49410.6,49633.0,287.73,14361908.917307688,49914.64,349.93,49729.9
2021-02-24 06:30:00,0.07,49647.4,50386.2,49583.7,50110.2,170.77,8524542.313820066,49918.58,191.51,49858.0
2021-02-24 07:00:00,0.06,50110.2,50176.1,49548.5,49700.0,109.3,5445952.017142727,49825.04,149.53,49617.8
2021-02-24 07:30:00,0.05,49700.0,50374.4,49700.0,50140.7,128.52,6443804.0850104615,50138.2,111.96,50059.3
2021-02-24 08:00:00,0.09,50140.7,50893.0,49812.8,50684.4,206.59,10429791.642002836,50486.61,262.06,50880.5
2021-02-24 08:30:00,0.07,50671.1,50912.5,50350.1,50682.8,108.14,5478310.518513469,50657.17,125.98,50658.4
2021-02-24 09:00:00,0.06,50682.9,50980.5,50380.7,50814.8,89.78,4555977.744193218,50745.84,172.16,50709.0
