timestamp,stmp_vwmp (lower),lmax_vwmp (lower),gmni_vwmp (lower),itbi_vwmp (lower),okcn_vwmp (lower),bfnx_vwmp (lower),btrx_vwmp (lower),bfly_vwmp (lower),bnus_vwmp (lower),cbse_vwmp (lower),krkn_vwmp (lower),all_vwmp (lower)
2021-02-24 00:00:00,48702.61,48922.5,47064.77,48200.0,48166.71,47800.0,47756.18,47743.62,48957.22,47329.95,47605.1,47694.66
2021-02-24 00:30:00,47753.52,47615.5,47948.71,47806.75,48199.35,48420.0,47534.86,48128.38,48104.12,47613.76,47598.7,48226.2
2021-02-24 01:00:00,49300.0,48514.0,49199.99,49016.25,48592.2,48955.0,49252.0,48798.7,49155.12,48940.71,48748.8,49312.94
2021-02-24 01:30:00,49743.33,50020.0,49953.63,49700.0,49775.26,49900.0,49670.6,50161.64,49498.93,49853.12,49521.6,49658.79
2021-02-24 02:00:00,50324.86,50210.0,50520.3,50467.0,50275.95,50003.19,50418.68,49994.55,50002.94,50472.43,50455.9,50002.4
2021-02-24 02:30:00,50092.97,50377.5,50323.07,50333.25,50057.64,50151.0,50179.6,,50207.44,50400.81,50200.0,50270.33
2021-02-24 03:00:00,50405.62,50381.75,50523.54,50326.75,50341.88,50281.0,50488.86,,50285.39,50347.82,50500.0,50182.39
2021-02-24 03:30:00,50822.83,50462.5,50792.01,50940.0,50527.52,50792.0,50777.0,50948.0,50444.24,50412.42,50823.8,50705.07
2021-02-24 04:00:00,51313.9,51189.5,50969.05,51012.0,51254.0,51200.0,51243.45,51025.46,51009.42,51238.39,51068.5,51024.81
2021-02-24 04:30:00,50737.18,50648.5,50800.0,50732.5,50680.87,50692.0,50711.43,,50733.98,50516.87,50753.0,50799.45
2021-02-24 05:00:00,50156.8,50251.0,50263.12,50994.5,51025.96,50644.0,50736.52,,50450.0,50175.78,50116.9,50096.54
2021-02-24 05:30:00,50303.93,50266.5,50236.47,50455.75,50405.7,50361.0,50303.2,,50279.09,50416.58,50290.8,50426.2
2021-02-24 06:00:00,50521.56,50499.0,50077.48,50530.0,50487.81,50418.0,49723.45,49699.15,50439.66,50563.78,49729.9,50196.0
2021-02-24 06:30:00,49630.04,50006.5,49838.66,49735.75,49822.0,49984.0,50119.51,50018.9,50261.2,49556.5,49858.0,50115.0
2021-02-24 07:00:00,49784.31,49823.0,49779.38,50130.75,49804.08,49500.0,49794.84,49680.1,49501.04,50081.93,49617.8,49901.2
2021-02-24 07:30:00,50135.77,50076.5,50025.21,49996.5,50152.64,49950.0,50200.0,,50116.53,50170.18,50059.3,49880.0
2021-02-24 08:00:00,50560.36,50386.5,50051.82,50600.0,50609.45,50918.0,50259.5,50410.65,50868.01,50750.0,50880.5,50713.05
2021-02-24 08:30:00,50745.4,50732.5,50498.08,50661.5,50743.1,50700.0,50691.9,50726.45,50651.48,50730.39,50658.4,50767.1
2021-02-24 09:00:00,50947.78,50542.9,50523.1,50440.5,50916.42,50853.0,50862.6,50890.43,50869.53,50881.07,50709.0,50856.0
2021-02-24 09:30:00,51202.4,51134.0,51010.12,50908.5,51071.41,50792.0,50904.83,50907.35,51137.48,50915.34,51357.5,50886.0
2021-02-24 10:00:00,50594.46,50578.0,50558.38,50499.0,50615.59,50714.0,50676.92,,50282.51,50481.65,50900.0,50785.6
2021-02-24 10:30:00,50583.96,50581.0,50530.7,50300.0,50198.17,50450.0,50546.85,50486.11,50279.5,50271.92,50505.8,50546.15
2021-02-24 11:00:00,50394.98,50319.0,50268.48,50409.75,50749.53,50232.0,50456.37,50500.0,50285.31,50517.52,50427.7,50500.99
2021-02-24 11:30:00,50506.84,50727.5,50403.17,50360.25,50350.99,50759.0,50344.95,50702.08,50464.99,50381.72,50457.3,50470.0
2021-02-24 12:00:00,50976.93,50585.0,50844.55,50520.25,50838.29,50800.0,50436.66,51078.18,50702.44,50850.0,50877.9,50975.0
2021-02-24 12:30:00,50933.34,50841.0,50925.74,50840.25,51338.97,51125.0,51237.74,51229.87,51188.0,50913.13,51250.0,51163.01
2021-02-24 13:00:00,49927.4,49535.5,50000.0,50066.0,50243.46,49649.0,49881.78,50124.32,49836.07,49896.62,50547.7,50550.0
2021-02-24 13:30:00,49740.53,49306.0,49151.53,49351.25,49767.15,49291.0,49750.36,49381.93,49591.63,49321.71,49450.2,49346.5
2021-02-24 14:00:00,49132.36,49715.0,49571.01,49528.25,49454.75,49689.0,49388.17,49280.97,49756.79,49703.13,49627.1,49274.37
2021-02-24 14:30:00,49012.72,49066.5,49060.0,49520.5,49176.38,49260.0,48825.47,49026.73,49380.41,48957.6,49359.5,49060.0
2021-02-24 15:00:00,48891.84,49066.5,49280.22,48952.75,49065.58,49430.0,48940.62,48631.44,49232.98,49000.0,48534.3,48907.79
2021-02-24 15:30:00,49642.97,49537.0,49300.29,49469.0,49584.95,49487.0,49570.58,49304.15,49474.28,49167.98,49179.6,49400.0
2021-02-24 16:00:00,49426.51,49756.5,50048.47,49985.75,49800.5,49994.0,49773.48,49766.55,49729.84,49857.77,49970.6,50011.0
2021-02-24 16:30:00,49354.68,49595.0,49815.15,49761.25,49597.17,49341.0,49629.11,49537.17,49400.0,49676.56,49653.1,49600.0
2021-02-24 17:00:00,49975.0,49744.0,49821.18,49897.75,49779.0,49553.0,49789.0,49779.0,49866.64,49865.12,49803.6,49519.0
2021-02-24 17:30:00,49958.14,49851.0,49841.42,49999.0,49689.75,49830.0,49699.51,49731.74,49678.4,49688.03,49700.9,49884.75
2021-02-24 18:00:00,49592.11,49577.2,50029.28,50020.25,49847.0,49753.0,49873.99,49600.0,49818.4,49897.46,49599.9,49569.01
2021-02-24 18:30:00,49638.46,49868.5,49768.48,49612.75,49643.11,49722.0,49745.0,49700.0,49626.28,49773.58,49696.3,49827.58
2021-02-24 19:00:00,49435.46,49413.5,49448.61,49520.0,49579.09,49500.0,49584.2,49444.96,49611.0,49640.0,49525.9,49500.0
2021-02-24 19:30:00,49315.14,49099.0,49179.75,48945.5,49332.01,49032.0,49000.0,49444.96,49000.0,49083.05,49009.9,49056.47
2021-02-24 20:00:00,49117.96,48840.5,49112.8,49162.0,48800.0,48780.0,48811.0,49144.07,49150.0,49117.42,48970.7,49120.06
2021-02-24 20:30:00,49140.82,48742.0,49105.1,49010.5,48744.26,48666.0,48775.46,48929.05,48734.34,48805.65,48702.2,48815.0
2021-02-24 21:00:00,49134.72,48206.5,49007.54,48538.25,48224.21,48348.0,49084.02,48272.99,48365.67,48162.7,49101.7,49098.13
2021-02-24 21:30:00,48750.0,48349.0,48196.07,48420.25,48443.25,48464.0,48406.92,48413.49,48323.23,48461.36,48252.0,48190.0
2021-02-24 22:00:00,48420.61,48587.0,48511.01,48150.0,48479.61,48444.0,48222.74,48168.94,48596.47,48384.93,48224.3,48382.67
2021-02-24 22:30:00,48711.49,48814.5,48716.25,48795.5,48794.03,48819.0,48866.57,48864.19,48726.07,48921.52,48794.2,48737.25
2021-02-24 23:00:00,49395.78,49367.0,49441.85,48893.5,49428.65,49430.0,48920.0,,48831.03,49419.32,49474.5,49212.53
2021-02-24 23:30:00,49619.6,49590.5,49510.11,49676.25,49681.15,49638.0,49760.0,49712.15,49365.32,49438.95,49701.5,49604.31
