timestamp,Price [Md€],price_open,price_high,price_low,price_close,Amount [BTC],weighted_volume,gmni_vwap,sigma,gmni_vwmp (lower)
2021-02-24 00:00:00,0.09,48923.48,49130.5,47000.01,47260.0,127.63,6137699.297271428,48088.06,673.46,47064.77
2021-02-24 00:30:00,0.05,47247.96,48526.33,47243.76,48500.0,56.05,2675573.9755516723,47739.53,240.56,47948.71
2021-02-24 01:00:00,0.05,48510.28,49380.0,48442.89,49214.54,81.64,3994024.2244893936,48920.44,239.49,49199.99
2021-02-24 01:30:00,0.07,49233.05,50331.36,48764.28,50227.97,131.28,6536682.357086035,49792.44,374.07,49953.63
2021-02-24 02:00:00,0.08,50257.72,50613.36,49833.0,50063.91,92.25,4635013.578928233,50243.57,204.47,50520.3
2021-02-24 02:30:00,0.05,50086.98,50475.0,50033.6,50244.25,49.97,2514066.7993057757,50313.84,97.61,50323.07
2021-02-24 03:00:00,0.05,50200.0,50573.45,50054.16,50276.37,65.82,3318382.3000319498,50419.05,110.12,50523.54
2021-02-24 03:30:00,0.04,50276.37,51000.0,50236.69,50965.74,44.3,2242021.297722656,50606.33,242.24,50792.01
2021-02-24 04:00:00,0.06,50943.71,51397.44,50680.4,50730.36,79.72,4073169.393427696,51091.57,157.7,50969.05
2021-02-24 04:30:00,0.05,50729.44,50966.54,50350.01,50645.41,48.13,2438820.7682254426,50675.51,139.2,50800.0
2021-02-24 05:00:00,0.06,50713.91,51015.63,50002.51,50406.91,64.22,3250721.1269353917,50619.3,329.99,50263.12
2021-02-24 05:30:00,0.04,50378.51,50546.71,50200.0,50212.6,35.34,1779676.788174813,50363.78,82.17,50236.47
2021-02-24 06:00:00,0.08,50253.37,50703.1,49450.82,49610.76,75.73,3783975.0700624166,49969.44,314.26,50077.48
2021-02-24 06:30:00,0.04,49642.27,50428.29,49543.68,50140.49,35.15,1752526.4414345513,49861.23,196.12,49838.66
2021-02-24 07:00:00,0.03,50125.63,50183.63,49526.44,49679.13,16.75,834825.2295631886,49836.21,146.18,49779.38
2021-02-24 07:30:00,0.02,49717.54,50363.01,49704.76,50095.0,29.54,1481293.5165245289,50147.51,117.41,50025.21
2021-02-24 08:00:00,0.02,50041.59,50899.0,49845.77,50596.94,22.13,1113047.020904416,50298.34,284.98,50051.82
2021-02-24 08:30:00,0.02,50649.48,50904.42,50302.63,50684.06,29.24,1480121.6109433009,50611.98,139.39,50498.08
2021-02-24 09:00:00,0.04,50689.09,51058.84,50351.27,50789.26,29.03,1470298.1295804179,50654.72,170.2,50523.1
2021-02-24 09:30:00,0.03,50810.3,51442.01,50789.26,50901.73,27.65,1414789.0236782907,51160.81,177.73,51010.12
2021-02-24 10:00:00,0.04,50915.34,51044.54,50175.98,50455.23,34.32,1734093.8193193448,50527.25,222.34,50558.38
2021-02-24 10:30:00,0.04,50442.21,50644.76,50121.89,50121.89,30.93,1560740.037433769,50457.79,122.73,50530.7
2021-02-24 11:00:00,0.02,50152.87,50957.67,50121.89,50778.39,22.1,1113966.704487883,50411.35,191.02,50268.48
2021-02-24 11:30:00,0.03,50788.33,50880.7,50238.25,50360.62,11.92,601960.5347256792,50512.74,172.96,50403.17
2021-02-24 12:00:00,0.05,50409.14,51212.69,50377.9,51140.64,52.17,2656917.146371473,50924.43,223.7,50844.55
2021-02-24 12:30:00,0.03,51165.27,51364.74,50614.12,50742.99,37.62,1916465.3154930929,50944.67,167.95,50925.74
2021-02-24 13:00:00,0.1,50784.52,51114.68,49484.99,49598.12,200.33,10018550.380126009,50009.08,406.36,50000.0
2021-02-24 13:30:00,0.1,49620.52,49873.56,48940.12,49470.1,155.29,7673827.81046125,49416.27,175.94,49151.53
2021-02-24 14:00:00,0.07,49480.62,49792.18,49150.0,49507.37,103.43,5115300.134857182,49456.78,138.42,49571.01
2021-02-24 14:30:00,0.09,49507.37,49679.39,48730.24,49424.75,125.95,6189142.496531148,49138.55,231.41,49060.0
2021-02-24 15:00:00,0.09,49435.86,49669.02,48481.21,49170.86,76.56,3758382.531716436,49090.24,335.89,49280.22
2021-02-24 15:30:00,0.06,49170.86,49890.38,49009.85,49869.66,65.22,3224052.9639954194,49436.5,194.84,49300.29
2021-02-24 16:00:00,0.04,49898.58,50138.01,49415.39,49494.88,45.27,2253509.084211727,49778.56,185.3,50048.47
2021-02-24 16:30:00,0.04,49537.49,49907.16,49306.35,49393.64,35.41,1758033.2659135852,49645.36,133.54,49815.15
2021-02-24 17:00:00,0.06,49391.94,50016.49,49385.52,49772.89,111.33,5548370.459537282,49834.99,133.36,49821.18
2021-02-24 17:30:00,0.05,49771.38,50126.6,49647.68,50095.84,75.29,3753691.4459366514,49856.51,104.6,49841.42
2021-02-24 18:00:00,0.05,50122.58,50128.0,49552.45,49681.96,108.72,5416006.909896642,49817.11,151.82,50029.28
2021-02-24 18:30:00,0.04,49680.21,50033.53,49602.48,49612.0,52.08,2591242.0729385065,49753.64,111.47,49768.48
2021-02-24 19:00:00,0.05,49612.0,49732.31,49352.38,49479.2,54.11,2679104.702066073,49513.64,85.32,49448.61
2021-02-24 19:30:00,0.06,49472.89,49472.89,48900.0,48974.48,115.11,5647141.68900798,49059.52,107.56,49179.75
2021-02-24 20:00:00,0.06,48971.4,49255.71,48782.42,48907.6,92.79,4547423.309427517,49005.91,134.6,49112.8
2021-02-24 20:30:00,0.06,48906.88,49255.52,48626.66,49179.75,87.15,4261270.030006677,48896.64,173.31,49105.1
2021-02-24 21:00:00,0.06,49106.84,49171.5,48139.0,48218.64,77.08,3749068.0614944976,48638.86,289.68,49007.54
2021-02-24 21:30:00,0.04,48228.98,48968.01,48139.0,48811.21,58.54,2831936.624556856,48379.0,164.98,48196.07
2021-02-24 22:00:00,0.04,48790.49,48790.49,48113.83,48728.78,39.65,1920524.0654593275,48441.6,168.78,48511.01
2021-02-24 22:30:00,0.04,48735.81,49004.72,48505.47,48894.23,67.92,3312814.596386712,48772.53,102.25,48716.25
2021-02-24 23:00:00,0.03,48852.32,49579.74,48786.49,49347.98,31.1,1534289.1663423413,49340.79,152.77,49441.85
2021-02-24 23:30:00,0.03,49409.24,49809.31,49401.74,49766.06,26.24,1301356.313818906,49595.81,97.97,49510.11
