timestamp,Price [Md€],price_open,price_high,price_low,price_close,Amount [BTC],weighted_volume,okcn_vwap,sigma,okcn_vwmp (lower)
2021-02-24 00:00:00,0.02,48906.05,49078.28,47012.76,47225.92,33.19,1591053.288304,47943.65,617.51,48166.71
2021-02-24 00:30:00,0.01,47372.7,48454.85,47372.7,48446.34,18.14,870093.951356,47975.01,266.06,48199.35
2021-02-24 01:00:00,0.01,48516.41,49365.8,48476.68,49191.15,14.58,712667.37186,48886.5,211.71,48592.2
2021-02-24 01:30:00,0.01,49218.55,50201.53,48787.54,50201.53,21.81,1085621.3336729999,49781.33,326.86,49775.26
2021-02-24 02:00:00,0.02,50240.11,50573.85,49853.89,50029.73,17.0,852558.617151,50149.92,194.16,50275.95
2021-02-24 02:30:00,0.01,50118.78,50463.98,50035.8,50189.77,18.84,947448.423818,50280.92,100.81,50057.64
2021-02-24 03:00:00,0.01,50186.42,50535.14,50131.61,50283.96,12.37,622852.777199,50348.22,86.73,50341.88
2021-02-24 03:30:00,0.01,50299.72,50977.14,50250.74,50968.49,4.99,252571.923066,50651.14,232.58,50527.52
2021-02-24 04:00:00,0.01,50962.95,51383.99,50676.36,50676.36,17.3,884763.739772,51148.92,124.69,51254.0
2021-02-24 04:30:00,0.01,50801.68,50958.05,50365.76,50666.0,6.48,328282.328521,50687.45,145.93,50680.87
2021-02-24 05:00:00,0.01,50721.28,51044.41,50019.98,50432.42,11.59,584358.013992,50407.41,322.72,51025.96
2021-02-24 05:30:00,0.01,50400.81,50539.71,50226.92,50250.84,10.04,505696.57506,50390.27,76.71,50405.7
2021-02-24 06:00:00,0.02,50498.53,50660.34,49496.23,49732.53,19.08,953306.006851,49952.63,309.66,50487.81
2021-02-24 06:30:00,0.01,49689.23,50423.11,49608.92,50104.04,17.7,883554.761892,49926.81,215.47,49822.0
2021-02-24 07:00:00,0.01,50206.4,50206.4,49561.04,49739.65,8.24,410541.434521,49849.61,126.12,49804.08
2021-02-24 07:30:00,0.01,49801.05,50345.18,49801.05,50078.48,15.74,788887.387535,50125.01,123.28,50152.64
2021-02-24 08:00:00,0.02,50119.82,50881.7,49814.39,50637.39,14.7,740252.551223,50344.64,272.68,50609.45
2021-02-24 08:30:00,0.01,50648.67,50874.98,50335.45,50676.57,8.94,453576.523771,50709.54,133.56,50743.1
2021-02-24 09:00:00,0.01,50665.65,50978.83,50371.57,50777.48,12.69,644444.487836,50773.64,163.64,50916.42
2021-02-24 09:30:00,0.02,50788.02,51432.06,50788.02,50899.67,28.36,1449553.508657,51109.36,163.2,51071.41
2021-02-24 10:00:00,0.01,50905.82,51041.91,50255.76,50472.94,10.21,517361.317777,50658.13,195.93,50615.59
2021-02-24 10:30:00,0.01,50470.28,50646.41,50124.23,50144.41,6.13,308888.539317,50408.56,131.25,50198.17
2021-02-24 11:00:00,0.02,50140.45,50924.23,50140.45,50767.93,6.92,350486.224259,50635.86,175.88,50749.53
2021-02-24 11:30:00,0.01,50766.28,50903.97,50277.0,50377.79,3.61,181719.72526500002,50404.89,165.92,50350.99
2021-02-24 12:00:00,0.02,50406.27,51204.51,50378.29,51141.31,19.29,981871.404218,50896.85,210.7,50838.29
2021-02-24 12:30:00,0.01,51131.69,51338.97,50700.4,50735.42,9.11,464230.066585,50975.08,160.36,51338.97
2021-02-24 13:00:00,0.03,50779.47,51105.22,49518.2,49621.93,41.89,2108686.570152,50335.66,439.39,50243.46
2021-02-24 13:30:00,0.03,49628.68,49884.03,49108.0,49502.71,32.86,1625677.589041,49465.62,168.26,49767.15
2021-02-24 14:00:00,0.01,49532.6,49797.52,49174.28,49504.47,15.2,752026.071679,49477.35,147.05,49454.75
2021-02-24 14:30:00,0.02,49486.32,49668.45,48797.43,49416.13,7.84,385016.310565,49091.06,198.7,49176.38
2021-02-24 15:00:00,0.02,49385.65,49623.65,48509.32,49177.27,23.11,1130592.954168,48917.79,306.89,49065.58
2021-02-24 15:30:00,0.01,49183.8,49881.16,49106.18,49832.52,28.08,1392337.063054,49592.95,195.67,49584.95
2021-02-24 16:00:00,0.02,49887.05,50164.28,49471.26,49521.11,26.6,1326335.195211,49861.1,166.19,49800.5
2021-02-24 16:30:00,0.01,49539.69,49887.59,49355.08,49400.36,5.28,262314.751767,49641.34,112.5,49597.17
2021-02-24 17:00:00,0.01,49407.81,50004.3,49364.96,49744.76,4.95,246527.19544900002,49778.33,159.61,49779.0
