timestamp,Price [Md€],price_open,price_high,price_low,price_close,Amount [BTC],weighted_volume,bnus_vwap,sigma,bnus_vwmp (upper)
2021-02-24 00:00:00,0.09,48875.0,49096.01,47001.88,47269.36,69.58,3335597.24245541,47941.85,665.98,47605.05
2021-02-24 00:30:00,0.06,47272.36,48482.38,47239.9,48482.38,58.28,2781842.41254425,47733.24,293.64,47841.85
2021-02-24 01:00:00,0.08,48438.82,49359.42,48438.82,49154.88,65.99,3226518.67374435,48892.37,232.07,49030.23
2021-02-24 01:30:00,0.08,49169.14,50214.5,48775.58,50214.49,58.07,2876920.80632964,49541.45,325.68,48980.0
2021-02-24 02:00:00,0.09,50171.91,50566.28,49781.14,50050.0,73.48,3685459.78654846,50156.21,203.89,50236.58
2021-02-24 02:30:00,0.06,50031.42,50489.83,50031.42,50206.46,39.26,1973899.68412254,50283.16,98.83,50274.19
2021-02-24 03:00:00,0.05,50177.5,50534.89,50091.01,50259.89,34.78,1751258.3650763,50345.6,98.69,50303.96
2021-02-24 03:30:00,0.05,50257.57,50995.25,50236.75,50898.28,44.62,2260496.50357422,50661.82,227.89,50377.48
2021-02-24 04:00:00,0.09,50900.61,51399.11,50689.38,50689.38,70.27,3588936.99729595,51074.62,157.66,51267.09
2021-02-24 04:30:00,0.06,50700.0,50987.83,50342.02,50636.53,52.54,2662061.34490067,50668.31,148.06,50478.51
2021-02-24 05:00:00,0.06,50656.06,51030.13,49983.24,50385.42,45.31,2283559.22996148,50394.06,323.7,50544.79
2021-02-24 05:30:00,0.04,50381.62,50543.0,50183.71,50217.25,20.32,1023477.22114074,50361.53,80.32,50301.68
2021-02-24 06:00:00,0.07,50211.36,50678.4,49400.0,49692.25,66.81,3342781.45654213,50031.25,374.84,50217.25
2021-02-24 06:30:00,0.04,49674.54,50551.92,49524.08,50093.88,38.21,1913419.15026814,50073.13,219.82,49872.28
2021-02-24 07:00:00,0.03,50091.48,50140.69,49501.04,49673.11,26.46,1314622.8809429898,49679.96,161.18,49941.0
2021-02-24 07:30:00,0.03,49712.98,50362.13,49712.98,50042.91,21.25,1064423.78765055,50087.74,113.64,49891.0
2021-02-24 08:00:00,0.05,50089.2,50884.72,49818.38,50602.84,28.76,1452166.5419927,50495.95,241.19,50625.35
2021-02-24 08:30:00,0.03,50657.58,50876.97,50297.04,50658.05,25.65,1298848.04431681,50631.56,128.61,50489.18
2021-02-24 09:00:00,0.05,50661.48,51000.0,50362.72,50767.53,45.01,2282930.89245114,50719.91,164.32,50801.09
2021-02-24 09:30:00,0.06,50767.53,51402.65,50767.53,50904.26,29.37,1498852.59120875,51029.29,159.72,51051.0
2021-02-24 10:00:00,0.04,50908.49,51042.97,50178.57,50452.62,23.92,1210225.26741055,50587.09,227.09,50627.69
2021-02-24 10:30:00,0.04,50435.31,50621.67,50099.68,50111.98,21.43,1080932.76179024,50436.37,130.57,50126.58
2021-02-24 11:00:00,0.03,50113.4,50905.69,50113.4,50765.68,13.16,664148.47015825,50475.13,169.12,50430.25
2021-02-24 11:30:00,0.03,50757.43,50872.93,50246.9,50390.43,13.39,675644.03681633,50475.54,158.21,50340.66
2021-02-24 12:00:00,0.05,50397.47,51192.81,50324.99,51143.47,20.27,1028710.85383609,50744.68,233.97,51082.44
2021-02-24 12:30:00,0.04,51131.7,51323.93,50661.52,50744.2,13.06,666981.9308641499,51066.71,156.05,51210.84
2021-02-24 13:00:00,0.08,50758.51,51080.27,49411.17,49637.68,69.21,3462873.37735285,50035.27,455.52,50963.94
2021-02-24 13:30:00,0.08,49637.67,49852.85,49058.18,49468.85,50.32,2487485.51776324,49436.2,178.01,49444.0
2021-02-24 14:00:00,0.05,49497.41,49794.69,49180.38,49490.41,16.37,810873.57521779,49519.86,142.92,49430.0
2021-02-24 14:30:00,0.08,49490.4,49681.3,48757.06,49434.82,82.27,4047566.71217155,49198.35,193.17,49151.96
2021-02-24 15:00:00,0.09,49426.74,49660.45,48452.03,49180.81,75.33,3701951.27237798,49145.18,317.94,49469.53
2021-02-24 15:30:00,0.07,49178.7,49892.5,49020.18,49844.79,38.9,1924682.32076442,49477.37,197.66,49674.68
2021-02-24 16:00:00,0.07,49847.29,50141.0,49410.96,49510.21,41.49,2067742.16089675,49841.31,175.93,49741.0
