timestamp,Price [Md€],price_open,price_high,price_low,price_close,Amount [BTC],weighted_volume,btrx_vwap,sigma,btrx_vwmp (upper)
2021-02-24 00:00:00,0.05,48906.607,49070.307,46958.22,47250.924,32.8,1569806.922489649,47864.8,639.52,48019.06
2021-02-24 00:30:00,0.02,47289.12,48488.0,47289.12,48488.0,9.67,462728.2561359339,47849.23,279.38,47874.67
2021-02-24 01:00:00,0.04,48488.0,49350.321,48453.81,49136.048,23.43,1145921.4042278158,48911.97,221.15,48690.5
2021-02-24 01:30:00,0.06,49157.913,50229.466,48761.936,50199.989,31.61,1570052.9610446065,49662.88,361.92,49132.35
2021-02-24 02:00:00,0.05,50188.392,50600.0,49838.017,50056.012,24.62,1236984.8344304338,50253.13,196.08,50073.06
2021-02-24 02:30:00,0.02,50088.586,50490.058,50051.444,50230.77,7.92,398223.46346138825,50298.32,103.81,50423.73
2021-02-24 03:00:00,0.03,50213.589,50554.23,50105.146,50317.911,27.18,1371466.900738528,50456.21,82.45,50487.6
2021-02-24 03:30:00,0.03,50319.11,50999.99,50255.942,50949.591,10.93,554082.20757778,50708.98,216.03,50611.89
2021-02-24 04:00:00,0.03,50999.999,51386.269,50721.701,50721.701,11.56,590764.4245118548,51108.93,146.37,51294.82
2021-02-24 04:30:00,0.03,50744.63,51002.277,50400.0,50662.379,17.99,913849.3254125445,50789.24,160.35,50678.82
2021-02-24 05:00:00,0.04,50676.453,51030.517,50000.0,50406.684,23.18,1172762.6860467193,50597.99,301.75,50500.01
2021-02-24 05:30:00,0.02,50416.47,50547.73,50240.6,50244.01,9.7,488847.984977459,50392.5,81.39,50423.39
2021-02-24 06:00:00,0.05,50226.75,50709.49,49504.22,49653.234,25.66,1283555.6339321828,50029.71,367.67,50065.01
2021-02-24 06:30:00,0.02,49630.54,50400.0,49630.54,50119.51,12.62,631513.1697587463,50042.04,200.21,49774.76
2021-02-24 07:00:00,0.02,50114.94,50173.291,49551.014,49693.539,8.53,425268.4341179069,49875.42,155.43,50139.61
2021-02-24 07:30:00,0.02,49717.745,50346.99,49717.745,50105.15,11.4,571531.7973239223,50150.84,125.44,50149.42
2021-02-24 08:00:00,0.04,50105.15,50921.529,49840.0,50653.686,17.82,899316.1348810885,50478.81,258.1,50253.23
