timestamp,Price [Md€],price_open,price_high,price_low,price_close,Amount [BTC],weighted_volume,cbse_vwap,sigma,cbse_vwmp (upper)
2021-02-24 00:00:00,0.84,48899.99,49114.02,47002.0,47257.14,1333.18,63997836.819979906,48004.05,635.65,47365.74
2021-02-24 00:30:00,0.61,47257.14,48525.23,47224.82,48487.22,635.79,30404951.20090117,47822.24,279.12,47426.26
2021-02-24 01:00:00,0.69,48498.8,49375.0,48437.32,49200.0,854.33,41814403.409963645,48943.96,237.31,48709.93
2021-02-24 01:30:00,0.83,49214.39,50353.43,48759.13,50236.98,1045.92,51900780.74596068,49622.08,357.64,49850.0
2021-02-24 02:00:00,0.97,50236.98,50600.0,49832.71,50042.36,1140.98,57290544.8315983,50211.59,207.62,50239.19
2021-02-24 02:30:00,0.76,50048.58,50489.0,50039.71,50220.01,763.72,38418520.48192375,50304.63,98.18,50248.8
2021-02-24 03:00:00,0.66,50220.01,50559.39,50084.76,50284.21,686.83,34602355.961622365,50379.59,95.31,50506.06
2021-02-24 03:30:00,0.63,50286.6,51000.0,50239.17,50932.71,663.53,33588533.916021526,50620.86,243.56,50894.39
2021-02-24 04:00:00,0.79,50929.46,51398.0,50700.0,50712.59,1181.79,60390781.63357276,51100.97,156.88,51035.5
2021-02-24 04:30:00,0.56,50721.08,50991.5,50358.54,50650.86,738.65,37441431.98710595,50689.34,143.03,50787.01
2021-02-24 05:00:00,0.54,50655.08,51025.22,49978.89,50394.38,757.63,38309690.319697514,50565.0,313.34,50198.85
2021-02-24 05:30:00,0.37,50394.38,50554.59,50197.0,50225.89,289.54,14587232.786279043,50380.5,80.54,50428.14
2021-02-24 06:00:00,0.56,50234.41,50705.94,49436.23,49665.03,688.01,34416727.62420296,50023.73,357.74,50455.08
2021-02-24 06:30:00,0.4,49658.53,50400.0,49539.19,50099.64,389.13,19421071.65311168,49909.51,200.53,49929.0
2021-02-24 07:00:00,0.33,50098.05,50164.93,49520.91,49696.16,260.12,12958453.151585326,49816.61,149.29,49790.0
2021-02-24 07:30:00,0.25,49696.17,50350.0,49696.17,50082.62,238.81,11967854.021956895,50115.4,117.12,50265.07
2021-02-24 08:00:00,0.32,50090.93,50888.71,49782.86,50643.76,246.05,12411756.902567348,50443.85,267.02,50211.8
2021-02-24 08:30:00,0.28,50644.06,50891.81,50338.02,50666.7,257.53,13039549.240911406,50634.0,124.36,50750.8
2021-02-24 09:00:00,0.33,50664.17,50991.3,50356.56,50787.29,262.22,13296105.346413461,50706.59,170.09,50550.04
2021-02-24 09:30:00,0.34,50796.87,51415.41,50795.02,50900.68,289.76,14799844.205445472,51076.93,152.3,51025.8
2021-02-24 10:00:00,0.31,50904.97,51055.38,50172.36,50448.15,445.76,22549644.166804872,50587.04,219.03,50629.57
2021-02-24 10:30:00,0.29,50458.24,50644.65,50110.0,50134.22,333.71,16832091.603647258,50439.53,127.87,50490.36
2021-02-24 11:00:00,0.3,50129.71,50939.86,50129.7,50777.86,279.61,14121212.669157423,50503.22,175.66,50773.66
2021-02-24 11:30:00,0.29,50777.86,50893.21,50222.22,50380.0,282.25,14251847.652444627,50493.73,169.52,50340.56
2021-02-24 12:00:00,0.39,50379.99,51216.87,50368.45,51143.17,476.08,24199955.754145302,50832.15,231.04,50529.3
2021-02-24 12:30:00,0.46,51162.91,51332.84,50635.86,50738.3,673.06,34332315.595418766,51009.1,171.24,51258.45
2021-02-24 13:00:00,0.65,50738.3,51123.31,49474.58,49616.95,1179.03,59119672.19530425,50142.7,454.61,50500.26
2021-02-24 13:30:00,0.64,49780.06,49867.0,49000.0,49479.41,979.84,48416726.289017186,49412.91,184.4,49485.0
2021-02-24 14:00:00,0.51,49479.41,49804.39,49150.0,49492.97,543.17,26879371.805856034,49486.09,145.08,49484.78
2021-02-24 14:30:00,0.64,49483.59,49685.48,48731.33,49427.61,773.05,38001602.28965204,49157.92,201.35,49069.93
2021-02-24 15:00:00,0.72,49427.61,49641.49,48500.0,49178.48,891.75,43670493.833530486,48971.54,320.2,49527.27
2021-02-24 15:30:00,0.62,49178.47,49877.97,49022.9,49850.22,900.26,44541077.94833411,49475.78,199.78,49244.3
2021-02-24 16:00:00,0.53,49850.0,50144.92,49365.0,49513.85,777.06,38691429.15810104,49791.98,173.06,49732.93
2021-02-24 16:30:00,0.43,49524.42,49882.8,49353.95,49371.5,383.86,19063122.24561674,49661.83,117.96,49647.91
2021-02-24 17:00:00,0.45,49371.49,49999.0,49360.64,49740.88,445.82,22202231.666549046,49801.3,159.71,49690.11
2021-02-24 17:30:00,0.4,49744.8,50113.72,49637.27,50096.69,434.77,21662961.75284105,49826.08,104.32,49818.2
2021-02-24 18:00:00,0.43,50096.69,50103.57,49544.84,49685.15,495.8,24670642.9831881,49759.72,148.21,49800.0
2021-02-24 18:30:00,0.41,49685.14,50018.91,49600.0,49619.18,479.51,23890399.682518903,49822.54,110.83,49790.05
2021-02-24 19:00:00,0.44,49619.19,49733.51,49280.0,49474.27,576.87,28555539.155695163,49500.6,86.34,49550.65
2021-02-24 19:30:00,0.52,49472.47,49472.47,48833.24,48990.27,696.78,34184402.033873186,49060.55,104.42,49176.17
2021-02-24 20:00:00,0.46,48990.27,49276.8,48764.88,48898.07,637.3,31242091.9406574,49022.48,132.93,48840.01
2021-02-24 20:30:00,0.5,48898.08,49259.65,48608.58,49174.4,771.09,37660320.447916135,48840.55,149.94,49149.16
2021-02-24 21:00:00,0.52,49174.41,49174.41,48150.0,48173.98,736.36,35736261.22425593,48530.85,279.68,48641.37
2021-02-24 21:30:00,0.48,48178.24,48935.04,48111.0,48757.56,520.47,25190800.03179055,48400.51,182.96,48266.7
2021-02-24 22:00:00,0.54,48758.08,48760.22,48078.62,48710.06,466.22,22565450.318478324,48400.4,149.38,48306.97
2021-02-24 22:30:00,0.44,48710.06,48987.38,48500.0,48850.4,450.58,21972088.724391986,48764.17,100.72,48858.85
2021-02-24 23:00:00,0.46,48842.66,49549.5,48775.05,49360.0,550.25,27117869.24722908,49282.64,164.77,49350.02
2021-02-24 23:30:00,0.43,49359.99,49788.0,49359.99,49737.82,436.76,21668999.483152524,49613.33,91.72,49644.53
