timestamp,Price [Md€],price_open,price_high,price_low,price_close,Amount [BTC],weighted_volume,all_vwap,sigma,all_vwmp (upper)
2021-02-24 00:00:00,2.0,48899.99,49130.5,46902.0,47260.0,3107.08,148892872.5048813,47920.53,645.13,47675.7
2021-02-24 00:30:00,1.26,47257.14,48526.33,47166.0,48498.9,1416.78,67722459.36190072,47800.29,288.71,48472.1
2021-02-24 01:00:00,1.52,48499.0,49380.0,48412.0,49200.0,2210.72,108167272.84768607,48928.49,233.03,49103.8
2021-02-24 01:30:00,1.95,49214.39,50353.43,48732.8,50236.98,2628.34,130463310.49857698,49637.09,356.48,49500.0
2021-02-24 02:00:00,2.01,50224.22,50820.16,49781.14,50042.36,2669.2,134021247.34105976,50210.2,204.75,50159.4
2021-02-24 02:30:00,1.42,50054.3,50490.058,50027.0,50220.01,1737.96,87412958.94335984,50296.35,99.57,50165.3
2021-02-24 03:00:00,1.18,50190.12,50573.45,50042.0,50284.21,1513.76,76256590.06438957,50375.68,102.27,50506.06
2021-02-24 03:30:00,1.27,50286.6,51001.0,50207.0,50932.71,1561.65,79094303.36477986,50647.81,235.35,50941.6
2021-02-24 04:00:00,1.6,50929.46,51459.51,50647.0,50701.0,2364.35,120802684.21594639,51093.51,161.34,51294.82
2021-02-24 04:30:00,1.21,50721.08,51002.277,50328.0,50650.86,1638.19,83037926.82699712,50688.77,150.66,50678.82
2021-02-24 05:00:00,1.27,50611.0,51064.836108,49941.0,50394.38,1726.06,87180512.81527881,50508.35,323.68,50860.9
2021-02-24 05:30:00,0.86,50394.38,50554.59,50124.0,50166.0,893.7,45000937.805007316,50353.74,91.51,50310.7
2021-02-24 06:00:00,1.55,50264.18,50710.31,49210.0,49665.03,2465.59,123062393.93538117,49912.03,369.74,49884.1
2021-02-24 06:30:00,0.95,49658.53,50551.92,49524.08,50099.64,1176.49,58726102.99021525,49916.31,207.42,50063.9
2021-02-24 07:00:00,0.82,50098.05,50206.4,49472.0,49696.16,762.83,37994426.130892105,49807.27,156.85,50139.61
2021-02-24 07:30:00,0.72,49712.25,50374.4,49659.0,50082.62,800.78,40127259.600461535,50110.45,119.08,49960.0
2021-02-24 08:00:00,1.11,50090.93,50944.0,49770.5,50643.76,1513.71,76500905.43076779,50538.79,276.9,50391.7
2021-02-24 08:30:00,0.84,50643.59,51089.72,50287.0,50666.7,1111.08,56257219.87708688,50633.0,143.41,50713.9
2021-02-24 09:00:00,0.89,50659.75,51058.84,50293.0,50787.29,1105.49,56063774.25482082,50713.8,172.32,50801.0
2021-02-24 09:30:00,1.11,50797.05,51449.5,50695.0,50900.68,1465.82,74846407.77918138,51061.09,166.0,51003.9
2021-02-24 10:00:00,1.06,50900.0,51088.359,50052.0,50474.9,1418.82,71812341.47969852,50614.13,239.18,50667.5
2021-02-24 10:30:00,0.82,50442.21,50671.5,50050.0,50150.1,1062.57,53584775.43847464,50429.3,143.88,50650.6
2021-02-24 11:00:00,0.79,50127.96,50957.67,50057.0,50777.86,877.29,44314860.7369747,50513.14,176.15,50599.6
2021-02-24 11:30:00,0.68,50777.86,50903.97,50200.0,50380.0,851.1,42968091.037890755,50485.09,172.41,50366.0
2021-02-24 12:00:00,1.13,50379.99,51227.0,50324.99,51132.5,1482.15,75381417.92039596,50859.44,226.46,50758.39
2021-02-24 12:30:00,1.0,51162.91,51364.74,50603.0,50746.3,1771.02,90316404.43358858,50996.7,170.91,51000.0
2021-02-24 13:00:00,1.93,50738.3,51123.31,49329.0,49621.93,3644.66,182640189.00869566,50111.72,449.11,50600.0
2021-02-24 13:30:00,1.63,49620.0,49898.5,48940.12,49479.41,2873.49,141962080.842357,49404.03,183.47,49451.22
2021-02-24 14:00:00,1.13,49480.2,49811.25,49100.7,49492.97,1263.6,62520781.66427427,49478.34,152.67,49400.0
2021-02-24 14:30:00,1.61,49483.59,49713.864,48691.6,49427.61,2552.49,125474682.16564494,49157.66,209.55,49069.9
2021-02-24 15:00:00,1.69,49430.41,49670.727,48350.0,49178.48,2077.16,101701862.79462492,48961.87,334.19,48773.04
2021-02-24 15:30:00,1.36,49171.11,49916.8,48883.1808809,49850.22,1892.1,93600141.85540457,49468.93,201.5,49507.4
2021-02-24 16:00:00,1.23,49847.54,50314.08,49365.0,49510.21,1681.47,83743156.97582251,49803.64,184.89,49942.0
2021-02-24 16:30:00,0.89,49536.01,49907.16,49298.688164,49330.0,840.13,41706751.85706612,49643.44,129.25,49660.0
2021-02-24 17:00:00,0.89,49371.49,50016.49,49313.0,49738.96,938.53,46734263.814715214,49794.96,156.53,49901.9
2021-02-24 17:30:00,0.79,49744.8,50126.6,49611.0,50081.0,967.95,48251878.06148706,49849.39,110.06,49845.4
2021-02-24 18:00:00,0.88,50096.69,50171.79,49510.0,49685.15,1079.26,53729691.04396164,49783.83,147.94,49700.0
2021-02-24 18:30:00,0.78,49685.14,50044.5,49579.819,49619.18,871.51,43416382.41241701,49817.61,111.8,49790.05
