timestamp,Price [Md€],price_open,price_high,price_low,price_close,Amount [BTC],weighted_volume,all_vwap,sigma,all_vwmp (upper)
2021-02-24 00:00:00,0.35,48899.99,49130.5,48539.0,48624.42,583.09,28503138.08663751,48882.58,141.04,48828.35
2021-02-24 00:05:00,0.17,48593.69,48775.75,48465.0,48633.92,228.28,11097360.553812087,48612.32,57.69,48661.84
2021-02-24 00:10:00,0.29,48632.41,48899.6,48075.0,48142.8,373.77,18103256.642204814,48434.17,137.62,48472.9
2021-02-24 00:15:00,0.42,48154.657,48167.2,47518.0,47800.99,632.62,30240904.35033609,47802.74,150.79,47734.6
2021-02-24 00:20:00,0.5,47752.0,47830.93,46902.0,47104.64,788.51,37304025.36537579,47309.6,217.6,47365.74
2021-02-24 00:25:00,0.25,47025.0,47378.95,46980.0,47260.0,500.8,23644187.506515004,47212.42,78.2,47160.76
2021-02-24 00:30:00,0.27,47257.14,47736.0,47166.0,47668.1,388.64,18466186.0894031,47514.7,107.96,47426.26
2021-02-24 00:35:00,0.19,47664.14,47845.65,47528.0,47728.49,243.02,11591260.538776575,47695.81,60.5,47584.9
2021-02-24 00:40:00,0.19,47728.49,47899.99,47571.99,47734.83,251.28,11994221.13124271,47732.63,59.16,47716.5
2021-02-24 00:45:00,0.15,47749.12,48000.0,47707.0,47767.19,137.15,6558640.718876309,47820.75,49.1,47870.8
2021-02-24 00:50:00,0.24,47773.75,48250.0,47704.0,48200.0,172.11,8254533.687602039,47960.78,148.79,47900.0
2021-02-24 00:55:00,0.22,48200.0,48526.33,48133.0,48498.9,224.57,10857617.195999984,48347.8,86.66,48472.1
2021-02-24 01:00:00,0.23,48499.0,48729.76,48412.0,48556.69,317.75,15435527.888672449,48578.08,65.79,48661.5
2021-02-24 01:05:00,0.25,48509.03,48910.307,48492.78,48824.0,249.32,12153276.961380672,48745.62,79.38,48629.0
2021-02-24 01:10:00,0.23,48840.57,49000.0,48643.1,48758.8,432.65,21127662.307302877,48833.31,75.45,48899.0
2021-02-24 01:15:00,0.24,48758.8,49112.8,48705.499,49033.55,445.25,21803014.34499058,48968.35,73.79,49103.8
2021-02-24 01:20:00,0.28,49014.25,49225.07,48855.0,49219.59,341.56,16751089.520566719,49042.32,72.0,49152.0
2021-02-24 01:25:00,0.3,49167.366966,49380.0,49094.24,49200.0,424.19,20896701.82477277,49262.05,61.76,49300.0
2021-02-24 01:30:00,0.26,49214.39,49237.6,48732.8,49012.0,307.52,15067007.847389607,48995.68,111.88,48981.4
2021-02-24 01:35:00,0.24,48990.05,49336.48,48896.0,49285.0,205.97,10125559.284158159,49161.15,103.87,49285.3
2021-02-24 01:40:00,0.46,49306.75,49914.25,49282.62,49732.09,754.15,37433862.561818935,49637.34,157.2,49750.0
2021-02-24 01:45:00,0.29,49699.0,49979.66,49650.0,49821.0,375.85,18723786.765821546,49817.46,70.36,49775.8
2021-02-24 01:50:00,0.28,49828.75,49900.0,49500.0,49813.98,425.89,21167628.080870092,49701.98,77.7,49713.0
2021-02-24 01:55:00,0.42,49813.98,50353.43,49571.0,50236.98,558.97,27945465.958518643,49994.27,153.72,50000.0
