timestamp,Price [Md€],price_open,price_high,price_low,price_close,Amount [BTC],weighted_volume,bfly_vwap,sigma,bfly_vwmp (upper)
2021-02-24 00:00:00,0.0,48929.54,48929.54,48929.54,48929.54,0.12,5871.5448,48929.54,0.0,48929.54
2021-02-24 00:05:00,0.0,48683.05,48683.05,48683.05,48683.05,0.01,486.83050000000003,48683.05,0.0,48683.05
2021-02-24 00:10:00,0.0,48574.05,48574.05,48263.33,48263.33,0.41,19743.916222757,48264.28,155.36,48574.05
2021-02-24 00:15:00,0.0,47873.53,47873.53,47648.25,47817.29,0.18,8642.6985331957,47740.29,76.23,47817.29
2021-02-24 00:20:00,0.0,47500.0,47500.0,47086.89,47153.51,0.22,10359.0422395844,47312.58,143.36,47153.51
2021-02-24 00:25:00,0.0,47247.61,47300.6,47247.61,47300.6,0.07,3355.1632,47255.82,26.49,47300.6
2021-02-24 00:30:00,0.0,47399.97,47563.17,47399.97,47563.17,0.07,3131.2648843829998,47548.66,81.6,47399.97
2021-02-24 00:35:00,0.0,47741.14,47741.14,47741.14,47741.14,0.12,5728.9367999999995,47741.14,0.0,47741.14
2021-02-24 00:50:00,0.0,48128.38,48191.14,48128.38,48191.14,0.76,36651.053249386,48129.15,23.23,48191.14
2021-02-24 01:10:00,0.0,48934.14,48934.14,48798.7,48798.7,0.21,10263.9798,48876.09,67.72,48798.7
2021-02-24 01:35:00,0.0,49140.16,49140.16,49140.16,49140.16,0.08,4099.626447753601,49140.16,0.0,49140.16
2021-02-24 01:40:00,0.0,49777.91,49818.51,49777.91,49818.51,0.62,31017.657198759003,49810.69,17.58,49818.51
2021-02-24 01:55:00,0.0,50161.64,50161.64,50161.64,50161.64,0.12,6019.3967999999995,50161.64,0.0,50161.64
2021-02-24 02:00:00,0.0,49994.55,50513.79,49994.55,50513.79,1.76,88390.53603940441,50196.82,131.77,50200.0
2021-02-24 02:15:00,0.0,50136.78,50136.78,50136.78,50136.78,0.0,210.57447599999998,50136.78,0.0,50136.78
2021-02-24 03:55:00,0.0,50948.0,50948.0,50948.0,50948.0,0.25,12737.0,50948.0,0.0,50948.0
2021-02-24 04:00:00,0.0,51025.46,51025.46,51014.38,51014.38,0.42,21427.919876,51018.86,5.54,51025.46
2021-02-24 04:25:00,0.0,50736.28,50743.89,50736.28,50743.89,0.35,17779.654775581603,50741.72,3.81,50736.28
2021-02-24 06:10:00,0.0,50050.8,50050.8,49656.52,49656.52,0.13,6590.034226184,49698.24,181.0,50050.8
2021-02-24 06:40:00,0.0,49923.2,49981.91,49923.2,49944.75,0.3,14984.986,49949.95,24.25,49923.2
2021-02-24 06:45:00,0.0,50016.68,50018.9,50016.68,50018.9,0.19,9703.4446,50017.76,1.11,50018.9
2021-02-24 06:50:00,0.0,50018.9,50018.9,50018.9,50018.9,0.94,47207.83782,50018.9,0.0,50018.9
2021-02-24 07:15:00,0.0,49680.1,49680.1,49680.1,49680.1,0.03,1623.412525332,49680.1,0.0,49680.1
2021-02-24 08:00:00,0.0,49890.34,49890.34,49890.34,49890.34,0.4,20203.14307334,49890.34,0.0,49890.34
2021-02-24 08:10:00,0.0,50410.65,50410.65,50410.65,50410.65,0.38,19240.785790330505,50410.65,0.0,50410.65
2021-02-24 08:35:00,0.0,50726.45,50726.45,50726.45,50726.45,0.0,96.38025499999999,50726.45,0.0,50726.45
2021-02-24 09:15:00,0.0,50890.43,50890.43,50890.43,50890.43,0.01,508.90430000000003,50890.43,0.0,50890.43
2021-02-24 09:20:00,0.0,50900.0,50900.0,50900.0,50900.0,0.1,5090.0,50900.0,0.0,50900.0
2021-02-24 09:30:00,0.0,50907.35,50907.35,50907.35,50907.35,0.12,6108.882,50907.35,0.0,50907.35
2021-02-24 09:35:00,0.0,50846.85,50846.85,50846.85,50846.85,0.12,6101.621999999999,50846.85,0.0,50846.85
2021-02-24 10:30:00,0.0,50544.26,50544.26,50544.26,50544.26,0.12,6065.3112,50544.26,0.0,50544.26
2021-02-24 10:35:00,0.0,50486.11,50486.11,50486.11,50486.11,0.02,918.847202,50486.11,0.0,50486.11
2021-02-24 11:10:00,0.0,50500.0,50500.0,50500.0,50500.0,0.15,7588.65924,50500.0,0.0,50500.0
2021-02-24 11:20:00,0.0,50436.16,50436.16,50436.16,50436.16,0.12,6052.3392,50436.16,0.0,50436.16
2021-02-24 11:35:00,0.0,50702.08,50702.08,50702.08,50702.08,0.0,152.10624,50702.08,0.0,50702.08
2021-02-24 12:25:00,0.0,51078.18,51078.18,51078.18,51078.18,0.0,51.07818,51078.18,0.0,51078.18
2021-02-24 12:35:00,0.0,51229.87,51229.87,51229.87,51229.87,0.12,6147.5844,51229.87,0.0,51229.87
2021-02-24 13:10:00,0.0,50500.0,50500.0,50500.0,50500.0,0.44,22427.050000000003,50500.0,0.0,50500.0
