timestamp,Price [Md€],price_open,price_high,price_low,price_close,Amount [BTC],weighted_volume,stmp_vwap,sigma,stmp_vwmp (upper)
2021-02-24 00:00:00,0.01,48927.33,49098.88,48544.12,48653.24,40.99,2005358.323016214,48919.06,133.04,48658.52
2021-02-24 00:05:00,0.0,48742.39,48742.39,48500.0,48591.62,15.5,753192.9943772684,48597.63,53.05,48566.76
2021-02-24 00:10:00,0.01,48597.69,48707.06,48176.15,48212.59,41.48,2013073.1613209883,48529.18,129.44,48500.0
2021-02-24 00:15:00,0.01,48122.09,48135.0,47601.0,47801.0,38.46,1841865.4714954367,47885.41,148.55,47994.68
2021-02-24 00:20:00,0.02,47763.98,47766.37,47000.0,47113.39,61.06,2883912.7510941485,47234.23,204.5,47081.43
2021-02-24 00:25:00,0.01,47144.02,47366.24,47031.47,47239.68,27.77,1311448.4724148845,47220.68,64.49,47160.76
2021-02-24 00:30:00,0.01,47275.7,47704.51,47275.7,47600.3,11.69,555586.4708548859,47508.51,107.64,47414.13
2021-02-24 00:35:00,0.0,47645.43,47782.15,47575.45,47700.87,11.61,553884.277242323,47715.73,52.39,47709.87
2021-02-24 00:40:00,0.01,47721.1,47872.7,47609.13,47771.44,26.18,1249919.4360559685,47749.63,60.37,47678.24
2021-02-24 00:45:00,0.0,47751.34,47954.75,47713.42,47765.21,13.56,648090.0473802045,47793.83,48.66,47853.34
2021-02-24 00:50:00,0.01,47821.21,48234.0,47729.73,48185.85,9.23,442491.7096396002,47964.32,158.52,47903.5
2021-02-24 00:55:00,0.01,48174.84,48517.93,48150.78,48504.0,16.82,812626.8944277593,48304.48,85.16,48436.55
2021-02-24 01:00:00,0.01,48476.94,48714.58,48425.2,48506.24,36.07,1751782.6861516703,48570.96,67.26,48476.94
2021-02-24 01:05:00,0.01,48509.03,48896.44,48509.03,48815.07,15.45,752556.5031115668,48720.82,75.91,48725.53
2021-02-24 01:10:00,0.01,48815.65,49000.0,48669.45,48746.72,58.32,2848510.0289024226,48842.66,78.25,48792.84
2021-02-24 01:15:00,0.02,48721.74,49088.94,48721.74,49015.94,159.35,7806666.507268768,48991.69,54.88,48853.67
2021-02-24 01:20:00,0.01,49012.22,49184.21,48855.0,49184.21,16.6,813553.0357302263,48995.9,75.96,48901.0
2021-02-24 01:25:00,0.01,49184.22,49355.73,49094.24,49155.93,62.43,3075067.320561747,49256.27,57.2,49215.58
2021-02-24 01:30:00,0.01,49180.68,49227.94,48740.75,49025.78,41.58,2038039.6586683323,49017.72,121.11,48773.04
2021-02-24 01:35:00,0.01,48990.05,49331.1,48926.76,49301.2,23.04,1132210.6841306249,49131.82,108.19,49302.33
2021-02-24 01:40:00,0.02,49301.54,49892.56,49301.54,49716.85,53.7,2661337.9642312983,49559.93,145.79,49543.29
2021-02-24 01:45:00,0.01,49699.0,49937.18,49655.24,49778.36,51.18,2548952.7686668783,49805.87,66.23,49777.62
2021-02-24 01:50:00,0.01,49796.82,49900.0,49530.0,49767.98,54.7,2720528.803860909,49739.19,79.44,49764.0
2021-02-24 01:55:00,0.01,49774.85,50232.0,49636.86,50206.74,33.32,1664974.855726673,49968.83,129.02,50043.91
2021-02-24 02:00:00,0.02,50224.22,50567.78,49872.46,50521.49,44.9,2254677.498511959,50219.5,182.72,50439.0
2021-02-24 02:05:00,0.02,50556.07,50820.16,50240.0,50340.55,93.17,4707490.281837065,50528.1,106.52,50459.15
2021-02-24 02:10:00,0.01,50312.78,50363.99,50000.0,50326.65,39.34,1975267.3566292734,50207.17,96.58,50192.13
2021-02-24 02:15:00,0.01,50339.01,50367.81,49900.0,50093.32,31.97,1600009.858573923,50049.98,112.12,50060.33
2021-02-24 02:20:00,0.0,50138.49,50151.97,49815.26,49852.33,9.79,489023.6176856028,49951.81,93.38,50029.75
2021-02-24 02:25:00,0.01,49862.83,50176.88,49842.17,50045.09,50.14,2509272.9657470277,50049.82,74.97,49927.58
2021-02-24 02:30:00,0.01,50054.3,50374.28,50047.6,50230.45,34.99,1757423.7265318832,50219.69,90.75,50081.68
2021-02-24 02:35:00,0.01,50237.03,50471.57,50233.86,50335.55,23.65,1191106.218036459,50365.86,53.93,50308.41
2021-02-24 02:40:00,0.01,50308.52,50384.6,50055.05,50103.24,55.93,2811450.1021139496,50271.44,75.78,50338.58
2021-02-24 02:45:00,0.01,50163.93,50447.83,50163.93,50309.04,14.56,732965.9138651027,50333.52,48.83,50296.77
2021-02-24 02:50:00,0.01,50350.8,50411.42,50247.29,50366.85,15.94,801925.7816300674,50312.45,42.8,50350.8
2021-02-24 02:55:00,0.01,50393.47,50485.11,50194.73,50202.83,64.31,3239172.076483601,50366.12,69.04,50220.56
2021-02-24 03:00:00,0.01,50190.12,50470.0,50090.0,50442.94,31.67,1595097.3357996389,50361.44,111.85,50400.0
2021-02-24 03:05:00,0.01,50460.73,50535.61,50317.81,50334.42,43.42,2190933.6550971004,50460.72,47.26,50317.81
2021-02-24 03:10:00,0.01,50325.6,50540.0,50285.73,50457.52,65.53,3302207.7430446474,50393.81,66.32,50379.19
2021-02-24 03:15:00,0.0,50426.96,50504.2,50254.24,50457.81,9.97,502149.36596434406,50368.1,53.01,50376.9
2021-02-24 03:20:00,0.01,50441.96,50460.85,50251.96,50272.29,33.99,1712224.5933248505,50367.78,45.94,50336.84
2021-02-24 03:25:00,0.01,50288.91,50349.04,50220.5,50278.19,44.87,2256551.4791342774,50286.84,26.1,50243.78
2021-02-24 03:30:00,0.0,50301.24,50379.66,50238.81,50368.17,7.66,385003.6147085005,50290.3,29.53,50316.23
2021-02-24 03:35:00,0.01,50397.18,50525.21,50315.26,50524.53,15.0,756002.5951260597,50409.18,59.66,50512.62
2021-02-24 03:40:00,0.01,50539.0,50571.22,50368.5,50442.9,20.5,1034890.485299968,50478.45,52.9,50439.57
2021-02-24 03:45:00,0.01,50448.28,50737.03,50314.46,50722.18,22.8,1153605.838444933,50587.14,137.17,50374.65
2021-02-24 03:50:00,0.01,50752.52,50886.8,50739.0,50827.8,16.53,840098.4862583344,50825.46,37.49,50780.34
2021-02-24 03:55:00,0.01,50863.85,51000.0,50829.56,50939.95,35.29,1797208.7587155334,50924.14,37.43,50863.85
2021-02-24 04:00:00,0.01,50937.53,51129.97,50926.06,51036.49,36.29,1852056.7264461378,51037.26,45.14,51083.5
2021-02-24 04:05:00,0.01,51050.62,51265.05,51044.95,51224.99,35.04,1793628.3603283388,51181.01,49.8,51187.89
2021-02-24 04:10:00,0.01,51253.2,51459.51,51173.63,51300.0,73.0,3742022.9097976964,51263.15,58.14,51239.62
2021-02-24 04:15:00,0.01,51318.92,51394.1,50940.0,51010.06,50.52,2584011.1864467226,51146.97,154.57,51355.18
2021-02-24 04:20:00,0.01,50996.89,51162.89,50814.87,51020.05,25.19,1283651.596244486,50962.39,93.11,51108.41
2021-02-24 04:25:00,0.01,51050.99,51069.51,50689.07,50721.44,43.01,2189799.2978100977,50912.37,123.93,50727.02
2021-02-24 04:30:00,0.01,50713.27,50893.44,50668.94,50786.71,46.4,2357428.5545133464,50802.33,50.49,50752.06
2021-02-24 04:35:00,0.01,50774.66,50871.2,50617.65,50669.43,15.93,807481.2454989759,50701.7,57.23,50689.1
2021-02-24 04:40:00,0.01,50600.0,50608.67,50362.09,50362.09,10.89,550463.5208371523,50551.74,75.7,50431.97
2021-02-24 04:45:00,0.0,50342.26,50699.63,50342.26,50699.63,23.37,1181492.2143247584,50549.18,79.33,50642.95
2021-02-24 04:50:00,0.01,50711.39,50962.54,50711.39,50899.42,18.3,931652.0888070189,50903.43,60.12,50867.65
2021-02-24 04:55:00,0.01,50904.48,50927.27,50640.0,50650.54,17.5,889369.3191476457,50813.03,55.46,50824.48
2021-02-24 05:00:00,0.01,50665.34,50932.75,50646.94,50892.18,40.53,2060112.5918719065,50827.29,64.32,50729.78
2021-02-24 05:05:00,0.01,50919.88,51039.0,50883.28,50932.86,13.67,696160.7888246011,50929.33,38.49,50917.52
2021-02-24 05:10:00,0.01,50883.72,50920.0,50643.29,50675.36,20.97,1064485.5918762549,50762.86,86.02,50829.03
2021-02-24 05:15:00,0.01,50632.18,50640.0,50222.99,50237.63,65.58,3309063.74801063,50459.77,129.01,50448.42
2021-02-24 05:20:00,0.02,50236.46,50415.8,50000.0,50071.06,52.69,2642061.2246821444,50147.96,96.72,50261.19
