timestamp,Price [Md€],price_open,price_high,price_low,price_close,Amount [BTC],weighted_volume,itbi_vwap,sigma,itbi_vwmp (upper)
2021-02-24 00:00:00,0.01,48919.5,49100.0,48574.75,48630.75,1.69,82816.432991305,48906.98,141.03,48602.0
2021-02-24 00:05:00,0.01,48650.25,48775.75,48534.5,48612.75,1.47,71517.53313392,48637.9,54.96,48728.5
2021-02-24 00:10:00,0.01,48592.75,48629.75,48189.0,48189.0,2.35,113641.530320985,48382.36,111.3,48277.0
2021-02-24 00:15:00,0.01,48109.75,48109.75,47589.25,47822.5,3.81,182678.59093549752,47900.37,144.07,48014.0
2021-02-24 00:20:00,0.01,47783.75,47783.75,47022.75,47077.0,3.0,142097.618440535,47332.24,238.96,47093.5
2021-02-24 00:25:00,0.01,47115.5,47326.5,47022.0,47225.25,5.88,277608.27757859,47190.28,67.85,47187.75
2021-02-24 00:30:00,0.01,47270.25,47680.75,47270.25,47675.0,3.86,183377.41823419,47500.82,96.28,47511.0
2021-02-24 00:35:00,0.01,47657.5,47802.5,47554.75,47721.5,1.59,75675.67538258,47690.98,53.24,47615.5
2021-02-24 00:40:00,0.0,47721.5,47863.75,47636.0,47725.5,0.75,35732.04492137,47737.52,57.47,47727.25
2021-02-24 00:45:00,0.01,47725.5,47952.0,47709.0,47785.75,0.79,37872.78994529,47807.74,42.71,47822.0
2021-02-24 00:50:00,0.01,47771.0,48249.25,47732.75,48198.75,0.93,44422.1564043625,47963.03,157.2,48213.5
2021-02-24 00:55:00,0.01,48198.75,48485.25,48183.75,48485.25,1.18,56767.84885566,48305.52,69.17,48254.75
2021-02-24 01:00:00,0.01,48485.25,48726.5,48447.75,48510.25,1.63,78984.27226556001,48567.6,59.14,48576.0
2021-02-24 01:05:00,0.01,48552.25,48902.5,48552.25,48822.5,1.6,78130.7236567925,48730.62,87.83,48763.5
2021-02-24 01:10:00,0.0,48824.0,48953.0,48738.75,48743.5,1.27,62297.003308485,48863.44,72.41,48743.5
2021-02-24 01:15:00,0.0,48758.0,49065.5,48738.0,49039.0,3.78,185026.654468955,48944.22,62.87,48903.75
2021-02-24 01:20:00,0.01,49014.25,49203.25,48886.75,49203.25,1.27,62431.103757805,49035.65,72.36,49050.75
2021-02-24 01:25:00,0.01,49203.25,49333.0,49151.75,49170.5,8.19,403831.56213738,49295.36,58.0,49310.0
2021-02-24 01:30:00,0.01,49205.5,49232.5,48791.25,49019.0,1.75,85884.512161735,49022.46,104.86,48927.75
2021-02-24 01:35:00,0.01,49010.5,49323.5,48938.0,49307.25,0.97,47858.762594255,49146.63,107.11,49185.25
2021-02-24 01:40:00,0.01,49307.25,49914.25,49307.0,49745.25,22.98,1141719.3977217874,49692.99,154.43,49666.75
2021-02-24 01:45:00,0.01,49765.0,49953.5,49700.0,49819.5,6.87,341475.6223902475,49726.87,71.93,49925.75
2021-02-24 01:50:00,0.01,49819.5,49826.25,49526.5,49797.5,4.89,243040.217393685,49705.11,71.88,49594.5
2021-02-24 01:55:00,0.01,49803.75,50208.25,49662.5,50193.25,5.15,257633.921769655,50024.55,148.68,49679.75
2021-02-24 02:00:00,0.01,50193.25,50560.25,49867.25,50560.25,14.05,708086.24470914,50390.22,189.83,50327.75
2021-02-24 02:05:00,0.01,50550.5,50553.0,50226.75,50313.25,2.7,136082.5571537775,50402.57,77.0,50402.0
2021-02-24 02:10:00,0.01,50339.75,50356.5,49992.0,50318.25,1.45,72737.0780107,50171.69,85.35,50138.75
2021-02-24 02:15:00,0.01,50318.25,50343.75,49902.5,50052.0,5.36,268804.21939369,50107.75,109.63,49919.25
2021-02-24 02:20:00,0.01,50082.0,50127.0,49821.5,49860.75,3.35,167467.090893445,49949.94,85.73,50019.75
2021-02-24 02:25:00,0.01,49855.75,50144.75,49850.5,50017.0,0.85,42531.6654962775,49978.99,68.04,49908.0
2021-02-24 02:30:00,0.01,50044.0,50319.0,50044.0,50211.5,1.79,90026.32657372,50203.98,79.2,50307.75
2021-02-24 02:35:00,0.01,50200.0,50466.25,50200.0,50336.25,1.5,75747.870246235,50362.25,59.81,50393.25
2021-02-24 02:40:00,0.01,50325.5,50335.0,50027.0,50087.5,2.28,114451.6697896275,50185.52,87.79,50167.5
2021-02-24 02:45:00,0.0,50089.75,50437.75,50089.75,50292.25,1.53,76867.8713129675,50291.85,74.89,50300.75
2021-02-24 02:50:00,0.01,50297.75,50415.75,50245.25,50316.75,1.13,56618.3040793025,50318.26,38.66,50311.0
2021-02-24 02:55:00,0.01,50371.0,50405.5,50165.0,50215.5,3.22,161927.1470223025,50267.01,64.04,50382.5
2021-02-24 03:00:00,0.01,50166.25,50481.25,50073.0,50424.0,1.39,69887.975425755,50260.29,117.61,50332.25
2021-02-24 03:05:00,0.01,50423.75,50529.0,50283.0,50309.0,0.94,47364.63559222,50435.19,60.87,50309.0
2021-02-24 03:10:00,0.01,50309.75,50484.25,50254.0,50426.5,2.73,137175.56974174,50323.22,61.42,50476.0
2021-02-24 03:15:00,0.01,50384.0,50493.0,50228.0,50445.0,1.88,94575.07288248501,50363.28,61.6,50374.25
2021-02-24 03:20:00,0.01,50466.0,50466.0,50248.5,50284.0,0.97,48753.0662314,50343.7,41.49,50326.75
2021-02-24 03:25:00,0.0,50276.75,50336.0,50219.75,50262.75,0.28,14214.29401328,50293.7,28.62,50292.25
2021-02-24 03:30:00,0.0,50282.25,50351.25,50244.0,50351.25,0.81,40475.0650463825,50274.69,25.09,50276.5
2021-02-24 03:35:00,0.01,50351.25,50519.0,50318.0,50519.0,1.21,61098.82785098,50400.62,48.48,50351.25
2021-02-24 03:40:00,0.0,50528.0,50541.25,50383.5,50481.75,0.96,48437.5223078225,50473.06,48.91,50395.5
2021-02-24 03:45:00,0.01,50435.5,50729.75,50313.75,50729.75,3.24,163995.0058555425,50555.65,114.78,50361.5
2021-02-24 03:50:00,0.01,50730.0,50893.25,50730.0,50835.25,1.44,73373.1023161,50834.51,43.93,50780.0
2021-02-24 03:55:00,0.01,50834.5,50991.25,50834.5,50913.25,3.87,196862.73203234,50932.91,36.2,50913.5
2021-02-24 04:00:00,0.01,50913.25,51120.25,50910.0,51020.5,6.71,341951.9537367775,50981.23,54.16,51024.5
2021-02-24 04:05:00,0.0,51035.25,51246.5,51035.25,51196.5,2.34,119584.5180726725,51142.88,45.65,51130.5
2021-02-24 04:10:00,0.01,51195.0,51313.25,51176.0,51297.75,5.07,259927.3062698925,51268.83,41.39,51297.75
2021-02-24 04:15:00,0.01,51313.25,51391.5,50920.75,51012.75,9.0,460475.6083201275,51166.51,127.03,51176.0
2021-02-24 04:20:00,0.01,51005.0,51159.75,50847.0,51035.0,3.97,202266.54999591998,50992.5,77.53,50987.0
2021-02-24 04:25:00,0.0,51030.25,51060.25,50696.5,50701.0,1.81,91965.2488326775,50919.56,116.33,50860.25
2021-02-24 04:30:00,0.01,50703.5,50884.75,50667.0,50792.5,1.84,93367.3354885625,50751.76,46.9,50832.75
2021-02-24 04:35:00,0.0,50762.5,50841.5,50618.25,50656.25,0.71,35900.191818107494,50749.16,56.31,50787.5
2021-02-24 04:40:00,0.0,50635.75,50640.5,50376.0,50390.5,0.59,29707.6759082,50512.11,72.4,50522.25
2021-02-24 04:45:00,0.0,50353.5,50701.25,50353.5,50695.25,0.8,40420.7810173375,50589.39,72.33,50583.25
2021-02-24 04:50:00,0.0,50703.5,50965.25,50679.75,50893.25,1.82,92359.3794103775,50840.05,71.95,50718.25
2021-02-24 04:55:00,0.01,50893.75,50900.0,50631.0,50650.5,2.76,139894.7831923275,50776.37,57.27,50764.25
2021-02-24 05:00:00,0.0,50656.5,50922.75,50656.5,50896.75,1.08,54650.271786870006,50833.47,71.03,50770.75
2021-02-24 05:05:00,0.01,50922.0,51046.5,50867.25,50973.75,1.9,96854.219372045,50968.1,40.61,51004.75
2021-02-24 05:10:00,0.01,50938.5,50946.5,50649.75,50653.25,1.31,66803.06713603,50811.42,87.15,50832.0
2021-02-24 05:15:00,0.0,50648.5,50648.5,50248.5,50248.5,2.39,120167.9120016425,50369.63,114.16,50506.5
2021-02-24 05:20:00,0.01,50278.5,50450.25,50016.0,50107.75,3.44,172421.68145961748,50156.48,105.98,50132.25
2021-02-24 05:25:00,0.0,50107.75,50414.25,50056.5,50414.0,2.76,138417.2009965,50154.59,82.21,50129.75
2021-02-24 05:30:00,0.0,50401.75,50403.25,50222.75,50308.0,4.13,207711.9336816025,50342.8,44.7,50317.25
2021-02-24 05:35:00,0.0,50314.5,50542.75,50257.5,50508.5,1.14,57635.10242979,50476.12,79.32,50413.25
2021-02-24 05:40:00,0.0,50513.0,50552.25,50302.25,50427.5,1.99,100367.50115064,50378.65,71.03,50354.25
2021-02-24 05:45:00,0.0,50431.25,50540.0,50299.5,50322.0,0.66,33491.45014021,50474.54,67.31,50522.75
2021-02-24 05:50:00,0.0,50288.75,50494.25,50277.75,50413.75,1.73,87326.24960848001,50415.82,53.39,50360.0
2021-02-24 05:55:00,0.0,50358.25,50444.25,50209.0,50234.5,0.53,26565.26523898,50382.08,60.15,50353.5
2021-02-24 06:00:00,0.0,50248.25,50587.75,50232.75,50526.0,0.35,17864.714611975,50433.78,77.59,50497.5
2021-02-24 06:05:00,0.01,50523.0,50687.75,50441.75,50478.25,7.5,379045.2390312425,50560.16,64.53,50650.25
