timestamp,Price [Md€],price_open,price_high,price_low,price_close,Amount [BTC],weighted_volume,lmax_vwap,sigma,lmax_vwmp (lower)
2021-02-24 00:00:00,0.08,48892.5,49080.5,46918.718,48504.0,695.04,33279181.68341,47880.96,587.13,47299.0
2021-02-24 01:00:00,0.04,48495.0,50240.88,48438.0,50160.5,368.06,18127261.98667,49250.83,504.33,49275.0
2021-02-24 02:00:00,0.07,50181.0,50569.5,49799.5,50191.5,418.18,21004283.53083,50227.85,169.86,50341.0
2021-02-24 03:00:00,0.05,50171.0,50999.5,50073.75,50929.0,311.69,15727398.2683,50458.46,215.89,50365.5
2021-02-24 04:00:00,0.06,50937.25,51409.0,50353.25,50623.0,383.13,19482788.06845,50851.64,279.32,51249.0
2021-02-24 05:00:00,0.04,50761.6,51032.5,50028.5,50236.5,250.29,12633127.33897,50473.96,292.09,50216.0
2021-02-24 06:00:00,0.06,50225.5,50691.0,49475.0,50096.0,490.79,24569834.90938,50061.81,327.86,49878.5
2021-02-24 07:00:00,0.04,50099.75,50358.5,49566.0,50078.0,210.74,10536216.088440001,49996.28,180.21,49785.0
2021-02-24 08:00:00,0.07,50037.5,50901.5,49770.5,50674.5,336.1,16990816.37987,50552.86,217.85,50870.5
2021-02-24 09:00:00,0.05,50679.5,51449.5,50389.0,50896.5,302.15,15389754.07674,50934.15,256.29,50923.5
2021-02-24 10:00:00,0.03,50994.0,51068.9,50127.5,50136.5,285.36,14414894.67919,50514.77,210.86,50589.0
2021-02-24 11:00:00,0.05,50160.5,50910.5,50152.63,50388.5,426.13,21521988.8602,50505.69,178.83,50565.5
2021-02-24 12:00:00,0.09,50397.1,51297.5,50374.0,50714.5,758.09,38600912.93332,50918.64,190.46,50739.5
2021-02-24 13:00:00,0.16,50788.0,51089.5,49045.0,49468.0,1429.77,71241200.54689,49827.04,486.66,49144.5
2021-02-24 14:00:00,0.07,49603.5,49793.75,48738.5,49443.5,544.8,26844697.6451,49274.41,232.83,49552.0
2021-02-24 15:00:00,0.07,49441.5,49877.5,48458.0,49845.81,429.48,21184063.96199,49324.91,362.94,49787.0
2021-02-24 16:00:00,0.06,49866.0,50143.5,49343.0,49362.5,362.45,18033887.57322,49755.52,164.06,49773.5
2021-02-24 17:00:00,0.04,49401.0,50102.0,49355.5,50076.0,213.36,10634953.19044,49845.11,124.16,49850.0
2021-02-24 18:00:00,0.05,50077.5,50097.5,49551.0,49611.0,267.8,13335515.49836,49796.55,137.87,49928.5
2021-02-24 19:00:00,0.04,49628.001,49731.5,48855.5,49001.0,329.03,16226796.11214,49317.07,237.09,49423.5
2021-02-24 20:00:00,0.04,48978.5,49270.5,48634.5,49179.5,271.42,13286716.8883,48952.61,175.59,48950.5
2021-02-24 21:00:00,0.05,49171.5,49175.0,48148.0,48802.5,396.3,19227866.50552,48518.46,268.81,49126.0
2021-02-24 22:00:00,0.03,48375.75,48995.5,48036.5,48878.5,108.22,5264419.32004,48645.53,214.85,48900.0
2021-02-24 23:00:00,0.06,48843.0,49792.0,48780.0,49767.0,410.17,20272025.13572,49423.47,193.49,49277.5
