timestamp,Price [Md€],price_open,price_high,price_low,price_close,Amount [BTC],weighted_volume,bfnx_vwap,sigma,bfnx_vwmp (lower)
2021-02-24 00:00:00,0.94,48882.0,49087.0,46902.0,48485.0,626.71,29943761.13981283,47778.97,559.38,48625.0
2021-02-24 01:00:00,1.05,48454.0,50229.0,48412.0,50196.0,899.69,44482076.987140946,49441.59,459.52,49834.0
2021-02-24 02:00:00,0.82,50184.0,50580.34566075,49827.0,50173.0,756.81,38020091.10786904,50237.01,169.19,50388.0
2021-02-24 03:00:00,0.56,50161.0,51001.0,50042.0,50902.0,503.34,25473369.206985228,50608.44,244.93,50534.0
2021-02-24 04:00:00,0.71,50901.0,51354.46137096,50328.0,50607.0,565.68,28787408.752470564,50889.74,248.17,50919.0
2021-02-24 05:00:00,0.63,50611.0,51064.836108,49941.0,50166.0,502.86,25316284.580167416,50344.15,274.02,50420.0
2021-02-24 06:00:00,0.8,50167.0,50639.0,49210.0,50035.0,899.86,44735183.1442989,49713.51,329.18,49662.0
2021-02-24 07:00:00,0.53,50035.0,50320.62769032,49472.0,50050.0,267.21,13333635.946029114,49899.14,218.46,49639.0
2021-02-24 08:00:00,0.71,50051.0,50944.0,49792.0,50600.1668049,739.58,37444679.07441398,50629.72,253.98,50600.0
2021-02-24 09:00:00,0.65,50628.0,51339.0,50293.0,50809.0,736.83,37495144.89824093,50887.44,244.13,50800.0
2021-02-24 10:00:00,0.7,50809.0,50955.0,50050.0,50057.0,624.34,31517159.610625174,50480.38,216.14,50441.0
2021-02-24 11:00:00,0.42,50057.0,50833.0,50057.0,50324.0,219.14,11065202.06082286,50494.05,172.09,50410.0
2021-02-24 12:00:00,0.64,50339.0,51200.0,50326.0,50711.0,539.5,27501891.280377585,50976.88,220.79,51125.0
2021-02-24 13:00:00,1.06,50715.0,51062.0,49055.0,49489.74968895,917.79,45615245.396544255,49701.26,494.14,49516.0
2021-02-24 14:00:00,0.71,49498.2387048,49752.0,48750.0,49408.0,425.08,20928010.09783358,49233.19,247.35,48778.46
2021-02-24 15:00:00,0.84,49410.0,49840.0,48350.0,49830.0,613.93,30089324.9048852,49011.13,400.27,49062.0
2021-02-24 16:00:00,0.53,49833.03734606,50100.0,49298.688164,49330.0,287.0,14273926.441781066,49734.68,205.89,49757.0
2021-02-24 17:00:00,0.33,49313.4061464,50081.0,49313.0,50081.0,200.23,9969054.80374265,49788.34,148.55,50056.0
2021-02-24 18:00:00,0.32,50081.0,50089.0,49555.0,49600.0,101.34,5046522.865362733,49795.62,125.73,50060.0
2021-02-24 19:00:00,0.54,49609.0,49724.0,48804.0,48998.0,290.59,14301519.68863877,49214.86,238.57,49017.0
2021-02-24 20:00:00,0.54,48997.0,49272.0,48569.0,49157.0,260.78,12750872.078205807,48895.91,179.25,48755.0
2021-02-24 21:00:00,0.6,49133.0,49171.93856939,48155.0,48787.0,362.04,17537628.56499663,48440.91,234.27,48478.0
2021-02-24 22:00:00,0.47,48749.119626,48964.0,48050.0,48880.0,272.83,13240813.49132567,48531.1,263.52,48765.0
2021-02-24 23:00:00,0.74,48840.0,49747.0,48778.0,49716.0,389.42,19231926.43939787,49385.75,198.65,49525.0
