timestamp,price,price_open,price_high,price_low,price_close,amount,weighted_volume,lmax_vwap,ecart_type,vwmp_upper
2021-02-24 00:00:00,82538599.707,48892.5,49080.5,46918.718,48504.0,695.04,33279181.68341,47880.95891374598,587.1293305669185,47163.5
2021-02-24 01:00:00,43410503.309,48495.0,50240.88,48438.0,50160.5,368.06,18127261.98667,49250.834066918454,504.32550538112093,49822.0
2021-02-24 02:00:00,66421046.838,50181.0,50569.5,49799.5,50191.5,418.18,21004283.53083,50227.85291221484,169.8623896668589,50181.0
2021-02-24 03:00:00,48805387.27,50171.0,50999.5,50073.75,50929.0,311.69,15727398.2683,50458.46279412236,215.88633276941133,50495.0
2021-02-24 04:00:00,57396780.092,50937.25,51409.0,50353.25,50623.0,383.13,19482788.06845,50851.63800394124,279.3223269575663,50567.5
2021-02-24 05:00:00,37873483.587,50761.6,51032.5,50028.5,50236.5,250.29,12633127.33897,50473.95956278717,292.0912650711004,50693.0
2021-02-24 06:00:00,62685113.268,50225.5,50691.0,49475.0,50096.0,490.79,24569834.90938,50061.8083281648,327.8554561903463,49875.5
2021-02-24 07:00:00,39238570.458,50099.75,50358.5,49566.0,50078.0,210.74,10536216.088440001,49996.280195691375,180.2147763386635,50107.0
2021-02-24 08:00:00,66218448.918,50037.5,50901.5,49770.5,50674.5,336.1,16990816.37987,50552.860398304074,217.85344038554348,50674.5
2021-02-24 09:00:00,52981150.191,50679.5,51449.5,50389.0,50896.5,302.15,15389754.07674,50934.15216528215,256.2864271629749,50679.5
2021-02-24 10:00:00,33298465.558,50994.0,51068.9,50127.5,50136.5,285.36,14414894.67919,50514.76969158256,210.85710579450142,50597.94
2021-02-24 11:00:00,50319911.54,50160.5,50910.5,50152.63,50388.5,426.13,21521988.8602,50505.68807687795,178.8263659307417,50832.0
2021-02-24 12:00:00,86756436.702,50397.1,51297.5,50374.0,50714.5,758.09,38600912.93332,50918.641498133475,190.46068339787507,50862.0
2021-02-24 13:00:00,162444580.795,50788.0,51089.5,49045.0,49468.0,1429.77,71241200.54689,49827.03550003846,486.65812748142156,49549.5
2021-02-24 14:00:00,67882282.243,49603.5,49793.75,48738.5,49443.5,544.8,26844697.6451,49274.40830598385,232.82974571287312,49433.5
2021-02-24 15:00:00,71925110.086,49441.5,49877.5,48458.0,49845.81,429.48,21184063.96199,49324.913760803756,362.93721020457525,49388.0
2021-02-24 16:00:00,55489996.482,49866.0,50143.5,49343.0,49362.5,362.45,18033887.57322,49755.51820449717,164.05511150767654,49362.5
2021-02-24 17:00:00,35876686.711,49401.0,50102.0,49355.5,50076.0,213.36,10634953.19044,49845.112441132354,124.15911494336761,49807.0
2021-02-24 18:00:00,50794494.826,50077.5,50097.5,49551.0,49611.0,267.8,13335515.49836,49796.54779073936,137.8690200053298,49611.0
2021-02-24 19:00:00,42370893.192,49628.001,49731.5,48855.5,49001.0,329.03,16226796.11214,49317.0717324864,237.09077899043587,48987.5
2021-02-24 20:00:00,40641818.908,48978.5,49270.5,48634.5,49179.5,271.42,13286716.8883,48952.60809188711,175.58977304436846,48899.0
2021-02-24 21:00:00,46138328.126,49171.5,49175.0,48148.0,48802.5,396.3,19227866.50552,48518.46203764825,268.80560824301466,48802.5
2021-02-24 22:00:00,34390496.559,48375.75,48995.5,48036.5,48878.5,108.22,5264419.32004,48645.53058621327,214.84557323837606,48878.5
2021-02-24 23:00:00,56996497.596,48843.0,49792.0,48780.0,49767.0,410.17,20272025.13572,49423.47108691518,193.48830754888215,49767.0
