timestamp,price,price_open,price_high,price_low,price_close,amount,weighted_volume,gmni_vwap,ecart_type,vwmp_upper
2021-02-24 00:00:00,135459278.18,48923.48,49130.5,47000.01,48500.0,183.6798437591,8813273.272823099,47981.711506581494,562.2150162682965,47323.67
2021-02-24 01:00:00,120908378.76,48510.28,50331.36,48442.89,50227.97,212.9218678306,10530706.581575429,49458.07910136139,486.40172584867133,48917.48
2021-02-24 02:00:00,123228580.97,50257.72,50613.36,49833.0,50244.25,142.2185765485,7149080.378234008,50268.2599681062,181.44597751792435,49957.78
2021-02-24 03:00:00,87844484.68,50200.0,51000.0,50054.16,50965.74,110.1192161424,5560403.597754605,50494.398639418236,210.8626755874721,50350.0
2021-02-24 04:00:00,111308194.52,50943.71,51397.44,50350.01,50645.41,127.849143694,6511990.161653139,50934.95328556314,232.08234548020303,50740.99
2021-02-24 05:00:00,104435607.93,50713.91,51015.63,50002.51,50212.6,99.5554529372,5030397.915110204,50528.602569699535,265.5803171492483,50233.35
2021-02-24 06:00:00,126263103.02,50253.37,50703.1,49450.82,50140.49,110.8738649188,5536501.511496968,49935.13589114713,281.9335659670272,49464.49
2021-02-24 07:00:00,46844757.21,50125.63,50363.01,49526.44,50095.0,46.2901024401,2316118.7460877174,50034.85894387047,179.694559183958,50280.0
2021-02-24 08:00:00,39629349.19,50041.59,50904.42,49845.77,50684.06,51.3733907446,2593168.631847717,50476.88295949771,231.8568514738442,50400.0
2021-02-24 09:00:00,71517406.55,50689.09,51442.01,50351.27,50901.73,56.6796513035,2885087.1532587083,50901.63906990289,264.898817087758,51262.86
2021-02-24 10:00:00,74779849.16,50915.34,51044.54,50121.89,50121.89,65.2515684799,3294833.856753114,50494.32425165456,187.26768171205146,50541.17
2021-02-24 11:00:00,50442862.67,50152.87,50957.67,50121.89,50360.62,34.014539741,1715927.239213562,50446.875138670184,183.01290376163797,50231.77
2021-02-24 12:00:00,82750551.74,50409.14,51364.74,50377.9,50742.99,89.7922813977,4573382.461864566,50932.9130597378,227.9515492314741,50949.07
2021-02-24 13:00:00,196128912.28,50784.52,51114.68,48940.12,49470.1,355.6241242115,17692378.19058726,49750.219363816526,437.5624212718001,49358.69
2021-02-24 14:00:00,158371314.07,49480.62,49792.18,48730.24,49424.75,229.38259353,11304442.63138833,49282.04210015556,242.1357535125704,49640.6
2021-02-24 15:00:00,142850343.51,49435.86,49890.38,48481.21,49869.66,141.7767411938,6982435.495711856,49249.51326231501,354.11030651745006,49450.57
2021-02-24 16:00:00,86091324.79,49898.58,50138.01,49306.35,49393.64,80.6825170645,4011542.3501253123,49720.09421716933,179.0994581567438,49477.09
2021-02-24 17:00:00,113857984.71,49391.94,50126.6,49385.52,50095.84,186.6247265244,9302061.905473933,49843.67333691845,122.20555049421331,49878.43
2021-02-24 18:00:00,93499507.61,50122.58,50128.0,49552.45,49612.0,160.7992690554,8007248.982835148,49796.55087907407,136.5370999304235,49579.61
2021-02-24 19:00:00,109749123.34,49612.0,49732.31,48900.0,48974.48,169.2163976571,8326246.391074053,49204.72546606478,236.44362641033004,48900.08
2021-02-24 20:00:00,120201534.24,48971.4,49255.71,48626.66,49179.75,179.9418920268,8808693.339434193,48952.98832426555,162.27270919561113,48790.49
2021-02-24 21:00:00,107562660.78,49106.84,49171.5,48139.0,48811.21,135.6161672913,6581004.686051354,48526.69720355337,262.38752657607176,49091.0
2021-02-24 22:00:00,79218033.86,48790.49,49004.72,48113.83,48894.23,107.5699453561,5233338.66184604,48650.5654020886,237.7148330250216,48863.0
2021-02-24 23:00:00,66868856.56,48852.32,49809.31,48786.49,49766.06,57.3349936909,2835645.4801612473,49457.50051789593,198.82372210156993,49700.0
