timestamp,price,price_open,price_high,price_low,price_close,amount,weighted_volume,stmp_vwap,ecart_type,vwmp_upper
2021-02-24 00:00:00,97152619.27,48927.33,49098.88,47000.0,48504.0,314.3535668,15071450.009319682,47944.262769916444,573.9724497981698,47994.68
2021-02-24 01:00:00,139186286.86,48476.94,50232.0,48425.2,50206.74,605.72936328,29814180.817011118,49220.2997318283,435.3354350841946,49777.62
2021-02-24 02:00:00,131570242.31,50224.22,50820.16,49815.26,50202.83,478.68105106,24069785.397645913,50283.555917547485,174.27140949945792,50220.56
2021-02-24 03:00:00,90869762.22,50190.12,51000.0,50090.0,50939.95,347.23713103,17525973.950918186,50472.63781650129,207.2511017915519,50439.57
2021-02-24 04:00:00,113003181.05,50937.53,51459.51,50342.26,50650.54,395.44755769,20163057.020202376,50987.94170833807,237.48089977277266,50752.06
2021-02-24 05:00:00,111631418.02,50665.34,51039.0,50000.0,50245.64,372.35924394,18781846.771056566,50440.12489745783,233.72098788786244,50261.19
2021-02-24 06:00:00,113679218.45,50264.18,50710.31,49443.41,50109.14,366.64983221,18310412.653257042,49939.78189732182,283.4740711832574,49588.76
2021-02-24 07:00:00,84641312.53,50095.36,50350.29,49531.41,50060.64,201.41396739,10065509.026854318,49974.235438023854,185.89414659516464,50100.13
2021-02-24 08:00:00,143912781.42,50100.0,51089.72,49812.0,50700.14,558.40889659,28252359.978117675,50594.3944493803,225.23983569558186,50437.67
2021-02-24 09:00:00,138373922.61,50659.75,51443.47,50387.22,50889.26,483.82112461,24627805.791191764,50902.70874601398,235.97418440586154,51110.24
2021-02-24 10:00:00,104522055.95,50923.48,51051.0,50096.98,50115.03,387.61859365,19609777.16673479,50590.39346404892,223.4207455662794,50927.78
2021-02-24 11:00:00,81204340.13,50127.96,50920.97,50127.39,50381.65,242.73330099,12253259.193779333,50480.338477678175,174.34723930589357,50301.17
2021-02-24 12:00:00,117994420.02,50408.26,51310.99,50364.29,50709.43,390.42694608,19891304.399247088,50947.57059921597,199.91947704950218,50758.39
2021-02-24 13:00:00,180473235.98,50745.92,51100.0,49050.0,49494.86,710.6863437,35458819.93727203,49893.768540232646,551.146432757755,49686.93
2021-02-24 14:00:00,153174084.01,49519.1,49787.02,48729.36,49432.76,580.6486745,28588934.43735431,49236.20029266822,233.05266830144996,49622.45
2021-02-24 15:00:00,127058673.57,49430.41,49884.52,48488.51,49847.54,339.08111817,16690166.888249276,49221.75253616328,366.79029560238445,48773.04
2021-02-24 16:00:00,90856431.03,49847.54,50155.0,49328.53,49371.52,245.38993936,12210038.824979845,49757.699345070025,167.60284557309447,49973.98
2021-02-24 17:00:00,64897928.08,49368.78,50099.91,49354.01,50086.38,132.07025821,6583312.83620349,49847.050542867946,151.51952391685805,49613.15
2021-02-24 18:00:00,74714883.88,50061.08,50091.97,49545.55,49618.4,183.93865533,9167148.653415184,49838.07583549319,139.5222122716517,49822.0
2021-02-24 19:00:00,102978905.26,49631.06,49748.4,48850.23,48991.68,264.35686104,13042611.91609194,49337.14171359621,234.3194682029772,49030.59
2021-02-24 20:00:00,99338734.62,48971.58,49293.55,48615.55,49178.11,291.50705633,14262830.248445414,48927.9073652996,172.7233428165546,48838.46
2021-02-24 21:00:00,96456633.63,49152.28,49191.28,48130.0,48786.95,311.15472994,15094048.8277942,48509.784282259796,268.5503992952237,48209.01
2021-02-24 22:00:00,92056594.95,48768.54,48995.2,48050.0,48843.17,225.76268256,10967694.116073545,48580.633396569894,238.28770023504893,48656.2
2021-02-24 23:00:00,104577470.88,48831.81,49789.41,48798.61,49754.0,343.38181339,16998963.507058624,49504.553951877046,197.9091667352251,49320.0
