timestamp,price,price_open,price_high,price_low,price_close,amount,weighted_volume,okcn_vwap,ecart_type,vwmp_upper
2021-02-24 00:00:00,31379183.45,48906.05,49078.28,47012.76,48446.34,51.3223,2461147.23966,47954.733900468214,531.4619562753217,49078.28
2021-02-24 01:00:00,25827510.49,48516.41,50201.53,48476.68,50201.53,36.3858,1798288.705533,49422.81619568624,428.59171387155544,49906.88
2021-02-24 02:00:00,33456888.78,50240.11,50573.85,49853.89,50189.77,35.8433,1800007.040969,50218.78680168957,163.35626279823555,50240.11
2021-02-24 03:00:00,17698109.07,50186.42,50977.14,50131.61,50968.49,17.3574,875424.700265,50435.243772972906,176.04720137733307,50303.39
2021-02-24 04:00:00,17687023.88,50962.95,51383.99,50365.76,50666.0,23.7744,1213046.068293,51023.204299288314,228.361743509518,51300.99
2021-02-24 05:00:00,17043141.83,50721.28,51044.41,50019.98,50250.84,21.6283,1090054.589052,50399.45761118535,253.90631486311437,50295.67
2021-02-24 06:00:00,29516330.0,50498.53,50660.34,49496.23,50104.04,36.7812,1836860.768743,49940.20773501137,284.4571104227276,49651.86
2021-02-24 07:00:00,16353409.97,50206.4,50345.18,49561.04,50078.48,23.974,1199428.8220560001,50030.40051956286,177.1620230421911,50170.54
2021-02-24 08:00:00,29816911.25,50119.82,50881.7,49814.39,50676.57,23.6483,1193829.074994,50482.65942981103,241.38757869553538,50660.75
2021-02-24 09:00:00,27942152.7,50665.65,51432.06,50371.57,50899.67,41.0543,2093997.996493,51005.57058561467,240.79441093588895,51172.83
2021-02-24 10:00:00,27047450.77,50905.82,51041.91,50124.23,50144.41,16.3405,826249.857094,50564.53946292954,195.48911491871513,50411.14
2021-02-24 11:00:00,34774024.26,50140.45,50924.23,50140.45,50377.79,10.5269,532205.949524,50556.75930463859,175.2336039131747,50588.69
2021-02-24 12:00:00,27597353.38,50406.27,51338.97,50378.29,50735.42,28.3984,1446101.470803,50921.93471473746,216.3063070589121,50921.5
2021-02-24 13:00:00,60230602.25,50779.47,51105.22,49108.0,49502.71,74.7573,3734364.159193,49953.17058257855,491.98811855250864,49528.61
2021-02-24 14:00:00,29457144.07,49532.6,49797.52,48797.43,49416.13,23.0423,1137042.382244,49345.871820260996,228.3675765135281,49143.97
2021-02-24 15:00:00,28809383.76,49385.65,49881.16,48509.32,49832.52,51.1874,2522930.017222,49288.10639380004,353.15311597794744,49385.65
2021-02-24 16:00:00,32565157.04,49887.05,50164.28,49355.08,49400.36,31.884800000000002,1588649.946978,49824.6796899463,182.3118739536141,49823.77
2021-02-24 17:00:00,18529576.96,49407.81,50096.73,49364.96,50096.73,16.6329,828614.53069,49817.80270968984,138.41918403376482,49609.2
2021-02-24 18:00:00,15982075.84,50118.14,50171.79,49569.8,49622.72,19.7276,982389.303725,49797.70999640098,143.39392804029617,49832.52
2021-02-24 19:00:00,20908340.25,49630.99,49719.18,48883.68,49003.83,30.8046,1519994.903565,49343.114455795556,235.92662111679573,49026.69
2021-02-24 20:00:00,19821947.66,49006.93,49265.31,48614.98,49195.04,18.3167,894792.944807,48851.20926842717,166.4031790935119,48879.95
2021-02-24 21:00:00,21485394.6,49104.75,49193.77,48170.42,48798.62,19.4888,944263.299876,48451.58757214401,260.8416010530737,48476.15
2021-02-24 22:00:00,16570547.85,48737.81,48999.82,48082.02,48894.64,14.6678,712026.284579,48543.495587545505,219.02709850143592,48155.58
2021-02-24 23:00:00,20084768.15,48801.95,49786.94,48772.51,49724.93,28.1934,1397514.716357,49568.860667993235,188.71231729915752,49661.04
