timestamp,price,price_open,price_high,price_low,price_close,amount,weighted_volume,bnus_vwap,ecart_type,vwmp_upper
2021-02-24 00:00:00,142427331.74,48875.0,49096.01,47001.88,48482.38,127.854828,6117439.65499966,47846.7630099949,558.4024839690003,47841.85
2021-02-24 01:00:00,158752258.07,48438.82,50214.5,48438.82,50214.49,124.063262,6103439.48007399,49196.187345726816,443.7245183740701,49800.0
2021-02-24 02:00:00,145150136.63,50171.91,50566.28,49781.14,50206.46,112.735314,5659359.470671,50200.41431446228,178.42816834584121,50178.57
2021-02-24 03:00:00,101932505.01,50177.5,50995.25,50091.01,50898.28,79.404068,4011754.86865052,50523.291434520965,209.42524240044312,50377.48
2021-02-24 04:00:00,154214933.03,50900.61,51399.11,50342.02,50636.53,122.807476,6250998.34219662,50900.7964807991,235.41834839557882,51267.09
2021-02-24 05:00:00,94070863.34,50656.06,51030.13,49983.24,50217.25,65.636656,3307036.45110222,50383.987433823866,260.7918521552919,50301.68
2021-02-24 06:00:00,106269240.06,50211.36,50678.4,49400.0,50093.88,105.026366,5256200.60681027,50046.48648711953,330.8350020949842,50217.25
2021-02-24 07:00:00,53624586.56,50091.48,50362.13,49501.04,50042.91,47.713021,2379046.66859354,49861.58115189437,198.82579728122784,49941.0
2021-02-24 08:00:00,83086486.68,50089.2,50884.72,49818.38,50658.05,54.411012,2751014.58630951,50559.886412506174,210.11941251991797,50625.35
2021-02-24 09:00:00,109245569.94,50661.48,51402.65,50362.72,50904.26,74.382941,3781783.48365989,50842.08062786721,229.4412261460378,51051.0
2021-02-24 10:00:00,83931612.13,50908.49,51042.97,50099.68,50111.98,45.355215,2291158.02920079,50515.86745208439,221.3833402703851,50627.69
2021-02-24 11:00:00,65759712.1,50113.4,50905.69,50113.4,50390.43,26.543507,1339792.50697458,50475.33873254126,163.793314115522,50340.66
2021-02-24 12:00:00,94404941.55,50397.47,51323.93,50324.99,50744.2,33.333281,1695692.78470024,50870.863408262754,244.82854845308367,51210.84
2021-02-24 13:00:00,160028048.16,50758.51,51080.27,49058.18,49468.85,119.525734,5950358.89511609,49783.077635114874,485.8633879929442,50963.94
2021-02-24 14:00:00,132069670.65,49497.41,49794.69,48757.06,49434.82,98.645081,4858440.28738934,49251.72383800201,235.01704360851315,49557.66
2021-02-24 15:00:00,165643680.97,49426.74,49892.5,48452.03,49844.79,114.227101,5626633.5931424005,49258.30686311825,341.3613658213592,49674.68
2021-02-24 16:00:00,117787768.75,49847.29,50141.0,49335.8,49341.98,58.500514,2911329.46087151,49765.87831128304,187.04420080460653,49605.81
2021-02-24 17:00:00,90430493.96,49337.75,50084.5,49337.75,50084.5,31.936589,1590715.02146524,49808.54472170588,141.5624265069677,49778.16
2021-02-24 18:00:00,84021204.11,50065.13,50084.5,49546.01,49599.14,27.890148,1388799.0056953,49795.325779386316,138.8663327324809,49729.08
2021-02-24 19:00:00,97764852.4,49601.14,49744.85,48865.97,48982.64,85.432899,4216550.09555779,49355.10962302461,247.55713783496847,49688.89
2021-02-24 20:00:00,106889447.9,48996.32,49272.2,48591.66,49174.6,50.208245,2455508.34592319,48906.47633517542,169.18644126401037,48747.56
2021-02-24 21:00:00,108736899.38,49142.58,49180.95,48135.88,48790.7,40.987167,1987302.98425037,48485.98060584109,234.12624123173302,48347.83
2021-02-24 22:00:00,83041017.96,48744.47,48945.74,48054.15,48852.09,31.983461,1552794.64697414,48549.925443470296,222.09883406352665,48325.24
2021-02-24 23:00:00,129434477.35,48829.4,49770.84,48753.08,49714.5,54.608959,2697662.37660611,49399.63013406116,193.26966091672918,49574.72
