timestamp,price,price_open,price_high,price_low,price_close,amount,weighted_volume,krkn_vwap,ecart_type,vwmp_upper
2021-02-24 00:00:00,217587547.0,48899.6,48899.9,47015.7,48498.9,484.20119505,23095577.299676485,47698.307099988815,423.7358853102568,47400.0
2021-02-24 01:00:00,241915441.3,48499.0,50200.0,48462.8,50180.4,575.524927,28303755.853188973,49179.02687677849,472.30767291787475,49837.6
2021-02-24 02:00:00,224271789.6,50200.0,50564.5,49836.7,50202.2,484.46913647,24327376.591590185,50214.50234961793,191.74632968001828,50270.5
2021-02-24 03:00:00,131580200.2,50202.2,51000.0,50074.9,50928.4,297.8246953,15051179.981039628,50537.044840685616,234.82439455639658,50941.6
2021-02-24 04:00:00,175174026.0,50922.2,51392.0,50342.2,50635.3,395.69185697,20147466.352360148,50917.060832736985,245.54050711535274,51264.3
2021-02-24 05:00:00,114168314.5,50647.5,51058.4,50022.5,50204.8,204.31444314,10301757.342824586,50421.09204078946,257.70107942687264,50860.9
2021-02-24 06:00:00,176567010.7,50235.4,50704.3,49410.6,50110.2,458.49831094,22886451.231127754,49916.10805328075,300.56266076726655,50556.6
2021-02-24 07:00:00,115427065.4,50110.2,50374.4,49548.5,50140.7,237.82236868,11889756.10215319,49994.271641249004,199.48321984349127,50136.5
2021-02-24 08:00:00,164445545.2,50140.7,50912.5,49812.8,50682.8,314.73012043,15908102.160516305,50545.21676788311,228.70437770135413,50500.0
2021-02-24 09:00:00,168562967.9,50682.9,51442.5,50380.7,50900.0,280.46206537,14300125.97752518,50987.73682159017,247.92553368701476,50535.5
2021-02-24 10:00:00,165516339.1,50900.0,51059.2,50150.0,50150.1,247.89868333,12554465.94505062,50643.53620764597,219.04170698376603,50667.5
2021-02-24 11:00:00,94371071.6,50150.6,50909.5,50150.6,50392.1,176.94794733,8940029.896102613,50523.50157772588,163.51681309870014,50599.6
2021-02-24 12:00:00,112059814.6,50392.1,51283.3,50372.9,50746.3,222.83284401,11334191.580767192,50864.09784483364,228.54552848507578,51218.9
2021-02-24 13:00:00,260470612.8,50760.0,51099.4,49100.0,49480.2,600.06112932,29848967.936564703,49743.211946406336,449.55427934618444,49597.1
2021-02-24 14:00:00,200515464.5,49480.2,49795.3,48691.6,49434.3,540.26280389,26593402.06992023,49223.08528079747,245.17118266046552,49200.0
2021-02-24 15:00:00,193624473.9,49433.2,49916.8,48500.1,49850.0,424.76569046,20906027.40877945,49217.78730796093,364.2617986610296,49350.0
2021-02-24 16:00:00,118108778.0,49851.6,50171.2,49352.2,49400.0,235.53120142,11717668.051876247,49749.96085967083,188.7681039237,49999.6
2021-02-24 17:00:00,86534209.7,49400.0,50060.0,49400.0,50060.0,210.38693285,10486179.163064243,49842.35009757282,132.21475596087254,49901.9
2021-02-24 18:00:00,84652155.4,50075.0,50100.0,49551.0,49611.1,178.80722148,8906941.668498877,49813.098121963376,140.60924056326633,49713.0
2021-02-24 19:00:00,108228533.9,49619.1,49712.6,48880.4,48980.4,231.15217161,11379711.117743447,49230.38809664872,241.03035171094794,49060.7
2021-02-24 20:00:00,131293551.9,48980.4,49282.1,48618.5,49167.4,306.18351945,14992236.601356681,48964.871225882314,169.65407770330302,48886.1
2021-02-24 21:00:00,191360278.9,49156.5,49162.7,48153.8,48753.9,434.596897,21077680.31877138,48499.3806082591,243.11389620471954,48312.3
2021-02-24 22:00:00,119588971.7,48748.6,48997.1,48075.0,48886.5,196.7988969,9552686.624263179,48540.34638780121,253.28886222893124,48889.6
2021-02-24 23:00:00,136608562.1,48875.1,49840.2,48788.5,49727.7,370.42066294,18320970.90722165,49459.90529202536,212.59365169325778,49746.8
