timestamp,Price [Md€],price_open,price_high,price_low,price_close,Amount [BTC],weighted_volume,bnus_vwap,sigma,vwmp_lower
2021-02-24 00:00:00,0.14,48875.0,49096.01,47001.88,48482.38,127.85,6117439.65499966,47846.76,558.4,47900.0
2021-02-24 01:00:00,0.16,48438.82,50214.5,48438.82,50214.49,124.06,6103439.48007399,49196.19,443.72,49234.79
2021-02-24 02:00:00,0.15,50171.91,50566.28,49781.14,50206.46,112.74,5659359.470671,50200.41,178.43,50276.62
2021-02-24 03:00:00,0.1,50177.5,50995.25,50091.01,50898.28,79.4,4011754.86865052,50523.29,209.43,50211.69
2021-02-24 04:00:00,0.15,50900.61,51399.11,50342.02,50636.53,122.81,6250998.34219662,50900.8,235.42,51075.09
2021-02-24 05:00:00,0.09,50656.06,51030.13,49983.24,50217.25,65.64,3307036.45110222,50383.99,260.79,50099.92
2021-02-24 06:00:00,0.11,50211.36,50678.4,49400.0,50093.88,105.03,5256200.60681027,50046.49,330.84,50439.66
2021-02-24 07:00:00,0.05,50091.48,50362.13,49501.04,50042.91,47.71,2379046.66859354,49861.58,198.83,49557.0
2021-02-24 08:00:00,0.08,50089.2,50884.72,49818.38,50658.05,54.41,2751014.58630951,50559.89,210.12,50868.01
2021-02-24 09:00:00,0.11,50661.48,51402.65,50362.72,50904.26,74.38,3781783.48365989,50842.08,229.44,50959.97
2021-02-24 10:00:00,0.08,50908.49,51042.97,50099.68,50111.98,45.36,2291158.02920079,50515.87,221.38,50305.7
2021-02-24 11:00:00,0.07,50113.4,50905.69,50113.4,50390.43,26.54,1339792.50697458,50475.34,163.79,50285.31
2021-02-24 12:00:00,0.09,50397.47,51323.93,50324.99,50744.2,33.33,1695692.78470024,50870.86,244.83,50702.44
2021-02-24 13:00:00,0.16,50758.51,51080.27,49058.18,49468.85,119.53,5950358.89511609,49783.08,485.86,49755.51
2021-02-24 14:00:00,0.13,49497.41,49794.69,48757.06,49434.82,98.65,4858440.28738934,49251.72,235.02,49288.47
2021-02-24 15:00:00,0.17,49426.74,49892.5,48452.03,49844.79,114.23,5626633.5931424005,49258.31,341.36,49100.0
2021-02-24 16:00:00,0.12,49847.29,50141.0,49335.8,49341.98,58.5,2911329.46087151,49765.88,187.04,49390.69
2021-02-24 17:00:00,0.09,49337.75,50084.5,49337.75,50084.5,31.94,1590715.02146524,49808.54,141.56,49715.61
2021-02-24 18:00:00,0.08,50065.13,50084.5,49546.01,49599.14,27.89,1388799.0056953,49795.33,138.87,49919.01
2021-02-24 19:00:00,0.1,49601.14,49744.85,48865.97,48982.64,85.43,4216550.09555779,49355.11,247.56,49611.0
2021-02-24 20:00:00,0.11,48996.32,49272.2,48591.66,49174.6,50.21,2455508.34592319,48906.48,169.19,49100.01
2021-02-24 21:00:00,0.11,49142.58,49180.95,48135.88,48790.7,40.99,1987302.98425037,48485.98,234.13,48365.67
2021-02-24 22:00:00,0.08,48744.47,48945.74,48054.15,48852.09,31.98,1552794.64697414,48549.93,222.1,48724.33
2021-02-24 23:00:00,0.13,48829.4,49770.84,48753.08,49714.5,54.61,2697662.37660611,49399.63,193.27,49568.7
