timestamp,Price [Md€],price_open,price_high,price_low,price_close,Amount [BTC],weighted_volume,all_vwap,sigma,vwmp_lower
2021-02-24 00:00:00,3.26,48899.99,49130.5,46902.0,48498.9,4523.86,216615331.866782,47882.88,538.75,48888.0
2021-02-24 01:00:00,3.48,48499.0,50353.43,48412.0,50236.98,4839.06,238630583.34626305,49313.37,454.07,48946.35
2021-02-24 02:00:00,3.43,50224.22,50820.16,49781.14,50220.01,4407.16,221434206.2844196,50244.17,175.54,50075.5
2021-02-24 03:00:00,2.45,50190.12,51001.0,50042.0,50932.71,3075.41,155350893.42916942,50513.87,223.79,50314.07
2021-02-24 04:00:00,2.81,50929.46,51459.51,50328.0,50650.86,4002.54,203840611.0429435,50927.85,244.42,50500.0
2021-02-24 05:00:00,2.13,50611.0,51064.836108,49941.0,50166.0,2619.76,132181450.62028614,50455.61,265.89,50539.68
2021-02-24 06:00:00,2.5,50264.18,50710.31,49210.0,50099.64,3642.08,181788496.92559642,49913.41,318.53,49873.16
2021-02-24 07:00:00,1.54,50098.05,50374.4,49472.0,50082.62,1563.61,78121685.73135364,49962.54,202.58,49747.64
2021-02-24 08:00:00,1.95,50090.93,51089.72,49770.5,50666.7,2624.78,132758125.30785467,50578.67,237.27,50200.0
2021-02-24 09:00:00,2.0,50659.75,51449.5,50293.0,50900.68,2571.31,130910182.0340022,50911.78,247.13,50920.0
2021-02-24 10:00:00,1.88,50900.0,51088.359,50050.0,50150.1,2481.39,125397116.91817316,50534.98,223.86,50550.0
2021-02-24 11:00:00,1.47,50127.96,50957.67,50057.0,50380.0,1728.4,87282951.77486546,50499.33,174.59,50759.0
2021-02-24 12:00:00,2.13,50379.99,51364.74,50324.99,50746.3,3253.18,165697822.35398453,50934.17,223.75,51143.49
2021-02-24 13:00:00,3.55,50738.3,51123.31,48940.12,49479.41,6518.15,324602269.85105264,49799.74,489.05,49475.0
2021-02-24 14:00:00,2.75,49480.2,49811.25,48691.6,49427.61,3816.09,187995463.82991922,49263.85,242.49,48813.74
2021-02-24 15:00:00,3.04,49430.41,49916.8,48350.0,49850.22,3969.26,195302004.6500295,49203.58,373.52,48550.0
2021-02-24 16:00:00,2.12,49847.54,50314.08,49298.688164,49330.0,2521.59,125449908.83288863,49750.27,179.23,49400.0
2021-02-24 17:00:00,1.69,49371.49,50126.6,49313.0,50081.0,1906.49,94986141.87620227,49822.59,139.79,49733.0
2021-02-24 18:00:00,1.66,50096.69,50171.79,49510.0,49619.18,1950.77,97146073.45637865,49798.92,133.53,49648.4
2021-02-24 19:00:00,2.09,49631.06,49748.4,48804.0,48990.27,2718.66,133945656.57581657,49268.92,241.39,49506.05
2021-02-24 20:00:00,2.11,48990.27,49293.55,48569.0,49174.4,2818.38,137901282.0514236,48929.22,170.44,48978.19
2021-02-24 21:00:00,2.3,49152.28,49193.77,48111.0,48757.56,3016.12,146243840.73956737,48487.35,244.46,48594.54
2021-02-24 22:00:00,1.96,48768.54,49004.72,48036.5,48833.25,1903.59,92465904.72938962,48574.6,235.69,48702.42
2021-02-24 23:00:00,2.25,48831.81,49840.2,48753.08,49737.82,2683.43,132663942.96678723,49438.25,206.19,49821.3
