timestamp,Price [Md€],price_open,price_high,price_low,price_close,Amount [BTC],weighted_volume,gmni_vwap,sigma,vwmp_lower
2021-02-24 00:00:00,0.14,48923.48,49130.5,47000.01,48500.0,183.68,8813273.272823099,47981.71,562.22,48315.26
2021-02-24 01:00:00,0.12,48510.28,50331.36,48442.89,50227.97,212.92,10530706.581575429,49458.08,486.4,49101.0
2021-02-24 02:00:00,0.12,50257.72,50613.36,49833.0,50244.25,142.22,7149080.378234008,50268.26,181.45,50365.39
2021-02-24 03:00:00,0.09,50200.0,51000.0,50054.16,50965.74,110.12,5560403.597754605,50494.4,210.86,50656.81
2021-02-24 04:00:00,0.11,50943.71,51397.44,50350.01,50645.41,127.85,6511990.161653139,50934.95,232.08,51134.86
2021-02-24 05:00:00,0.1,50713.91,51015.63,50002.51,50212.6,99.56,5030397.915110204,50528.6,265.58,50954.35
2021-02-24 06:00:00,0.13,50253.37,50703.1,49450.82,50140.49,110.87,5536501.511496968,49935.14,281.93,50092.0
2021-02-24 07:00:00,0.05,50125.63,50363.01,49526.44,50095.0,46.29,2316118.7460877174,50034.86,179.69,50304.82
2021-02-24 08:00:00,0.04,50041.59,50904.42,49845.77,50684.06,51.37,2593168.631847717,50476.88,231.86,50665.68
2021-02-24 09:00:00,0.07,50689.09,51442.01,50351.27,50901.73,56.68,2885087.1532587083,50901.64,264.9,51358.51
2021-02-24 10:00:00,0.07,50915.34,51044.54,50121.89,50121.89,65.25,3294833.856753114,50494.32,187.27,50514.91
2021-02-24 11:00:00,0.05,50152.87,50957.67,50121.89,50360.62,34.01,1715927.239213562,50446.88,183.01,50800.0
2021-02-24 12:00:00,0.08,50409.14,51364.74,50377.9,50742.99,89.79,4573382.461864566,50932.91,227.95,51042.65
2021-02-24 13:00:00,0.2,50784.52,51114.68,48940.12,49470.1,355.62,17692378.19058726,49750.22,437.56,50928.59
2021-02-24 14:00:00,0.16,49480.62,49792.18,48730.24,49424.75,229.38,11304442.63138833,49282.04,242.14,48923.27
2021-02-24 15:00:00,0.14,49435.86,49890.38,48481.21,49869.66,141.78,6982435.495711856,49249.51,354.11,49009.85
2021-02-24 16:00:00,0.09,49898.58,50138.01,49306.35,49393.64,80.68,4011542.3501253123,49720.09,179.1,49702.4
2021-02-24 17:00:00,0.11,49391.94,50126.6,49385.52,50095.84,186.62,9302061.905473933,49843.67,122.21,49935.46
2021-02-24 18:00:00,0.09,50122.58,50128.0,49552.45,49612.0,160.8,8007248.982835148,49796.55,136.54,49622.28
2021-02-24 19:00:00,0.11,49612.0,49732.31,48900.0,48974.48,169.22,8326246.391074053,49204.73,236.44,49448.6
2021-02-24 20:00:00,0.12,48971.4,49255.71,48626.66,49179.75,179.94,8808693.339434193,48952.99,162.27,49162.11
2021-02-24 21:00:00,0.11,49106.84,49171.5,48139.0,48811.21,135.62,6581004.686051354,48526.7,262.39,48715.43
2021-02-24 22:00:00,0.08,48790.49,49004.72,48113.83,48894.23,107.57,5233338.66184604,48650.57,237.71,48821.93
2021-02-24 23:00:00,0.07,48852.32,49809.31,48786.49,49766.06,57.33,2835645.4801612473,49457.5,198.82,49249.67
