timestamp,Price [Md€],price_open,price_high,price_low,price_close,Amount [BTC],weighted_volume,krkn_vwap,sigma,vwmp_lower
2021-02-24 00:00:00,0.22,48899.6,48899.9,47015.7,48498.9,484.2,23095577.299676485,47698.31,423.74,48300.0
2021-02-24 01:00:00,0.24,48499.0,50200.0,48462.8,50180.4,575.52,28303755.853188973,49179.03,472.31,49302.5
2021-02-24 02:00:00,0.22,50200.0,50564.5,49836.7,50202.2,484.47,24327376.591590185,50214.5,191.75,50044.8
2021-02-24 03:00:00,0.13,50202.2,51000.0,50074.9,50928.4,297.82,15051179.981039628,50537.04,234.82,50306.2
2021-02-24 04:00:00,0.18,50922.2,51392.0,50342.2,50635.3,395.69,20147466.352360148,50917.06,245.54,50860.4
2021-02-24 05:00:00,0.11,50647.5,51058.4,50022.5,50204.8,204.31,10301757.342824586,50421.09,257.7,50282.4
2021-02-24 06:00:00,0.18,50235.4,50704.3,49410.6,50110.2,458.5,22886451.231127754,49916.11,300.56,49613.0
2021-02-24 07:00:00,0.12,50110.2,50374.4,49548.5,50140.7,237.82,11889756.10215319,49994.27,199.48,50146.8
2021-02-24 08:00:00,0.16,50140.7,50912.5,49812.8,50682.8,314.73,15908102.160516305,50545.22,228.7,49922.9
2021-02-24 09:00:00,0.17,50682.9,51442.5,50380.7,50900.0,280.46,14300125.97752518,50987.74,247.93,51143.6
2021-02-24 10:00:00,0.17,50900.0,51059.2,50150.0,50150.1,247.9,12554465.94505062,50643.54,219.04,50575.0
2021-02-24 11:00:00,0.09,50150.6,50909.5,50150.6,50392.1,176.95,8940029.896102613,50523.5,163.52,50601.3
2021-02-24 12:00:00,0.11,50392.1,51283.3,50372.9,50746.3,222.83,11334191.580767192,50864.1,228.55,50877.2
2021-02-24 13:00:00,0.26,50760.0,51099.4,49100.0,49480.2,600.06,29848967.936564703,49743.21,449.55,49241.8
2021-02-24 14:00:00,0.2,49480.2,49795.3,48691.6,49434.3,540.26,26593402.06992023,49223.09,245.17,49615.1
2021-02-24 15:00:00,0.19,49433.2,49916.8,48500.1,49850.0,424.77,20906027.40877945,49217.79,364.26,49365.4
2021-02-24 16:00:00,0.12,49851.6,50171.2,49352.2,49400.0,235.53,11717668.051876247,49749.96,188.77,49487.1
2021-02-24 17:00:00,0.09,49400.0,50060.0,49400.0,50060.0,210.39,10486179.163064243,49842.35,132.21,49812.9
2021-02-24 18:00:00,0.08,50075.0,50100.0,49551.0,49611.1,178.81,8906941.668498877,49813.1,140.61,49751.0
2021-02-24 19:00:00,0.11,49619.1,49712.6,48880.4,48980.4,231.15,11379711.117743447,49230.39,241.03,49413.6
2021-02-24 20:00:00,0.13,48980.4,49282.1,48618.5,49167.4,306.18,14992236.601356681,48964.87,169.65,48846.0
2021-02-24 21:00:00,0.19,49156.5,49162.7,48153.8,48753.9,434.6,21077680.31877138,48499.38,243.11,48581.7
2021-02-24 22:00:00,0.12,48748.6,48997.1,48075.0,48886.5,196.8,9552686.624263179,48540.35,253.29,48466.9
2021-02-24 23:00:00,0.14,48875.1,49840.2,48788.5,49727.7,370.42,18320970.90722165,49459.91,212.59,49369.9
