timestamp,stmp_vwmp (upper),lmax_vwmp (upper),gmni_vwmp (upper),itbi_vwmp (upper),okcn_vwmp (upper),bfnx_vwmp (upper),btrx_vwmp (upper),bfly_vwmp (upper),bnus_vwmp (upper),cbse_vwmp (upper),krkn_vwmp (upper),all_vwmp (upper)
2021-02-24 00:00:00,47994.68,47163.5,47323.67,48014.0,49078.28,47303.0,47874.67,48574.05,47841.85,48828.35,47400.0,47365.74
2021-02-24 01:00:00,49777.62,49822.0,48917.48,49679.75,49906.88,49152.0,48690.5,49818.51,49800.0,48709.93,49837.6,49759.0
2021-02-24 02:00:00,50220.56,50181.0,49957.78,50019.75,50240.11,50233.86,50423.73,50136.78,50178.57,50248.8,50270.5,50159.4
2021-02-24 03:00:00,50439.57,50495.0,50350.0,50326.75,50303.39,50226.93,50487.6,50948.0,50377.48,50299.95,50941.6,50506.06
2021-02-24 04:00:00,50752.06,50567.5,50740.99,51024.5,51300.99,51217.0,51294.82,50736.28,51267.09,50787.01,51264.3,50819.8
2021-02-24 05:00:00,50261.19,50693.0,50233.35,50413.25,50295.67,50346.0,50500.01,,50301.68,50428.14,50860.9,50905.0
2021-02-24 06:00:00,49588.76,49875.5,49464.49,49860.0,49651.86,49893.0,49774.76,50050.8,50217.25,50455.27,50556.6,50220.0
2021-02-24 07:00:00,50100.13,50107.0,50280.0,50177.75,50170.54,50107.0,50139.61,49680.1,49941.0,50265.07,50136.5,49600.0
2021-02-24 08:00:00,50437.67,50674.5,50400.0,50841.5,50660.75,50694.24,50700.0,50726.45,50625.35,50211.8,50500.0,50900.0
2021-02-24 09:00:00,51110.24,50679.5,51262.86,50840.0,51172.83,50724.0,50968.27,50890.43,51051.0,51025.8,50535.5,51003.9
2021-02-24 10:00:00,50927.78,50597.94,50541.17,50510.25,50411.14,50489.0,50312.68,50486.11,50627.69,50490.36,50667.5,50667.5
2021-02-24 11:00:00,50301.17,50832.0,50231.77,50455.25,50588.69,50421.0,50837.75,50702.08,50340.66,50773.66,50599.6,50599.6
2021-02-24 12:00:00,50758.39,50862.0,50949.07,51212.75,50921.5,50474.0,51180.45,51078.18,51210.84,51258.45,51218.9,50738.2
2021-02-24 13:00:00,49686.93,49549.5,49358.69,49755.5,49528.61,49863.79,49451.22,49209.12,50963.94,49485.0,49597.1,50462.5
2021-02-24 14:00:00,49622.45,49433.5,49640.6,49384.25,49143.97,49052.89,49550.72,48888.0,49557.66,49069.93,49200.0,49069.9
2021-02-24 15:00:00,48773.04,49388.0,49450.57,49357.75,49385.65,48890.0,49535.88,49127.37,49674.68,49244.3,49350.0,49610.3
2021-02-24 16:00:00,49973.98,49362.5,49477.09,49784.0,49823.77,49500.0,49745.76,49999.25,49605.81,49647.91,49999.6,49601.0
2021-02-24 17:00:00,49613.15,49807.0,49878.43,49900.25,49609.2,49833.91,49750.54,49779.0,49778.16,49690.11,49901.9,49760.5
2021-02-24 18:00:00,49822.0,49611.0,49579.61,49612.75,49832.52,49640.05,49599.05,49700.0,49729.08,49790.05,49713.0,49612.75
2021-02-24 19:00:00,49030.59,48987.5,48900.08,49653.0,49026.69,48849.0,49380.57,49400.0,49688.89,49176.17,49060.7,49005.0
2021-02-24 20:00:00,48838.46,48899.0,48790.49,48668.5,48879.95,48731.35,49057.67,48929.05,48747.56,48840.01,48886.1,48891.5
2021-02-24 21:00:00,48209.01,48802.5,49091.0,48585.5,48476.15,48315.0,48570.97,48297.57,48347.83,48641.37,48312.3,48233.6
2021-02-24 22:00:00,48656.2,48878.5,48863.0,48720.0,48155.58,48612.0,48389.83,48211.04,48325.24,48867.28,48889.6,48175.0
2021-02-24 23:00:00,49320.0,49767.0,49700.0,49688.75,49661.04,49194.0,49067.8,49712.15,49574.72,49350.02,49746.8,49740.4
