timestamp,Price [Md€],price_open,price_high,price_low,price_close,Amount [BTC],weighted_volume,bfly_vwap,sigma,bfly_vwmp (upper)
2021-02-24 00:00:00,0.0,48929.54,48929.54,47086.89,48191.14,1.96,93970.4504293061,48006.99,495.2,48574.05
2021-02-24 01:00:00,0.0,48934.14,50161.64,48798.7,50161.64,1.04,51400.660246512605,49607.92,467.96,49818.51
2021-02-24 02:00:00,0.0,49994.55,50513.79,49994.55,50136.78,1.77,88601.1105154044,50196.68,130.52,50136.78
2021-02-24 03:00:00,0.0,50948.0,50948.0,50948.0,50948.0,0.25,12737.0,50948.0,0.0,50948.0
2021-02-24 04:00:00,0.0,51025.46,51025.46,50736.28,50743.89,0.77,39207.5746515816,50892.81,140.0,50736.28
2021-02-24 06:00:00,0.0,50050.8,50050.8,49656.52,50018.9,1.57,78486.302646184,49978.51,116.1,50050.8
2021-02-24 07:00:00,0.0,49680.1,49680.1,49680.1,49680.1,0.03,1623.412525332,49680.1,0.0,49680.1
2021-02-24 08:00:00,0.0,49890.34,50726.45,49890.34,50726.45,0.79,39540.309118670506,50144.21,330.03,50726.45
2021-02-24 09:00:00,0.0,50890.43,50907.35,50846.85,50846.85,0.35,17809.4083,50884.02,23.47,50890.43
2021-02-24 10:00:00,0.0,50544.26,50544.26,50486.11,50486.11,0.14,6984.158402,50536.6,29.08,50486.11
2021-02-24 11:00:00,0.0,50500.0,50702.08,50436.16,50702.08,0.27,13793.10468,50474.18,90.65,50702.08
2021-02-24 12:00:00,0.0,51078.18,51229.87,51078.18,51229.87,0.12,6198.66258,51228.62,75.85,51078.18
2021-02-24 13:00:00,0.0,50500.0,50500.0,48978.31,49699.0,3.89,193391.3670237555,49681.73,447.97,49209.12
2021-02-24 14:00:00,0.0,49700.0,49700.0,48888.0,49026.73,1.4,68856.3762176476,49266.09,213.65,48888.0
2021-02-24 15:00:00,0.0,49085.09,49321.43,48517.6,49321.43,2.36,115186.608051,48785.15,275.78,49127.37
2021-02-24 16:00:00,0.0,50314.08,50314.08,49449.13,49537.17,0.89,44340.1959451887,49645.48,249.39,49999.25
2021-02-24 17:00:00,0.0,49717.23,49779.0,49704.36,49731.74,0.08,3898.9081415624,49714.25,28.22,49779.0
2021-02-24 18:00:00,0.0,49600.0,49700.0,49600.0,49700.0,0.12,6101.1,49602.44,50.0,49700.0
2021-02-24 19:00:00,0.0,49444.96,49444.96,48997.6,48997.6,0.47,22993.00019872,49191.6,214.42,49400.0
2021-02-24 20:00:00,0.0,49144.07,49279.32,48847.56,49279.32,1.51,73953.90740173901,48991.42,131.93,48929.05
2021-02-24 21:00:00,0.0,48844.07,48844.07,48202.94,48499.0,1.12,54097.9238051696,48404.53,161.04,48297.57
2021-02-24 22:00:00,0.0,48211.04,48864.19,48070.33,48864.19,1.72,83058.64225828499,48270.6,164.85,48211.04
2021-02-24 23:00:00,0.0,49603.44,49712.15,49603.44,49712.15,0.08,4087.91049,49610.56,54.35,49712.15
