timestamp,price,price_open,price_high,price_low,price_close,amount,weighted_volume,cbse_vwap,ecart_type,vwmp_lower
2021-02-24 00:00:00,1451576482.47,48899.99,49114.02,47002.0,48487.22,1968.96684483,94402788.02088109,47945.341623582186,525.1454631301451,48577.2
2021-02-24 01:00:00,1516461696.21,48498.8,50353.43,48437.32,50236.98,1900.25349273,93715184.15592434,49317.2013704805,443.30200334729665,48703.58
2021-02-24 02:00:00,1735535483.07,50236.98,50600.0,49832.71,50220.01,1904.69990915,95709065.31352204,50248.89477536313,175.47968128567973,50078.86
2021-02-24 03:00:00,1287666457.6,50220.01,51000.0,50084.76,50932.71,1350.36431884,68190889.8776439,50498.14255772231,216.81344357802715,50466.57
2021-02-24 04:00:00,1346788335.91,50929.46,51398.0,50358.54,50650.86,1920.43838127,97832213.62067871,50942.6465201042,239.30488465559458,50668.33
2021-02-24 05:00:00,909086436.31,50655.08,51025.22,49978.89,50225.89,1047.1737413600001,52896923.10597656,50513.98924239403,257.9419972695488,50830.63
2021-02-24 06:00:00,957065437.22,50234.41,50705.94,49436.23,50099.64,1077.13373631,53837799.27731464,49982.465001746146,306.3447364358043,50170.68
2021-02-24 07:00:00,579520654.06,50098.05,50350.0,49520.91,50082.62,498.92903696,24926307.17354222,49959.624169039096,191.17824799476566,50255.06
2021-02-24 08:00:00,604655273.37,50090.93,50891.81,49782.86,50666.7,503.57651159,25451306.14347875,50541.09069368311,228.4110667859442,50184.44
2021-02-24 09:00:00,674821374.68,50664.17,51415.41,50356.56,50900.68,551.97243006,28095949.551858936,50901.00161126684,244.49632725013936,50820.01
2021-02-24 10:00:00,604643102.54,50904.97,51055.38,50110.0,50134.22,779.46766027,39381735.77045213,50523.88672136915,204.91852213823418,50498.84
2021-02-24 11:00:00,586242379.51,50129.71,50939.86,50129.7,50380.0,561.85996582,28373060.32160205,50498.455215959926,172.94403753776365,50239.09
2021-02-24 12:00:00,852176810.43,50379.99,51332.84,50368.45,50738.3,1149.13836075,58532271.34956407,50935.79097939279,226.01184058336622,51108.72
2021-02-24 13:00:00,1282063317.18,50738.3,51123.31,49000.0,49479.41,2158.86810626,107536398.48432145,49811.472119348844,491.18687618868097,49762.17
2021-02-24 14:00:00,1143298783.16,49479.41,49804.39,48731.33,49427.61,1316.22173682,64880974.095508076,49293.34646323417,237.8025041066098,49503.71
2021-02-24 15:00:00,1337417134.25,49427.61,49877.97,48500.0,49850.22,1792.0127761200001,88211571.7818646,49224.856517405555,359.7645381937088,49492.63
2021-02-24 16:00:00,958331323.33,49850.0,50144.92,49353.95,49371.5,1160.92004713,57754551.40371778,49748.94829880598,162.19387046428992,49717.89
2021-02-24 17:00:00,852200401.17,49371.49,50113.72,49360.64,50096.69,880.58784468,43865193.4193901,49813.53499755658,139.09275189165768,49837.46
2021-02-24 18:00:00,840293494.11,50096.69,50103.57,49544.84,49619.18,975.30529819,48561042.66570701,49790.60685492841,133.2560199621972,49703.37
2021-02-24 19:00:00,956855395.09,49619.19,49733.51,48833.24,48990.27,1273.6524273,62739941.18956835,49259.860731840294,241.3930528873365,49000.0
2021-02-24 20:00:00,960158042.72,48990.27,49276.8,48608.58,49174.4,1408.38850023,68902412.38857353,48922.873466604746,165.76446824506112,48977.24
2021-02-24 21:00:00,1007160718.73,49174.41,49174.41,48111.0,48757.56,1256.82724433,60927061.256046474,48476.87821131374,245.5313824265461,48641.53
2021-02-24 22:00:00,974882297.03,48758.08,48987.38,48078.62,48850.4,916.8030092500001,44537539.04287031,48579.18068932245,220.5316227219296,48568.0
2021-02-24 23:00:00,891683825.16,48842.66,49788.0,48775.05,49737.82,987.00955867,48786868.73038161,49428.97290287861,212.7304782937208,49227.93
