timestamp,price,price_open,price_high,price_low,price_close,amount,weighted_volume,bfly_vwap,ecart_type,vwmp_lower
2021-02-24 00:00:00,1339870.27,48929.54,48929.54,47086.89,48191.14,1.95743265,93970.4504293061,48006.990395968984,495.1957964531531,47743.62
2021-02-24 01:00:00,396268.08,48934.14,50161.64,48798.7,50161.64,1.03613811,51400.660246512605,49607.92364495946,467.95673042494093,49777.91
2021-02-24 02:00:00,753667.58,49994.55,50513.79,49994.55,50136.78,1.76507919,88601.1105154044,50196.6773034157,130.51612170490185,49994.55
2021-02-24 03:00:00,50948.0,50948.0,50948.0,50948.0,50948.0,0.25,12737.0,50948.0,0.0,50948.0
2021-02-24 04:00:00,203520.01,51025.46,51025.46,50736.28,50743.89,0.7703952199999999,39207.5746515816,50892.80622948516,139.99818434090452,51025.46
2021-02-24 06:00:00,749430.77,50050.8,50050.8,49656.52,50018.9,1.5704009600000002,78486.302646184,49978.511631949084,116.09573864511897,50016.68
2021-02-24 07:00:00,49680.1,49680.1,49680.1,49680.1,49680.1,0.03267732,1623.412525332,49680.1,0.0,49680.1
2021-02-24 08:00:00,301218.77,49890.34,50726.45,49890.34,50726.45,0.7885319700000001,39540.309118670506,50144.20546407331,330.02668464922095,50410.65
2021-02-24 09:00:00,203544.63,50890.43,50907.35,50846.85,50846.85,0.35,17809.4083,50884.023714285715,23.47376554262255,50900.0
2021-02-24 10:00:00,101030.37,50544.26,50544.26,50486.11,50486.11,0.1382,6984.158402,50536.602040520986,29.075000000000728,50486.11
2021-02-24 11:00:00,252638.24,50500.0,50702.08,50436.16,50702.08,0.27327048,13793.10468,50474.184697886136,90.65297841770007,50500.0
2021-02-24 12:00:00,102308.05,51078.18,51229.87,51078.18,51229.87,0.121,6198.66258,51228.61636363636,75.84500000000116,51078.18
2021-02-24 13:00:00,2033581.49,50500.0,50500.0,48978.31,49699.0,3.89260495,193391.3670237555,49681.734855666626,447.96696904887324,50116.8
2021-02-24 14:00:00,689373.74,49700.0,49700.0,48888.0,49026.73,1.3976424600000001,68856.3762176476,49266.087850284406,213.649162341882,49200.75
2021-02-24 15:00:00,684234.72,49085.09,49321.43,48517.6,49321.43,2.3611,115186.608051,48785.14592816908,275.78366314033576,48631.44
2021-02-24 16:00:00,548058.31,50314.08,50314.08,49449.13,49537.17,0.89313655,44340.1959451887,49645.483599555635,249.3886537147454,49766.55
2021-02-24 17:00:00,198932.33000000002,49717.23,49779.0,49704.36,49731.74,0.07842637000000001,3898.9081415624,49714.24970405236,28.224558787516372,49731.74
2021-02-24 18:00:00,99300.0,49600.0,49700.0,49600.0,49700.0,0.123,6101.1,49602.439024390245,50.0,49700.0
2021-02-24 19:00:00,344280.32,49444.96,49444.96,48997.6,48997.6,0.4674172,22993.00019872,49191.600563094384,214.41870159068893,49444.96
2021-02-24 20:00:00,882257.89,49144.07,49279.32,48847.56,49279.32,1.5095277,73953.90740173901,48991.421225154714,131.93304681649627,48909.5
2021-02-24 21:00:00,629039.15,48844.07,48844.07,48202.94,48499.0,1.1176210400000002,54097.9238051696,48404.53236740211,161.04371692109956,48272.99
2021-02-24 22:00:00,820213.8,48211.04,48864.19,48070.33,48864.19,1.7206880500000001,83058.64225828499,48270.59864702669,164.84715189498846,48247.38
2021-02-24 23:00:00,99315.59,49603.44,49712.15,49603.44,49712.15,0.0824,4087.91049,49610.564199029126,54.35499999999956,49712.15
